	f_p1_log2FoldChange	f_p1_padj	f_p2_log2FoldChange	f_p2_padj	p2_p1_log2FoldChange	p2_p1_padj	f_mpv_log2FoldChange	f_mpv_padj	category
RNR2	-0.12604900619990514	0.122391897946328	-0.21491193605598977	0.002418475770295772	0.0787644900477371	0.3963600509188836	-0.16749434380945757	0.006096198748875293	fusion-altered
RNA45S5	-0.018740307049353387	0.9235891410366491	-0.09232442935894997	0.3989973268897251	0.07843998688356721	0.5038010188167009	-0.05681333793720194	0.6270240949378717	conserved
ACTB	0.29009620936918973	0.0012504243295346654	0.028353448103855722	0.8533027200779861	0.2539910976125895	0.005851075071232193	0.15067992751917594	0.07822145722779665	additive
PTMA	-0.2231414537458213	9.804920508530901e-05	-0.21584665247898344	0.00024245331152384874	-0.010482149292547274	0.9389718074981904	-0.21906445322381235	5.917573905918486e-06	fusion-altered
TUBA1B	-0.1837373622618887	0.0020455241342977066	0.012132979045796622	0.914833509107674	-0.19980446116572673	0.0006377307763810377	-0.0830506907441152	0.20877082932422245	additive
RPS5	-0.24739416031289205	1.2745693905252681e-05	-0.1391143003622499	0.03345100995859378	-0.10162060189368347	0.15511179470536557	-0.19317417292277214	0.0001074955546616233	fusion-altered
HSP90AA1	-0.07441519830164069	0.5045029489030993	0.002643397517613286	0.9853450336258305	-0.07792515177490494	0.43578123233378135	-0.03518088941849367	0.7680930060884895	conserved
RNR1	0.03901301509782056	0.7373015730300632	0.04914167023082681	0.5981729313836026	-0.01483074463565837	0.9160968783134015	0.04608662083024204	0.6095013898217606	conserved
S100A6	-0.3175820654673689	3.539428603135468e-07	-0.053361719100318845	0.5864550675851178	-0.2517436095189889	9.278615668702174e-05	-0.18213046407330313	0.0015244477067106262	dominant_P2
S100A2	0.0820014383307331	0.3398509770287012	0.11228876687001461	0.11543782308621514	-0.03242818094718715	0.7717842844091483	0.09790455861244589	0.1278127946294651	conserved
TUBB	-0.142727156359032	0.03782309860792147	-0.010070966338686727	0.9329705205461861	-0.13166509229835266	0.05658919372288056	-0.0758683647222938	0.3003850076565245	conserved
FTL	-0.3552772462789532	6.062642089131894e-10	-0.24168796149068944	7.68916963837686e-05	-0.10312884062400299	0.16711109875698751	-0.3000632215750314	2.124705868149707e-09	fusion-altered
RPLP2	-0.15815719444774556	0.018118660543211002	0.07359441666403334	0.3755724426462078	-0.24558289544961334	4.5263286005608624e-05	-0.038370386762161646	0.6946435208177806	additive
ACTG1	0.008725565222832741	0.9596507591899972	0.17083473044818376	0.02536632264642624	-0.1604675866366579	0.03399988816311087	0.08646591932512727	0.2851676429025981	additive
FTH1	-0.1724226695581054	0.01485153107733224	-0.31072322382203976	1.325907519642436e-06	0.11928210496125244	0.12648225205240934	-0.2403051297434844	1.3876066458433517e-05	fusion-altered
RPS2	-0.08038626764508362	0.4662892808648368	-0.0162779263535261	0.9028367017043194	-0.06206142729034637	0.5772259185801137	-0.048748940511629195	0.6567307652319905	conserved
RPL8	-0.318605837220058	0.0005284131979133381	-0.39796506450411845	1.4466568186479027e-05	0.05378895956271853	0.712510349169027	-0.37036432767843497	3.33144025284959e-06	fusion-altered
RPL41	-0.17988647009226147	0.028843129674138962	0.05865078315033029	0.6005963772004691	-0.257697155374368	0.0007495546692589387	-0.0546360130163795	0.609751190637287	additive
RPS18	-0.16996653082828272	0.0681879203953936	-0.02572025245230776	0.860471042232932	-0.14008655601368514	0.14931039515353425	-0.09664393092521015	0.30715027315023663	conserved
HSP90AB1	-0.1616140874528875	0.008515075880391881	0.12404446961885673	0.06130118311884278	-0.30109869906523157	4.2114290147346016e-08	-0.01717716015489242	0.8790200865125544	additive
GAPDH	-0.25489817772222695	0.0060877617022091655	-0.39499587564775324	1.4889692460104764e-05	0.10056361514888497	0.38770428070833796	-0.33408223685913224	2.4940340442103648e-05	fusion-altered
RPS8	-0.25994198549223313	1.9862900756557187e-06	-0.09200600211396266	0.19449888845276553	-0.15775671446419207	0.008613429404960968	-0.176145081413153	0.00036869702948291586	dominant_P2
EEF1A1	0.05832625049718445	0.7762785021925127	0.10180480929550408	0.5476843087605456	-0.04217605980784297	0.8416800385998483	0.0783768350541967	0.6066509655917128	conserved
HSP90B1	-0.08997134674068466	0.25770004389314	0.028652269986850217	0.7819563367078549	-0.12312822171238577	0.06888147227186656	-0.028611044037763093	0.7796984350417749	conserved
RPL27A	-0.07419083969053396	0.5249457796150782	0.08119041110970102	0.4197939556058649	-0.16573419271765458	0.04353593096940305	0.005924771979379384	0.9722707071445925	additive
RPL6	-0.11113029724387391	0.14140199190487943	-0.22258791845873524	0.0002996347091883083	0.10214401624203555	0.17109477475225887	-0.16371557294929653	0.0024990454288733913	fusion-altered
RPS17	-0.5849323530060797	3.129774269320016e-18	0.054784759990799424	0.6092429577080699	-0.657652356504785	5.780544277550512e-23	-0.23726068424407232	9.756413707678069e-05	dominant_P2
HMGB1	-0.2991500810953164	1.070602809494144e-05	0.00746291275433681	0.9585671522071837	-0.3137956311002413	4.619342899810425e-06	-0.1365166600460709	0.043252222961067455	dominant_P2
RPS23	-0.12771393984127463	0.16002002568414872	-0.010622386436027385	0.9400283584259058	-0.11606946249597672	0.2022123803112385	-0.06849538183791756	0.4828423717122937	conserved
HSPA8	0.06291579327349651	0.562377847019595	0.1000325677097255	0.22289637966355175	-0.04049816707118938	0.7244020860086938	0.08274849056065728	0.28589087302415006	conserved
RPL31	0.09684299560633133	0.43443186786455956	-0.0953340048236942	0.4049167734460221	0.2098000789963881	0.024195621229977884	-0.00134545558584848	0.9940908570747077	additive
RPLP1	-0.6204660494344169	1.0577450389875059e-23	0.06870953121447101	0.45781552413779764	-0.7069496730285733	1.825942557794853e-30	-0.2504126884717465	7.634050740453848e-06	dominant_P2
TMSB10	0.1339329766463829	0.36098604106926474	-0.0677136104088037	0.6849926804571452	0.23431258585882095	0.07207557058722604	0.028172737497493373	0.8790200865125544	conserved
RPS15	-0.16744760601927444	0.06435605511590854	-0.18742845623931786	0.036699754812847464	0.01411219043181422	0.9369049391356765	-0.17617742612232895	0.017818328978474678	fusion-altered
RPSA	-0.06383123158165208	0.5519003152789611	0.0766816088930434	0.38755144699339295	-0.1484860530265007	0.04144474017828247	0.008787745472616038	0.9550265343391373	additive
MALAT1	-0.0914655033864566	0.4005342117626291	-0.1355755669823611	0.13313788165561377	0.04352214918526307	0.741115337804688	-0.11311919024082492	0.1603838158477455	conserved
RPL26	-0.12870439510719736	0.2417495697799879	-0.046886647814072015	0.7304326436321179	-0.07563779902923554	0.5490147460090159	-0.08864027177035427	0.3978132441396977	conserved
RPS28	-0.27226606031361306	3.326866278472832e-06	-0.10560304260352128	0.15025046789446012	-0.15491714341356405	0.017454651122510823	-0.18881401606557222	0.0003367589654896708	dominant_P2
