	f_p1_log2FoldChange	f_p1_padj	f_p2_log2FoldChange	f_p2_padj	p2_p1_log2FoldChange	p2_p1_padj	f_mpv_log2FoldChange	f_mpv_padj	category
RNR2	0.18668059932238038	0.07443856227625105	-0.1568858398700654	0.14482245528324605	0.33973915366095925	0.00025134778077210866	0.013170877816990197	0.9207016986482959	additive
RNA45S5	-0.027522137728558622	0.8512728747573464	-0.097845365000735	0.42414414005918516	0.06291448069841223	0.6524953278173177	-0.06543913461943342	0.5529740362062908	conserved
ACTB	0.08213793249036168	0.4146889024057145	0.2131076106910792	0.009665066546264025	-0.11992848765502301	0.21498665653566315	0.15131114021242542	0.042354149792024	fusion-altered
PTMA	-0.15469959826185783	0.2629260668477784	0.06935852283196627	0.6763320219289424	-0.20657830153469103	0.10239719207480726	-0.04238121412796454	0.785395871997182	conserved
TUBA1B	-0.14645942335927983	0.26793564904508227	0.08468421993971612	0.572862796808925	-0.2161930745019063	0.06873191288469192	-0.03040411560687372	0.8409979429046852	conserved
RPS5	-0.23937882634547133	0.3646363946147029	0.03553678097388991	0.913400989380026	-0.2035939886140498	0.33461833659118395	-0.10293257397194329	0.701256138805981	conserved
HSP90AA1	-0.6593330015923444	3.1776077028373504e-12	-0.08663031357202576	0.5272842418254376	-0.5553787308430859	6.741183602674143e-09	-0.3726983111281684	1.3670296066782689e-05	dominant_P2
RNR1	0.5226165076137597	9.430861110204274e-08	0.04504205676277646	0.7781252857154677	0.463856642928831	3.0237524468616983e-06	0.28376161788399595	0.0016068283518225705	dominant_P2
S100A6	-0.5038414089691167	5.2235977699379595e-06	-0.49991917778680794	7.125252838520999e-06	-0.0042947494421157785	0.9845546351244047	-0.5079469254404014	7.720831157324894e-08	fusion-altered
S100A2	-1.928821256396445	4.314607614069054e-05	0.014125462279859426	0.9629705865909415	-1.9263751509126241	4.5124764994779346e-05	-0.502977157554959	0.03607421683340584	dominant_P2
TUBB	-0.4302084122168205	6.560237065720548e-07	-0.38035801309064055	1.4449497047246328e-05	-0.04095984282009723	0.7860965451053601	-0.40902368107817744	3.424889592771633e-08	fusion-altered
FTL	-0.49494099115279894	1.8382712157672466e-12	-0.6774796242716568	8.422875017762592e-23	0.162648588907639	0.053596784638246055	-0.5882510122781169	6.454518995516354e-23	fusion-altered
RPLP2	-0.008181269093302948	0.971772509506733	0.0350557431013573	0.8548783392544281	-0.037430541103326484	0.8479851806712319	0.014286806245453913	0.9325601967605384	conserved
ACTG1	-0.23832818713988418	0.0038343574896469754	0.11884755940111447	0.21372003058545117	-0.3538265118648631	4.00024308644014e-06	-0.05800841277353654	0.5292006575434568	additive
FTH1	-0.34218547181417236	3.932873529071563e-05	-0.8084006372360216	5.368875923691126e-26	0.4440585569678917	2.31077940605723e-08	-0.5754001548588905	1.0766821616204233e-17	transgressive_down
RPS2	0.009665026258001311	0.9711419715262856	0.2250307057864872	0.14022822761170006	-0.19073294895793544	0.2092149153925988	0.12249473238780219	0.4091183989945053	conserved
RPL8	-0.1035496327571426	0.6887543636538254	0.16811640782110596	0.4681115084661353	-0.2321571609840211	0.23880811371698676	0.037027092724708034	0.8864058488051972	conserved
RPL41	0.10855362593060484	0.4775625412895241	0.3419451337736206	0.0046023937774274755	-0.20527657735201213	0.11563330690139548	0.23034098462594074	0.03658274104352485	fusion-altered
RPS18	-0.11151058817249312	0.4617989504368224	-0.2224033335550274	0.08548490897296178	0.09511793187531892	0.5343291889488859	-0.17337697207668654	0.13674111802594763	conserved
HSP90AB1	-0.1163819159913644	0.3635215665880623	-0.2944178995959509	0.004806741981215989	0.1581113364659884	0.18048492805365327	-0.21020940399651425	0.027019474665702158	fusion-altered
GAPDH	0.0024204305571950916	0.9949927461682332	-0.1807745032619675	0.46619854892036244	0.1417790252600985	0.5170326859479686	-0.09731095984690027	0.6993269710205853	conserved
RPS8	0.0689224293679734	0.5540667458364246	0.20318133208859793	0.03074286725014501	-0.12166345130800942	0.25627376533717655	0.14016470199553915	0.10181235669679835	conserved
EEF1A1	0.030114411675859543	0.9223007443436922	-0.06649616423562058	0.8083950134042016	0.07510398226760082	0.7547964481098826	-0.02109484939471144	0.9340534286947857	conserved
HSP90B1	-0.5354272649323485	0.00984590067676156	-0.23071129152453387	0.30062437653654234	-0.19948297580858007	0.3236137265596004	-0.39897168511053605	0.030304522660011445	fusion-altered
RPL27A	0.07865469523516173	0.6142108456814456	0.08328925421283985	0.6039647679263448	-0.004524090032314939	0.9841902704360245	0.08521978236284376	0.5175601366198632	conserved
RPL6	-0.3498837346572592	4.734135832457901e-05	-0.042078372920614636	0.7577875072764763	-0.29291871231473915	0.0008232866152089691	-0.19653106021124547	0.01399010809084684	dominant_P2
RPS17	0.14523456849096314	0.21796842563697524	0.27218811082504474	0.007775654590568006	-0.11209682738525159	0.3709007146411701	0.2134632093170122	0.019373861463535397	fusion-altered
HMGB1	0.2026309855186779	0.39510955893584504	0.6370090150709106	0.002789208134565754	-0.3088405532155301	0.12040163472670118	0.4199465251886306	0.0231905951263121	fusion-altered
RPS23	0.1465900158774102	0.13215905962207428	0.052983255497499146	0.6746970986308312	0.08398141887095645	0.4680343281006294	0.1019025304040627	0.24757940966060324	conserved
HSPA8	0.1137659598376481	0.28190363806569607	-0.03887878170155089	0.776630665365713	0.14266416027052609	0.15942645947272324	0.0383269200651341	0.7351370304781516	conserved
RPL31	-0.06798067453234813	0.6369192064108723	0.368410919692023	0.00047097413153913834	-0.4339912755874726	2.586779438422001e-05	0.14912895561749975	0.1577655799144048	additive
RPLP1	-0.130752151780203	0.3337682973251304	-0.15607092173491768	0.22881915198021108	0.02330905263549918	0.9077570182498345	-0.14889100410610648	0.17739401673409264	conserved
TMSB10	0.06725691311313477	0.8087610765685906	-0.18613395464286484	0.41707069008559217	0.2121817883128585	0.2886716047088927	-0.06506732928251452	0.7996395850244443	conserved
RPS15	0.19131102670730515	0.11444293107927181	0.26453305914300806	0.017866266018150386	-0.06463957945050654	0.6802056234952906	0.2330699618875002	0.016829978478956047	fusion-altered
RPSA	0.30418183735227	0.0038724754714174314	0.3104998072864268	0.002614167728613791	-0.009033209763754034	0.9660128366879494	0.3117324181104903	0.0003910275879149192	fusion-altered
MALAT1	-0.05248042614006195	0.7805537082225786	-0.19651082884472507	0.18665395136763832	0.1236820875454249	0.43580441977262974	-0.1306602380197081	0.34780476677597816	conserved
RPL26	0.2868199167352656	0.036944000970168825	0.44681707282292915	0.00047751067376670004	-0.12806460798029898	0.4065631078291765	0.3718345622208069	0.0008104513535719007	fusion-altered
RPS28	0.08018416596516079	0.4850777354655403	0.1212796872424866	0.2582303197878588	-0.03644861637666487	0.8098285272153308	0.10448935864007522	0.2564369968902533	conserved
RPS24	0.23449662567768967	0.07040244917261944	0.4201514226576732	0.0003084598522302987	-0.15641285389768692	0.2496549104365056	0.33138780010606256	0.0011310229295890366	fusion-altered
RPL35A	0.16389895852616096	0.1419874198138186	0.20151251734548398	0.056082338233339704	-0.03491465814606913	0.8333499446328168	0.18723969450230774	0.03853252412869995	fusion-altered
RPL37	0.07417268560607791	0.6204752362634192	0.3351355751609479	0.00282167875084505	-0.23722937524085158	0.045154405515791515	0.2089255850776125	0.043962355279707446	dominant_P1
RPL10	-0.17150317819365696	0.0691765840361602	-0.08702972834552267	0.43318852561884175	-0.07406097696851582	0.5327642604676877	-0.1315991604149098	0.1147827804423729	conserved
NCL	0.10226987939683446	0.4892280115761635	0.2369780783460657	0.05453993514327406	-0.1165760585555393	0.4093738159325126	0.17570342116310336	0.11441710210402622	conserved
RPL23	0.006380471965072976	0.971772509506733	0.1083543660067444	0.3599918614375478	-0.09264247040487919	0.46108839391406403	0.05960732248441376	0.5969235152654886	conserved
RPS21	0.13887190437295796	0.17017406153210568	0.3070612720480066	0.00035491533349702955	-0.15297958791359648	0.12735351055544145	0.22647892327411084	0.003122386181279899	fusion-altered
PPIA	-0.15934873270194386	0.2949702529235901	-0.20871961724074234	0.13626716006340356	0.043380097321434885	0.8257278867176315	-0.19109390775716723	0.11753444704851712	conserved
RPL21	0.3736810206725172	0.07117248031309426	0.5859652933127489	0.00391867659664453	-0.1268540660965425	0.5498346174320873	0.4947414461418759	0.004707500624951664	fusion-altered
MYL6	-0.13775110179923689	0.1752773304804347	-0.09958346953271768	0.36550934498298016	-0.03298748862313644	0.8287605430852225	-0.12176259566278268	0.16401132634665036	conserved
RPS11	0.2788386592737583	0.002578255634706121	0.21035452100991966	0.02888672424418442	0.055286984693455346	0.6925451501293199	0.2479747948068798	0.0016231016485007796	fusion-altered
CD44	0.10501521434454858	0.5108724420337568	-0.03446626641398935	0.8605743915820252	0.12218272944268367	0.41389336100359364	0.03622953822609288	0.830066826433805	conserved
RPL37A	0.06758581727490448	0.6029256205811666	0.15689883810879682	0.15656354092093033	-0.07920562217982213	0.5520309105400507	0.11664575622530281	0.24122498213935245	conserved
RPL13A	0.20863557918135378	0.028506098939659916	0.21533391223650927	0.02156829393524733	-0.009223102511481028	0.9595268630751291	0.21542806775642223	0.0065793710747857675	fusion-altered
RPS12	-0.2778020223730594	0.006718645398164112	-0.41291695210596707	1.5063744790511108e-05	0.1174177368373291	0.33467072778347556	-0.3481613227307541	2.8446077140124483e-05	fusion-altered
CALR	-0.1712354975286737	0.45467601739846863	-0.24150840796862968	0.2464383272988303	0.05540467078807236	0.8238162732831231	-0.21934177274049277	0.23675269385362513	conserved
GNB2L1	0.35093513395487425	1.804419322045954e-05	0.3741296418011927	3.612288918692149e-06	-0.0218473673152786	0.8925805180269157	0.36536004835060804	1.0317007302472631e-07	fusion-altered
RPS27A	0.11142447589739943	0.4411787274937922	0.13599129539127436	0.32341131655217403	-0.02218462312784137	0.9156273152209725	0.12917433919557147	0.27328032949750686	conserved
RPL32	0.22559288290857765	0.03136134468327515	0.28356963146814196	0.004201377232835658	-0.052804570141082356	0.7292242448482409	0.25858095171253054	0.0024686143704397154	fusion-altered
RPS10-NUDT3	-0.25052032191689344	0.012516791675401082	-0.20243413139204106	0.050963447249925964	-0.03690177767897381	0.8197228941602442	-0.23019531475457508	0.007193705450865118	fusion-altered
RPL22	-0.03875814998315241	0.8527445699518672	0.04282703637845876	0.8383148496072569	-0.06900725373535627	0.7177775350269924	0.002574796222211533	0.9895981866929544	conserved
RPLP0	-0.4544837373791786	5.7645292225953475e-08	-0.30157043821844687	0.000626854680916626	-0.13204001390820355	0.2104021334925612	-0.381884343383614	1.6046179391879243e-07	fusion-altered
TXN	0.11978577042027265	0.3219858004945377	0.6670570786422136	5.705512948790955e-13	-0.5252894534673492	2.0752761665654997e-08	0.3921074885656253	1.6646314703354032e-06	dominant_P1
RPS19	0.2539452916902182	0.03484620120307745	0.09330080659646116	0.5298333955304416	0.1344079530926377	0.3170916799418353	0.17684318829008502	0.1035111755096593	conserved
RPS3	0.29392060159036665	0.005852211517454662	0.37157556164425454	0.0002610821603159465	-0.06722071913642363	0.6523309714143365	0.3366406753467056	0.00012228581760541688	fusion-altered
SET	0.2394342381505563	0.018591036211464233	0.8275695791223514	1.3130339411138617e-20	-0.5618925751728301	6.05236912537198e-10	0.5318420511176143	6.393783603513477e-12	transgressive_up
UBC	-0.25741974374588084	0.01790542673006451	-0.32328332119034814	0.0016740670532666463	0.05857801141552209	0.7052949573547714	-0.2943987585377266	0.0009422792603509962	fusion-altered
RPS15A	0.19511668312364136	0.07780669650091387	0.3537031804285187	0.00032888978455282566	-0.1398540826690815	0.23740005582238372	0.2780445549162124	0.0012923957817788313	fusion-altered
TPT1	0.6688535385251905	7.708818421324525e-12	0.5698798755641441	1.0014823889924641e-08	0.08139694327397286	0.5723757584195691	0.6251841883536413	1.257430156510849e-13	fusion-altered
RPL7A	0.18048885838488074	0.11625257177682917	0.7796938004007593	1.4160435398692084e-16	-0.5726022184501355	2.013065493136682e-09	0.4778345013730791	7.1324892729344306e-09	dominant_P1
PKM	-0.36410743459359923	5.224310677526146e-05	-0.5128278027932036	2.5122165551568073e-09	0.12850865244779458	0.2424798760835478	-0.44068917431835647	3.4917519926708273e-09	fusion-altered
PSMD2	0.2968676814677497	0.012482313160756835	0.0914234862801978	0.5467919485534071	0.17534640918983413	0.17041477499981053	0.19714484361257856	0.06717146611709403	conserved
PABPC1	-0.023648612871695333	0.8783484114843342	0.02641013496610885	0.8683326253555864	-0.045378428723807394	0.7719208539875115	0.0012373102893749545	0.9934280090007759	conserved
RPL5	0.111019663030812	0.3005073740675041	0.14198115131506486	0.16136789086122116	-0.027991155197650497	0.8588903750230042	0.13040069400905718	0.13221204749742957	conserved
RPL15	0.26500363290213175	0.0016458828455202805	0.31061284657002974	0.00012124795182478625	-0.04289473217499019	0.7554584352436682	0.290471275461222	2.769104185695658e-05	fusion-altered
DEK	-0.5632397277192999	1.389482246996694e-08	-0.2942474843710348	0.006254807886980294	-0.23475539447502874	0.03430291005568894	-0.434255027565016	6.351679257276249e-07	transgressive_down
NPM1	0.5252081261923278	2.2242008081820464e-09	0.529861180262971	1.7983541918238809e-09	-0.002321694651321413	0.991615309678063	0.5316091569061008	1.352872566221115e-12	fusion-altered
