Vessel Name: KH2404_A2H_C2_C3_GrowthRate
Date Time	Elapsed	1806_C2 (5) 5K / well (B2)	1806_C2 (5) 5K / well (B3)	1806_C2 (5) 5K / well (B4)	1806_C2 (5) 5K / well (B5)	1806_C2 (5) 5K / well (B6)	1806_C2 (5) 5K / well (B7)	1806_C2 (5) 5K / well (B8)	1806_C2 (5) 5K / well (B9)	1806_C2 (5) 5K / well (B10)	1806_C2 (5) 5K / well (B11)	1806_C2 (5) 5K / well (C2)	1806_C2 (5) 5K / well (C3)	1806_C2 (5) 5K / well (C4)	1806_C2 (5) 5K / well (C5)	1806_C2 (5) 5K / well (C6)	1806_C2 (5) 5K / well (C7)	1806_C2 (5) 5K / well (C8)	1806_C2 (5) 5K / well (C9)	1806_C2 (5) 5K / well (C10)	1806_C2 (5) 5K / well (C11)	1806_C2 (5) 5K / well (D2)	1806_C2 (5) 5K / well (D3)	1806_C2 (5) 5K / well (D4)	1806_C2 (5) 5K / well (D5)	1806_C2 (5) 5K / well (D6)	1806_C2 (5) 5K / well (D7)	1806_C2 (5) 5K / well (D8)	1806_C2 (5) 5K / well (D9)	1806_C2 (5) 5K / well (D10)	1806_C2 (5) 5K / well (D11)
9/20/2024 5:17:00 PM	0	12.15453	8.268834	8.271564	16.76205	12.74688	18.22363	19.16078	12.0195	17.06727	9.278121	10.99958	13.21973	31.79198	17.4415	17.01261	16.29227	16.21371	33.1302	10.34552	11.21424	9.848582	18.90091	14.8466	13.78237	7.444204	13.46339	6.943747	13.26769	38.35968	45.06681
9/20/2024 9:17:00 PM	4	17.57038	10.43072	10.01676	23.87208	18.66558	25.51343	24.32262	19.82899	20.94208	13.92414	12.87028	17.91958	34.69777	23.51381	21.51678	21.79001	23.25424	41.38694	15.18702	15.6421	12.83893	22.66677	16.22169	17.44467	10.3663	16.87885	8.922859	16.78939	20.54811	29.05392
9/21/2024 1:17:00 AM	8	19.11496	11.50835	10.68832	22.51674	19.7577	26.76569	25.83886	21.14952	24.87061	15.69167	13.88209	18.82172	30.81285	24.17755	22.50033	25.75258	24.28946	35.12056	15.94452	16.20667	13.17752	24.55243	17.40547	18.80869	11.26215	18.39229	10.02982	18.61666	17.10313	19.37045
9/21/2024 5:17:00 AM	12	18.6415	12.02755	12.81825	23.0987	20.94659	28.41699	25.90912	21.47681	21.73791	15.79129	14.95318	18.59668	36.74518	25.41411	23.71038	23.75286	25.10261	40.66001	17.38743	16.6424	13.62341	23.29756	16.63924	20.13093	12.18137	18.70924	10.52017	18.63237	15.75206	18.20041
9/21/2024 9:17:00 AM	16	19.565	12.66372	12.40974	24.96705	21.68053	30.43433	28.14357	23.05904	24.70302	16.31189	15.66176	20.20191	35.6042	25.42189	25.56695	24.69559	26.66673	38.25604	18.43328	17.76123	14.40841	27.14279	16.63828	21.13864	12.66541	20.52826	11.25931	19.88143	17.32621	19.3817
9/21/2024 1:17:00 PM	20	21.41346	13.19556	12.77315	30.24858	24.68115	29.1071	32.5071	26.60633	24.94315	17.39891	16.38151	20.8721	34.22987	27.64114	26.24065	26.04647	28.50182	46.35776	19.22426	19.68032	15.40831	26.85454	20.53021	22.31686	13.30774	20.85543	11.9783	20.90946	16.09232	17.9112
9/21/2024 5:17:00 PM	24	21.14423	13.6239	14.02693	26.60496	23.60122	29.74439	32.81992	25.70757	27.12685	18.5925	17.36953	21.79763	38.05104	28.30931	27.67491	27.10655	29.55033	46.55899	21.02839	20.47093	16.63467	28.77734	18.77573	23.28036	14.14196	21.79811	12.80196	23.19799	16.74283	18.64517
9/21/2024 9:17:00 PM	28	23.04022	14.81841	14.07086	29.00489	25.92513	33.23581	37.57297	26.72431	28.63299	19.4336	18.31362	23.40723	36.05872	29.67309	29.1685	29.41084	31.60731	41.61046	21.23258	21.00681	16.98118	29.59524	19.50713	24.50136	15.17674	22.83646	13.5415	24.25532	17.63425	19.3451
9/22/2024 1:17:00 AM	32	25.61966	15.406	15.07296	29.88078	27.77246	37.16891	34.51878	28.72037	28.72737	21.55724	19.45574	24.7326	40.62626	29.66998	30.89856	32.51279	33.39238	49.09134	23.33981	22.36244	17.44052	29.89645	20.95054	26.03099	15.75991	24.6066	14.15121	25.66857	19.04509	19.78947
9/22/2024 5:17:00 AM	36	25.16349	16.08437	16.00139	30.93051	28.59308	38.87542	36.54414	31.13189	33.61905	22.0032	20.98909	24.42365	39.39696	32.57071	32.66892	33.99051	35.62784	49.454	24.74561	23.66765	19.45637	32.26089	22.91442	27.90262	16.61005	26.15805	14.6689	26.70667	19.70332	21.38873
9/22/2024 9:17:00 AM	40	28.41891	18.02376	16.81261	28.94264	31.98959	38.87821	40.45615	33.38605	34.59846	23.37835	22.26766	25.90896	41.36657	34.68919	36.15864	35.84119	37.19328	47.52583	26.57073	25.6458	19.77148	34.12783	24.80837	31.18008	17.37162	27.78864	16.01942	28.35184	21.82153	22.44473
9/22/2024 1:17:00 PM	44	29.59611	18.65935	18.53037	30.82572	34.4743	43.0775	40.25322	35.78258	35.56249	25.77943	24.08544	28.09494	40.33981	36.14513	38.0231	36.91497	40.22562	56.13343	28.58167	27.393	21.02837	37.06223	24.95089	32.21877	18.81911	29.9857	16.84763	32.05215	22.84907	24.65632
9/22/2024 5:17:00 PM	48	30.34496	20.29456	19.87241	33.22544	38.36978	44.10627	45.78606	40.69154	36.36432	27.5698	26.44714	29.40732	45.8351	38.9185	42.80289	40.88258	45.05818	56.60972	31.13536	29.49316	22.97762	40.12363	27.25424	34.8089	20.2271	33.08887	18.10603	34.1596	24.3388	26.63564
9/22/2024 9:17:00 PM	52	32.87024	21.52828	22.24917	36.47239	40.11606	50.57664	50.51206	43.90994	42.7918	30.8616	28.83908	30.85521	46.6233	42.11375	45.96637	45.48005	48.88778	58.99996	34.31331	32.12172	24.67319	42.77275	30.09127	37.93911	21.87721	35.5103	19.26606	36.92392	26.759	29.40049
9/23/2024 1:17:00 AM	56	35.3834	23.50624	23.57335	38.46164	43.73065	53.63223	52.57452	45.49361	44.21486	32.94092	30.68486	32.77204	41.3405	44.32331	50.9238	51.28977	51.51078	60.86594	38.11032	35.25607	26.97266	45.08817	30.65199	40.86594	23.30256	39.27544	21.07164	39.47692	29.28495	31.43514
9/23/2024 5:17:00 AM	60	38.36944	25.50661	25.82681	39.69277	47.54354	52.24059	55.96648	49.721	50.01556	35.61386	33.59658	34.3746	47.05232	47.60251	55.72198	54.05885	56.3637	66.50565	40.47736	37.91539	29.20692	49.21024	34.47557	45.13504	25.46878	43.32814	22.36113	41.76057	31.09354	35.19604
9/23/2024 9:17:00 AM	64	40.9537	27.73519	26.8053	45.54862	50.696	59.60061	58.02697	54.72454	51.74228	38.62592	37.11581	38.39442	52.85706	52.57286	60.00085	61.15461	61.07852	68.80472	43.88569	40.39056	32.34124	53.18682	36.30316	49.1113	27.6644	47.95362	24.878	44.45745	35.41848	39.40345
9/23/2024 1:17:00 PM	68	43.85535	30.48861	29.5777	46.44839	54.25602	59.33619	66.09122	59.05899	54.27963	42.55321	41.35857	37.85705	54.21216	58.53481	65.69264	65.15623	65.73336	74.30329	48.24147	43.10922	35.86145	56.21019	41.20934	54.31424	29.8945	52.35447	26.72192	47.28613	37.64122	43.56851
9/23/2024 5:17:00 PM	72	46.02153	35.75346	33.84177	50.99035	59.24722	65.70461	66.2043	62.46254	59.80481	48.77711	45.83302	41.07808	59.35732	61.48841	71.33994	70.72247	70.61755	79.26479	52.61992	46.98489	38.881	60.99067	43.2966	58.74297	35.41315	57.79833	28.68392	48.50828	40.8278	48.11912
9/23/2024 9:17:00 PM	76	50.72705	38.86872	36.30825	56.81876	63.95826	68.86021	71.30035	66.4601	65.15819	52.33629	49.19995	45.18164	61.60436	67.14945	76.67332	74.94472	75.09063	84.04288	56.53788	49.65198	42.62337	63.68797	48.66574	63.95141	38.36096	62.64215	31.57959	52.06309	46.0411	52.59581
9/24/2024 1:17:00 AM	80	54.09786	41.6791	39.37536	61.07637	68.03194	71.72123	78.1766	70.88274	67.87405	55.82933	53.18653	48.84945	57.75479	71.38671	82.0726	79.66429	79.7626	86.39633	60.99391	53.52573	46.63087	68.19602	51.23626	68.92639	41.9796	67.54783	34.67617	54.93929	49.90654	57.47918
9/24/2024 5:17:00 AM	84	57.18351	45.82996	42.01874	64.05365	72.501	77.16641	80.78926	73.94438	72.08416	59.84995	56.81689	52.64267	66.24287	76.42659	86.50978	83.48494	82.54715	90.43754	65.18947	57.68594	49.57098	71.08934	55.33957	73.08129	45.14466	72.28441	37.69913	59.39759	54.29156	62.51542
9/24/2024 9:17:00 AM	88	61.54103	48.67238	46.08004	67.15057	75.80446	81.47115	84.1478	78.72217	75.55576	63.70099	59.80804	56.99131	66.26696	80.25105	90.27146	87.16929	86.11662	91.81367	68.69055	61.32708	53.62003	75.60865	58.17891	76.95488	48.16906	76.17065	41.38746	62.88568	59.81599	67.18745
9/24/2024 1:17:00 PM	92	64.05318	53.08844	49.07249	68.51196	79.53316	82.52268	83.58518	81.79526	80.56221	66.22462	63.20315	60.35123	64.87905	84.17934	93.25512	90.48451	89.3271	94.61843	72.74487	64.86604	57.48185	78.11024	62.70265	80.71579	51.00957	79.90011	46.53645	65.83337	64.82055	71.83124
9/24/2024 5:17:00 PM	96	63.45646	53.39558	50.80071	68.58229	79.08717	81.26357	86.91013	80.94553	77.42755	64.82931	63.09093	58.17381	71.06561	83.06499	93.53482	90.19046	88.38702	94.01532	72.05266	64.77016	56.72949	78.18165	63.70587	80.38918	51.77155	79.76003	46.46563	65.32662	64.04881	74.72963
