Date Time	Elapsed	1806_C3 (5) 5K / well (E2)	1806_C3 (5) 5K / well (E3)	1806_C3 (5) 5K / well (E4)	1806_C3 (5) 5K / well (E5)	1806_C3 (5) 5K / well (E6)	1806_C3 (5) 5K / well (E7)	1806_C3 (5) 5K / well (E8)	1806_C3 (5) 5K / well (E9)	1806_C3 (5) 5K / well (E10)	1806_C3 (5) 5K / well (E11)	1806_C3 (5) 5K / well (F2)	1806_C3 (5) 5K / well (F3)	1806_C3 (5) 5K / well (F4)	1806_C3 (5) 5K / well (F5)	1806_C3 (5) 5K / well (F6)	1806_C3 (5) 5K / well (F7)	1806_C3 (5) 5K / well (F8)	1806_C3 (5) 5K / well (F9)	1806_C3 (5) 5K / well (F10)	1806_C3 (5) 5K / well (F11)	1806_C3 (5) 5K / well (G2)	1806_C3 (5) 5K / well (G3)	1806_C3 (5) 5K / well (G4)	1806_C3 (5) 5K / well (G5)	1806_C3 (5) 5K / well (G6)	1806_C3 (5) 5K / well (G7)	1806_C3 (5) 5K / well (G8)	1806_C3 (5) 5K / well (G9)	1806_C3 (5) 5K / well (G10)	1806_C3 (5) 5K / well (G11)
9/20/2024 5:17:00 PM	0	21.74615	19.67464	18.30327	13.61042	12.84805	22.43577	15.41845	19.982	16.99365	11.76235	17.74313	16.042	14.28304	14.11782	11.375	8.805147	8.635942	9.111995	4.044457	2.375582	15.81568	18.34344	8.42836	13.85602	15.58906	11.07924	14.97656	5.549123	3.395735	1.28647
9/20/2024 9:17:00 PM	4	29.31776	26.65833	26.40181	20.59506	20.97899	28.77707	23.02952	27.09797	22.81796	18.80322	23.83534	22.7165	20.48275	20.1898	15.95726	12.71681	11.92184	11.59367	6.609142	3.527368	21.58298	23.38984	13.21553	16.53445	20.72416	18.40274	17.26705	8.231706	5.257848	2.091483
9/21/2024 1:17:00 AM	8	29.27052	27.96426	28.04673	21.28992	22.24313	30.5835	25.4168	27.58085	24.55968	19.30879	25.27554	23.41099	20.52337	18.86862	17.0954	13.38236	13.14434	11.53861	7.587561	3.621918	22.28234	24.41217	15.93413	17.20581	22.22931	14.12827	24.54961	8.22007	5.836794	2.021149
9/21/2024 5:17:00 AM	12	29.08992	30.32404	28.60727	21.16106	21.24229	31.77028	25.91064	26.77075	25.98213	19.79659	26.53306	23.57652	24.9135	18.73847	21.51188	13.89036	13.06783	11.81946	7.198646	3.862238	23.26621	25.53984	13.6971	18.03484	24.85538	15.18184	21.22933	9.242807	5.372745	2.171529
9/21/2024 9:17:00 AM	16	30.81812	31.12521	29.66897	23.60958	23.49516	33.12206	27.99263	28.16249	26.59874	21.23124	27.69745	24.93443	24.0906	20.80936	20.18407	15.0449	13.75233	13.21031	7.801027	4.118959	24.30412	26.55405	14.72161	17.13735	21.79689	17.26618	19.56085	9.37707	6.903636	2.190202
9/21/2024 1:17:00 PM	20	32.30022	32.01427	30.52711	24.40717	25.83792	35.78529	29.15047	31.05935	29.5386	23.36195	29.44457	27.05614	22.8758	22.15172	18.41742	15.85613	14.59662	12.69325	8.035765	4.26149	27.07461	26.84637	16.77917	17.819	24.51051	18.67976	24.57134	10.55587	6.509205	2.22591
9/21/2024 5:17:00 PM	24	35.36064	35.16096	31.51688	24.56292	26.91121	38.37095	32.03162	33.01563	30.47906	26.02676	31.16214	29.2816	23.80713	21.39495	20.51429	16.43581	15.73223	14.49418	8.607116	4.465429	27.87079	28.23627	16.96308	18.76325	23.49326	17.30721	20.8914	10.4025	5.842414	2.422038
9/21/2024 9:17:00 PM	28	37.0268	37.38458	34.50258	29.07557	27.23248	40.68815	34.50893	34.63902	32.36898	27.28883	34.47475	30.56925	24.82548	22.30796	18.68908	17.23083	16.15413	15.79142	9.290504	4.840693	29.63048	28.89477	17.54247	21.46081	22.48331	20.23644	24.05771	11.1489	7.253709	2.583131
9/22/2024 1:17:00 AM	32	39.60858	38.55836	38.69415	30.31724	30.29098	45.16186	37.18811	39.57938	35.32355	29.16483	36.43525	32.76923	26.14753	24.01357	20.33738	18.86046	18.10485	16.0644	9.870872	4.901656	32.26663	32.01583	19.22439	22.53779	24.94388	23.51054	25.48731	10.98613	6.886599	2.424122
9/22/2024 5:17:00 AM	36	41.73509	40.24938	38.98613	32.00085	32.40871	48.57499	39.71256	42.01434	38.78639	32.71943	38.33988	35.35418	27.98369	25.97468	21.06964	20.78717	18.52077	17.34078	9.984492	5.488894	33.34746	32.38067	20.56244	22.51569	28.70157	21.61052	23.87533	11.32197	6.991786	2.799681
