Date Time	Elapsed	1806_C4 (5) 5K / well (E2)	1806_C4 (5) 5K / well (E3)	1806_C4 (5) 5K / well (E4)	1806_C4 (5) 5K / well (E5)	1806_C4 (5) 5K / well (E6)	1806_C4 (5) 5K / well (E7)	1806_C4 (5) 5K / well (E8)	1806_C4 (5) 5K / well (E9)	1806_C4 (5) 5K / well (E10)	1806_C4 (5) 5K / well (E11)	1806_C4 (5) 5K / well (F2)	1806_C4 (5) 5K / well (F3)	1806_C4 (5) 5K / well (F4)	1806_C4 (5) 5K / well (F5)	1806_C4 (5) 5K / well (F6)	1806_C4 (5) 5K / well (F7)	1806_C4 (5) 5K / well (F8)	1806_C4 (5) 5K / well (F9)	1806_C4 (5) 5K / well (F10)	1806_C4 (5) 5K / well (F11)	1806_C4 (5) 5K / well (G2)	1806_C4 (5) 5K / well (G3)	1806_C4 (5) 5K / well (G4)	1806_C4 (5) 5K / well (G5)	1806_C4 (5) 5K / well (G6)	1806_C4 (5) 5K / well (G7)	1806_C4 (5) 5K / well (G8)	1806_C4 (5) 5K / well (G9)	1806_C4 (5) 5K / well (G10)	1806_C4 (5) 5K / well (G11)
12/13/2024 3:02:00 PM	0	14.43982	20.54821	35.63853	23.87517	22.08604	18.81783	25.49256	32.59034	27.32153	17.93301	18.38799	15.41312	22.77505	32.25797	19.0147	17.70069	28.37227	35.67819	25.52868	15.32912	9.77687	11.64281	14.18601	32.35526	21.30353	25.38583	35.4403	27.83242	21.87296	11.56344
12/13/2024 7:02:00 PM	4	18.27844	24.54419	33.12212	28.45746	26.11063	22.06279	30.91887	34.15384	30.29	22.74837	18.47082	17.77202	24.4859	35.16136	23.30235	21.18728	36.08895	39.02682	30.30956	19.49057	11.71098	14.29453	16.33592	39.29762	30.35736	30.45499	39.45154	32.31885	25.97484	15.02775
12/13/2024 11:02:00 PM	8	18.41678	25.19677	35.12543	30.00805	28.09542	23.50764	32.42831	35.41561	30.80233	23.20943	20.19603	18.63212	22.87213	35.13169	25.15248	22.70363	36.81335	39.29693	31.0659	19.14081	12.48182	14.08582	17.48792	38.9579	29.88297	32.41587	42.46014	31.48995	27.51385	15.36387
12/14/2024 3:02:00 AM	12	19.05174	25.96042	34.89405	30.19718	28.36798	24.96321	34.94281	36.49252	31.88942	24.96484	19.80294	19.00744	26.27148	37.07631	25.68918	23.18938	35.25125	39.97118	32.26209	20.13611	13.16597	15.10907	17.71432	42.12638	28.70982	32.04029	37.1179	31.67921	27.95121	15.89535
12/14/2024 7:02:00 AM	16	19.86782	26.8199	35.48904	32.33416	29.15644	25.91803	37.07201	37.5046	34.22979	25.05794	20.98497	19.84243	27.22371	38.85229	25.42634	24.88107	37.10014	41.76154	34.04174	20.66396	13.49888	15.59863	18.93101	44.55517	30.39719	30.53643	41.19666	33.68056	28.95423	16.40047
12/14/2024 11:02:00 AM	20	21.80341	28.94358	33.679	35.64486	31.17392	27.85724	38.96009	41.58879	36.85604	26.92185	21.26684	22.24579	26.12317	41.54078	27.45611	26.07189	39.99487	44.27369	35.89401	22.3807	14.58918	17.04296	19.13371	50.50798	31.89927	34.17232	39.26135	35.53994	31.75083	17.54439
12/14/2024 3:02:00 PM	24	22.35398	29.66655	36.38258	38.51565	34.21247	30.41944	43.5437	45.57843	40.1036	28.83695	22.16831	23.26416	27.91858	44.87983	29.03631	27.52196	46.43376	48.04269	39.51953	23.02309	15.15902	17.34419	19.85343	49.13057	32.4532	34.90425	46.04277	36.43353	33.59077	18.56436
12/14/2024 7:02:00 PM	28	24.83074	33.70267	35.71318	41.99696	36.69017	32.59914	48.40479	51.09656	43.73552	31.77289	24.14803	24.66136	30.23175	47.55989	30.32043	29.81946	47.50336	48.11491	42.00283	25.2209	15.83366	19.43093	22.18223	49.1394	34.57503	37.72959	47.57981	41.44547	36.68372	20.7007
12/14/2024 11:02:00 PM	32	28.69375	36.41597	39.84269	48.81931	42.56048	34.87251	51.732	54.18604	48.20247	33.92528	25.45557	28.30413	28.87391	54.77548	34.24706	32.18851	48.57269	53.28272	46.95375	25.77882	17.45385	21.09747	22.84012	55.27097	36.66858	38.24255	45.9198	47.45795	41.76179	20.75289
12/15/2024 3:02:00 AM	36	32.46852	40.13211	39.77434	55.17145	46.70693	38.51733	58.01073	59.73259	53.86762	37.77448	28.95336	31.09094	31.40796	60.23046	38.9018	35.37554	53.86217	60.68695	51.62031	28.46581	18.50335	22.14326	25.43665	60.00412	37.88315	45.99837	50.4562	51.89673	45.73434	24.37622
