Vessel Name: KH2404_A2H_F8_C6_GrowthRate
Date Time	Elapsed	1806_C6 (5) 5K / well (E2)	1806_C6 (5) 5K / well (E3)	1806_C6 (5) 5K / well (E4)	1806_C6 (5) 5K / well (E5)	1806_C6 (5) 5K / well (E6)	1806_C6 (5) 5K / well (E7)	1806_C6 (5) 5K / well (E8)	1806_C6 (5) 5K / well (E9)	1806_C6 (5) 5K / well (E10)	1806_C6 (5) 5K / well (E11)	1806_C6 (5) 5K / well (F2)	1806_C6 (5) 5K / well (F3)	1806_C6 (5) 5K / well (F4)	1806_C6 (5) 5K / well (F5)	1806_C6 (5) 5K / well (F6)	1806_C6 (5) 5K / well (F7)	1806_C6 (5) 5K / well (F8)	1806_C6 (5) 5K / well (F9)	1806_C6 (5) 5K / well (F10)	1806_C6 (5) 5K / well (F11)	1806_C6 (5) 5K / well (G2)	1806_C6 (5) 5K / well (G3)	1806_C6 (5) 5K / well (G4)	1806_C6 (5) 5K / well (G5)	1806_C6 (5) 5K / well (G6)	1806_C6 (5) 5K / well (G7)	1806_C6 (5) 5K / well (G8)	1806_C6 (5) 5K / well (G9)	1806_C6 (5) 5K / well (G10)	1806_C6 (5) 5K / well (G11)
12/3/2024 6:43:00 PM	0	20.09237	22.48058	35.06245	25.80091	23.34323	26.28462	25.60804	33.90665	33.78458	24.21511	15.43903	16.70148	23.49555	20.95157	27.40491	21.62607	23.35452	29.1236	34.54165	23.87742	13.95916	16.04359	18.23037	27.5823	33.51541	37.53496	47.46743	38.97164	24.57308	25.14256
12/3/2024 10:43:00 PM	4	22.76055	25.30238	35.59199	29.55062	25.94725	29.31735	28.84007	33.79335	35.07107	27.96269	17.53872	18.85168	27.17426	24.36849	30.86722	24.73654	25.25619	32.44153	35.90257	26.91398	16.14102	18.09453	19.51517	30.449	33.24489	44.08845	49.19638	40.84091	26.00236	27.99156
12/4/2024 2:43:00 AM	8	25.05173	26.27551	35.86354	30.21803	28.00731	31.18715	30.46205	39.98038	36.67614	29.79325	19.14997	20.46698	29.71609	24.46359	32.32733	26.42288	27.75995	35.67955	41.27846	28.82074	17.43607	20.05361	21.16063	32.84158	35.78347	38.54578	47.90637	41.49834	27.76973	30.01994
12/4/2024 6:43:00 AM	12	26.94279	28.84766	37.37921	32.16064	29.55823	34.38507	32.92436	39.50433	38.48631	30.7197	20.1475	22.09611	29.37848	27.49342	34.09589	27.3625	28.57186	35.02208	42.60944	30.32809	18.78919	21.22206	21.97387	33.38168	37.82777	43.57605	50.148	39.25146	28.82399	31.43239
12/4/2024 10:43:00 AM	16	27.85234	29.76105	42.70503	33.85786	30.85668	35.60925	34.16569	41.21212	41.56724	32.62347	21.7504	22.99608	32.08105	27.79313	36.62286	30.03631	30.06739	35.65022	42.23501	31.99627	20.40295	21.91504	24.20524	36.63147	38.9774	50.66036	52.63897	40.81546	30.63267	34.27074
12/4/2024 2:43:00 PM	20	29.74332	30.28878	45.68805	35.83115	32.87987	37.10615	34.61941	40.74786	42.21768	33.98194	22.53926	25.26314	33.58379	28.92399	36.53633	31.11062	30.3683	38.79945	43.86984	32.86705	20.85725	23.07626	26.62933	37.30736	42.19278	45.15569	49.68328	48.77211	32.81852	32.92191
12/4/2024 6:43:00 PM	24	29.9567	34.45843	42.03782	39.43602	35.30656	38.88221	36.92678	45.24693	44.01262	36.38902	23.69471	26.54139	34.39431	30.38362	40.51642	32.36783	33.04023	38.75019	44.4595	35.0069	22.56936	24.48611	26.23265	37.55526	42.98136	48.33529	55.63497	47.14103	34.76212	34.36076
12/4/2024 10:43:00 PM	28	31.26075	36.10571	44.76529	40.91288	37.8283	41.66921	40.08958	49.29999	45.67776	38.39518	25.48499	27.44287	38.90187	32.01221	42.22545	34.19698	35.64879	41.4212	47.64366	37.60239	24.04917	25.82534	28.40423	42.15847	45.01412	48.43859	54.43352	48.572	37.05482	36.99771
12/5/2024 2:43:00 AM	32	33.44005	37.53844	46.30492	44.08979	40.89219	43.65305	43.41771	51.03688	49.4874	41.34642	27.0488	28.68703	37.31392	34.13918	44.43831	36.78888	38.11744	44.39981	48.32114	39.99395	24.63528	27.69971	29.47404	39.33567	48.09902	51.78457	61.88099	49.90578	38.29259	39.97502
12/5/2024 6:43:00 AM	36	36.28234	39.66297	52.51574	46.37877	43.52274	46.61013	44.19402	53.04808	52.82262	42.93295	27.92904	31.10948	39.72453	36.12119	47.69701	38.53052	39.57349	46.67369	51.83607	41.90559	26.93157	28.68131	31.60414	41.50671	48.42726	52.05941	58.38906	49.33223	40.36817	42.60154
