Vessel Name: KH2404_A2H_C7_1806GFP_P_GrowthRate
Date Time	Elapsed	1806_C7 (8) 5K / well (B2)	1806_C7 (8) 5K / well (B3)	1806_C7 (8) 5K / well (B4)	1806_C7 (8) 5K / well (B5)	1806_C7 (8) 5K / well (B6)	1806_C7 (8) 5K / well (B7)	1806_C7 (8) 5K / well (B8)	1806_C7 (8) 5K / well (B9)	1806_C7 (8) 5K / well (B10)	1806_C7 (8) 5K / well (B11)	1806_C7 (8) 5K / well (C2)	1806_C7 (8) 5K / well (C3)	1806_C7 (8) 5K / well (C4)	1806_C7 (8) 5K / well (C5)	1806_C7 (8) 5K / well (C6)	1806_C7 (8) 5K / well (C7)	1806_C7 (8) 5K / well (C8)	1806_C7 (8) 5K / well (C9)	1806_C7 (8) 5K / well (C10)	1806_C7 (8) 5K / well (C11)	1806_C7 (8) 5K / well (D2)	1806_C7 (8) 5K / well (D3)	1806_C7 (8) 5K / well (D4)	1806_C7 (8) 5K / well (D5)	1806_C7 (8) 5K / well (D6)	1806_C7 (8) 5K / well (D7)	1806_C7 (8) 5K / well (D8)	1806_C7 (8) 5K / well (D9)	1806_C7 (8) 5K / well (D10)	1806_C7 (8) 5K / well (D11)
8/16/2024 2:51:00 PM	0	12.9317	15.64229	10.95662	6.428086	5.902521	7.041016	10.61589	6.940494	4.93704	27.41923	10.30665	31.82389	12.85549	5.533235	7.745612	4.384606	9.054131	6.475145	12.01662	8.304544	9.466937	15.09699	15.81292	8.802178	9.919821	5.847974	9.986428	6.500547	15.34743	11.67912
8/16/2024 6:51:00 PM	4	16.18236	19.17819	12.5428	10.15385	8.907147	7.514869	22.71256	7.667377	8.82178	21.34814	13.48012	32.18615	16.55855	9.001053	12.90007	6.616325	13.35119	7.684176	18.62628	12.02973	15.05387	19.99646	14.58112	11.28864	13.46523	8.59	14.08192	6.969392	19.84335	14.96131
8/16/2024 10:51:00 PM	8	17.26689	23.31843	16.35317	11.307	10.94349	9.339701	20.1835	6.712636	10.26981	23.46253	15.85452	26.65915	16.74865	10.42177	14.66435	7.815787	15.15995	8.114889	19.58626	14.89303	16.55375	19.41633	15.93417	13.35407	15.44149	10.22492	16.6501	7.446952	22.97592	16.66762
8/17/2024 2:51:00 AM	12	19.94479	18.88526	14.43675	11.34062	10.87028	8.192533	20.45753	6.753433	10.50795	23.46589	15.76104	26.9005	16.65714	10.14016	14.12103	8.024491	15.32233	7.612502	19.03178	13.57998	16.88564	22.30198	17.00354	13.20553	16.70886	10.68949	16.40648	7.305565	22.17597	16.26159
8/17/2024 6:51:00 AM	16	18.98335	21.63968	16.68911	12.34596	11.8267	10.45473	20.91515	7.398104	11.37031	21.99655	16.72314	29.51346	16.47721	10.61994	14.77162	8.607011	16.52822	8.395269	19.32973	14.52726	16.81808	22.37238	16.48393	14.22714	17.62261	11.35215	17.31807	7.90854	23.51316	17.06306
8/17/2024 10:51:00 AM	20	18.96575	29.49874	14.83552	13.05747	11.95861	9.362185	21.53846	8.102997	11.09403	22.02095	16.47155	27.3244	17.10415	11.11645	14.98444	8.919041	16.86688	10.04374	20.65507	16.1227	17.0429	21.45192	16.64655	15.16558	18.86287	11.41715	17.83232	7.846228	24.04797	18.3431
8/17/2024 2:51:00 PM	24	22.47213	24.66271	15.79382	13.4288	12.91518	8.851616	23.41353	7.280683	11.93807	22.43097	18.15301	29.39705	18.04247	11.67227	15.48688	9.336856	18.47638	9.273069	20.67418	16.12692	18.01384	24.06236	19.42982	15.85785	18.2529	12.21511	19.02439	8.113841	25.49359	19.65526
8/17/2024 6:51:00 PM	28	20.88682	23.26236	17.54185	13.96133	14.84255	9.269771	21.52542	8.541898	12.43622	23.87388	19.03419	33.16789	17.92766	12.61684	16.49226	9.472425	19.50025	11.03414	22.63003	16.61454	19.67215	25.28195	18.07314	16.50538	18.91676	12.49293	19.93841	9.242657	27.09279	20.02852
8/17/2024 10:51:00 PM	32	22.71357	24.84763	18.15624	13.20625	13.96296	10.07867	24.97864	8.869177	13.16302	25.35313	19.18437	38.86569	18.35268	13.21689	16.7959	9.617304	20.0054	9.759359	23.7952	18.44366	20.448	25.90851	19.94258	17.19886	20.65041	13.74028	21.04712	9.9134	28.53252	21.18674
8/18/2024 2:51:00 AM	36	23.26304	32.90588	17.97301	14.54614	14.05471	10.40525	23.9908	7.80371	13.98932	26.69401	20.73387	37.82922	19.61119	13.23131	17.3567	10.21931	20.78011	10.46593	25.53216	17.92715	22.13701	27.2249	20.09386	16.87797	20.46405	13.96378	22.23195	9.521141	28.98213	21.91396
