Vessel Name: KH2404_A2H_F5_C8_GrowthRate
Date Time	Elapsed	1806_C8 (5) 5K / well (E2)	1806_C8 (5) 5K / well (E3)	1806_C8 (5) 5K / well (E4)	1806_C8 (5) 5K / well (E5)	1806_C8 (5) 5K / well (E6)	1806_C8 (5) 5K / well (E7)	1806_C8 (5) 5K / well (E8)	1806_C8 (5) 5K / well (E9)	1806_C8 (5) 5K / well (E10)	1806_C8 (5) 5K / well (E11)	1806_C8 (5) 5K / well (F2)	1806_C8 (5) 5K / well (F3)	1806_C8 (5) 5K / well (F4)	1806_C8 (5) 5K / well (F5)	1806_C8 (5) 5K / well (F6)	1806_C8 (5) 5K / well (F7)	1806_C8 (5) 5K / well (F8)	1806_C8 (5) 5K / well (F9)	1806_C8 (5) 5K / well (F10)	1806_C8 (5) 5K / well (F11)	1806_C8 (5) 5K / well (G2)	1806_C8 (5) 5K / well (G3)	1806_C8 (5) 5K / well (G4)	1806_C8 (5) 5K / well (G5)	1806_C8 (5) 5K / well (G6)	1806_C8 (5) 5K / well (G7)	1806_C8 (5) 5K / well (G8)	1806_C8 (5) 5K / well (G9)	1806_C8 (5) 5K / well (G10)	1806_C8 (5) 5K / well (G11)
1/14/2025 7:40:00 PM	0	9.308991	16.46254	23.37462	16.00048	10.98238	13.33054	12.4055	22.58192	13.06293	13.63138	14.47388	17.19894	42.29338	19.72916	19.36116	16.94766	17.54522	46.03223	13.98784	16.2922	15.22665	20.39369	24.56916	35.58678	37.62576	34.45018	38.45921	29.08501	14.38232	16.07122
1/14/2025 11:40:00 PM	4	11.05667	17.20559	26.07554	19.03182	13.18201	15.57192	14.83353	21.48677	16.47997	15.11282	14.92891	22.8831	40.97033	22.74056	22.43303	20.64961	20.06377	42.18457	16.76962	18.35647	17.86182	23.33048	32.71265	42.21918	32.92627	37.63963	43.26561	32.81385	17.48402	19.50614
1/15/2025 3:40:00 AM	8	11.2456	17.56468	25.39782	19.24955	14.06675	16.46821	14.93562	21.52941	17.86597	15.81489	15.08901	20.35155	45.20227	23.28673	23.07257	21.81218	20.77031	49.12769	17.19023	19.79458	17.87917	24.38943	30.60877	39.19538	33.09139	37.3367	48.36398	34.29348	17.53785	19.99927
1/15/2025 7:40:00 AM	12	11.85306	18.3888	26.45424	19.74696	14.46064	16.79543	15.37628	26.4706	16.82594	16.28747	16.07248	20.69488	38.45954	24.60622	23.05247	21.66694	21.52513	37.89737	18.34344	19.61776	18.2284	23.91798	30.28999	39.56019	36.79388	34.31004	47.85015	34.65453	18.22973	20.67031
1/15/2025 11:40:00 AM	16	12.09435	18.38506	27.45271	20.63788	15.17088	17.41006	16.09794	23.4493	18.07835	17.39178	16.55888	22.21798	38.76941	24.459	24.67568	22.33151	22.43887	37.87551	18.82969	20.42704	19.00872	26.03067	30.93781	41.3547	36.24028	39.13588	46.61414	35.17131	18.56474	21.60295
1/15/2025 3:40:00 PM	20	12.79076	19.50079	28.05413	22.1415	15.40669	17.97835	17.00793	22.89981	18.40896	18.33633	17.14998	24.79021	43.84589	25.60552	25.70416	23.16192	22.84912	48.92876	19.77876	21.93184	20.44317	27.2023	31.49871	45.55814	35.50878	38.85921	48.525	37.97318	19.17992	22.49556
1/15/2025 7:40:00 PM	24	13.30514	20.39004	25.41304	22.37057	16.59167	18.92614	17.22338	25.82658	19.54962	18.75501	18.17545	23.19253	44.78267	26.33908	25.74469	24.22597	24.16109	45.15163	20.49759	22.05181	20.22573	27.4129	32.97012	43.06149	37.92987	44.86193	51.81154	36.66576	20.03981	23.54186
1/15/2025 11:40:00 PM	28	14.09676	22.60393	28.03883	23.44486	17.10604	19.65323	18.08188	27.40218	19.47383	20.26168	18.75734	24.90359	45.34262	28.63555	26.92683	25.6854	24.58221	50.31293	21.2879	22.55202	21.29536	28.64681	34.20839	43.37676	37.02914	41.19924	54.6195	38.62573	20.96457	24.41321
1/16/2025 3:40:00 AM	32	15.09746	20.83488	32.7274	24.76266	17.93328	21.52512	18.7426	25.3198	22.91965	20.60597	19.59184	25.22077	43.78293	29.28399	27.59958	27.35131	26.81384	46.23785	22.26334	24.91774	23.30186	30.74021	37.54332	48.73459	44.11406	48.10533	48.33278	41.73574	22.47101	25.75742
1/16/2025 7:40:00 AM	36	15.74108	23.36638	31.81862	26.38664	18.93781	22.01212	19.36505	28.06244	22.80098	22.27157	19.82777	28.09317	43.78152	31.53672	30.04237	28.74926	27.50137	43.99629	23.60752	26.41017	23.46367	32.70219	36.46272	47.32534	44.86914	46.59062	51.37333	44.54626	23.92243	27.62367
1/16/2025 11:40:00 AM	40	16.75492	24.33375	28.62942	27.98954	19.81189	23.75726	21.11566	27.61848	23.18802	23.10522	22.4555	28.27881	47.35651	33.44444	32.71644	30.39576	29.72508	46.86034	24.27964	27.87043	25.7587	35.13102	37.03761	49.14431	45.93766	46.3467	57.12091	44.42089	25.02306	30.55588
1/16/2025 3:40:00 PM	44	17.54847	25.1447	31.75393	29.83313	20.45253	24.76587	21.78168	31.56527	26.05513	23.91093	23.08868	32.22497	48.82297	36.24664	33.54476	33.20356	31.31437	49.67049	26.29235	30.37436	27.02921	37.82626	40.82958	52.34737	49.51949	48.80315	53.25588	51.68536	25.96097	31.94732
1/16/2025 7:40:00 PM	48	19.2195	26.53849	34.43208	32.04348	22.27206	26.87413	23.06789	32.70314	26.71646	26.15542	25.27538	32.44621	49.00255	38.76204	35.39267	35.53005	33.52891	54.63028	28.01589	32.14095	29.03276	40.82781	44.63332	56.67073	50.40279	53.00283	61.15607	48.4325	27.83342	33.45288
1/16/2025 11:40:00 PM	52	20.34789	27.42426	34.24672	34.58501	23.29799	28.46259	24.53244	34.10559	28.17622	27.89076	25.86413	35.91525	54.49022	42.12757	38.91307	38.71215	35.8826	53.89445	29.97932	33.96252	31.11027	44.61292	45.74806	56.71983	50.23072	57.22563	60.32407	51.45797	30.28315	37.21012
1/17/2025 3:40:00 AM	56	21.88848	29.22421	36.91111	37.6874	25.29166	31.22564	26.78876	34.98189	29.79207	29.08285	27.59855	38.17723	55.10072	45.87194	41.92174	41.65209	38.86731	55.29585	32.43208	36.7482	33.05037	48.81347	49.60914	61.61029	53.6896	58.81174	62.85345	54.80309	32.23488	39.74054
1/17/2025 7:40:00 AM	60	23.97294	32.23489	39.51588	40.93362	27.12471	33.85448	28.07976	35.19169	31.56997	31.54826	29.18611	39.94292	57.54581	51.0204	45.17907	46.19056	42.40951	60.50682	35.40237	40.13076	35.19233	52.38488	53.608	64.50056	58.74094	60.86298	68.01614	58.96928	35.01242	42.99461
1/17/2025 11:40:00 AM	64	25.6644	33.73821	42.19545	45.20133	29.3413	36.60892	30.77578	39.01696	35.13832	34.43949	31.98786	45.5443	62.10602	54.90321	49.41907	49.99629	46.61008	60.12421	37.64488	42.78141	39.5359	56.03236	60.82948	69.7858	62.16639	67.58527	67.36374	62.10896	38.14936	47.10898
1/17/2025 3:40:00 PM	68	24.86988	33.93732	42.95088	42.65771	28.06538	36.05873	29.59725	36.71931	32.88411	32.12562	31.2052	40.31248	58.96857	54.15041	46.25976	48.38131	44.94425	60.26723	33.95442	41.51639	37.919	52.73809	56.16659	69.61311	62.71455	63.17522	66.87105	57.5766	37.67498	44.32969
