Date Time	Elapsed	1806_F2 (5) 5K / well (B2)	1806_F2 (5) 5K / well (B3)	1806_F2 (5) 5K / well (B4)	1806_F2 (5) 5K / well (B5)	1806_F2 (5) 5K / well (B6)	1806_F2 (5) 5K / well (B7)	1806_F2 (5) 5K / well (B8)	1806_F2 (5) 5K / well (B9)	1806_F2 (5) 5K / well (B10)	1806_F2 (5) 5K / well (B11)	1806_F2 (5) 5K / well (C2)	1806_F2 (5) 5K / well (C3)	1806_F2 (5) 5K / well (C4)	1806_F2 (5) 5K / well (C5)	1806_F2 (5) 5K / well (C6)	1806_F2 (5) 5K / well (C7)	1806_F2 (5) 5K / well (C8)	1806_F2 (5) 5K / well (C9)	1806_F2 (5) 5K / well (C10)	1806_F2 (5) 5K / well (C11)	1806_F2 (5) 5K / well (D2)	1806_F2 (5) 5K / well (D3)	1806_F2 (5) 5K / well (D4)	1806_F2 (5) 5K / well (D5)	1806_F2 (5) 5K / well (D6)	1806_F2 (5) 5K / well (D7)	1806_F2 (5) 5K / well (D8)	1806_F2 (5) 5K / well (D9)	1806_F2 (5) 5K / well (D10)	1806_F2 (5) 5K / well (D11)	1806_F2 (5) 5K / well (E2)	1806_F2 (5) 5K / well (E3)	1806_F2 (5) 5K / well (E4)	1806_F2 (5) 5K / well (E5)	1806_F2 (5) 5K / well (E6)	1806_F2 (5) 5K / well (E7)	1806_F2 (5) 5K / well (E8)	1806_F2 (5) 5K / well (E9)	1806_F2 (5) 5K / well (E10)	1806_F2 (5) 5K / well (E11)	1806_F2 (5) 5K / well (F2)	1806_F2 (5) 5K / well (F3)	1806_F2 (5) 5K / well (F4)	1806_F2 (5) 5K / well (F5)	1806_F2 (5) 5K / well (F6)	1806_F2 (5) 5K / well (F7)	1806_F2 (5) 5K / well (F8)	1806_F2 (5) 5K / well (F9)	1806_F2 (5) 5K / well (F10)	1806_F2 (5) 5K / well (F11)	1806_F2 (5) 5K / well (G2)	1806_F2 (5) 5K / well (G3)	1806_F2 (5) 5K / well (G4)	1806_F2 (5) 5K / well (G5)	1806_F2 (5) 5K / well (G6)	1806_F2 (5) 5K / well (G7)	1806_F2 (5) 5K / well (G8)	1806_F2 (5) 5K / well (G9)	1806_F2 (5) 5K / well (G10)	1806_F2 (5) 5K / well (G11)
7/19/2024 4:02:00 PM	0	23.49511	25.0534	24.33706	24.71881	24.0199	22.30672	21.49144	24.98101	24.25931	21.13448	23.93361	27.93876	28.98007	22.27806	21.70297	21.53096	23.55449	25.68696	22.91865	18.73007	18.52869	25.91243	21.86554	24.74025	20.03452	21.00804	25.4024	22.47842	22.72718	18.32198	18.82987	21.7502	23.43937	19.73787	19.01829	20.22044	19.51407	21.07385	22.8771	17.7934	17.02017	17.38779	27.39022	21.88986	19.72776	19.62945	21.30096	25.55529	19.86559	19.42119	22.963	19.31969	19.2974	19.98269	17.42906	18.35569	18.86171	21.57365	18.82581	17.06388
7/19/2024 8:02:00 PM	4	29.46889	27.92962	26.73666	27.86179	27.71684	24.34994	25.33976	27.38026	25.68802	22.53871	29.40081	28.07019	26.36516	26.22354	25.14737	26.51638	28.9587	30.71811	25.34563	21.21533	23.20179	25.34103	26.81676	26.26384	25.20044	25.24044	29.76917	24.39627	24.73706	19.29756	23.51525	26.60603	30.33371	27.08436	23.14749	25.07928	23.9589	24.86359	23.99376	18.96092	20.42229	24.78349	28.42698	27.14154	22.38471	23.58676	23.54224	30.24102	23.12711	20.9654	23.43192	21.2512	23.54691	23.38591	20.79196	22.14256	20.48894	23.14014	20.72627	19.60014
7/20/2024 12:02:00 AM	8	31.34374	27.94939	29.11322	30.04028	31.16152	26.80411	27.28408	29.89482	27.55485	22.69032	27.76334	29.78813	28.55385	28.13701	26.90625	27.90602	28.8813	31.3861	27.6514	22.21168	23.71729	27.91732	27.87709	28.67854	27.12135	26.68106	31.7988	27.05154	25.87561	20.50116	23.27412	28.64594	31.07051	28.54027	25.12431	25.6754	26.43378	25.38383	26.73561	19.58354	22.03018	24.87656	31.4542	28.1666	23.24629	22.9195	24.92843	28.39315	22.54219	22.34136	25.13656	22.76945	25.81744	24.9602	21.87341	21.18312	22.31443	22.38255	20.87889	18.7709
7/20/2024 4:02:00 AM	12	34.05921	30.43322	29.32089	32.92084	33.79821	29.0284	30.51678	31.51408	28.5103	24.23569	30.47884	34.83614	34.16328	29.93361	29.08317	30.83088	30.76278	32.86607	28.21511	24.7205	25.15681	29.60016	30.47138	30.84369	29.85828	29.29087	32.98605	29.8921	28.33034	22.7667	25.68677	29.6923	32.48309	31.07057	28.07611	27.50354	27.19554	28.59972	26.61189	20.87172	23.55612	26.42443	34.65817	31.44319	25.65635	25.33482	25.94149	29.42568	26.36131	23.00872	23.83619	25.26462	28.81543	29.42359	23.02687	24.05052	24.26188	24.40042	22.61189	21.11943
7/20/2024 8:02:00 AM	16	34.80198	32.60185	32.42978	35.24601	37.45353	30.94303	31.62586	32.37276	30.04593	27.80276	33.74747	37.30367	35.69102	34.26567	33.22744	32.70836	35.06158	36.12282	29.86889	26.57187	28.98664	33.20862	33.96125	33.78303	32.28308	32.58121	34.57329	31.23434	28.86695	24.23989	27.30795	32.09711	35.35123	32.21682	30.27723	29.64496	30.91922	32.4799	30.0113	24.16517	26.18183	28.98898	35.73703	34.92511	29.37325	27.5143	29.79823	32.82185	28.23077	25.19691	24.84212	26.43623	30.09069	28.64847	25.16236	25.77616	26.42255	26.77778	25.49409	21.44822
7/20/2024 12:02:00 PM	20	38.16425	37.2206	36.36295	38.43317	38.95574	35.92519	37.06148	37.70584	35.12326	31.24229	36.18824	39.31467	40.45192	37.20173	36.23923	36.87388	38.50129	42.84949	33.74948	30.12869	31.17399	36.65997	37.13099	38.86372	37.62788	35.92604	39.69531	35.8712	31.14842	26.59381	29.52519	36.87192	38.10826	34.79958	33.01886	33.76098	32.67694	32.61617	33.17947	27.38291	29.25538	32.46551	37.93952	35.49092	32.0758	31.01571	34.77166	33.07835	30.63255	27.11824	28.96474	29.23756	31.90891	32.84951	27.72771	31.05571	28.85579	29.63875	27.95306	25.07934
7/20/2024 4:02:00 PM	24	42.83376	42.48998	43.47247	43.13583	46.56623	40.43651	41.04541	41.49549	38.16428	36.39558	41.54025	44.00737	45.08345	42.51803	40.24366	43.23446	44.88077	46.62138	36.71461	33.69549	34.59674	41.16558	41.25455	44.27785	43.28135	41.38301	45.44641	39.1762	36.83041	30.49323	33.55716	40.38092	42.16242	39.90912	37.18024	37.82662	37.62409	37.77206	35.93013	30.29487	31.55045	32.78315	41.19276	41.40222	37.46463	34.65746	38.73693	38.17294	35.42028	29.62762	30.73796	32.54488	39.73978	35.21654	30.63916	33.89188	32.48334	31.47907	30.83158	26.7192
7/20/2024 8:02:00 PM	28	49.13753	49.66313	47.8636	47.80109	48.49998	46.14244	49.30078	47.22014	44.05407	40.48384	47.92202	50.16948	52.60846	48.18186	46.95537	49.57984	51.15144	48.67911	42.75497	37.80902	39.32207	46.97826	47.47535	49.36798	48.64533	49.36839	50.09975	44.87807	41.79661	34.85521	37.15199	44.38254	47.15133	47.09962	43.10577	42.07779	43.23509	44.2124	40.46569	35.15228	34.07635	36.86803	47.49928	47.36391	41.72958	39.68603	42.61963	42.54588	39.49854	33.01341	34.55344	37.05364	41.61292	39.51855	34.5988	36.04031	37.0803	34.47143	32.55911	28.48301
7/21/2024 12:02:00 AM	32	54.33234	54.14784	53.88667	54.45418	55.63704	53.07668	55.99898	52.90154	50.12983	47.98779	55.27454	55.87895	55.91495	55.77205	53.0988	57.04748	57.17775	58.48164	47.06714	42.59704	43.61154	53.62566	52.43158	58.46439	54.58845	55.03006	54.9011	52.66527	45.69713	39.9023	42.32478	49.48627	51.46324	52.51645	49.77478	50.10778	48.96044	49.1701	45.44814	38.51263	37.95353	41.75225	50.78168	54.5355	48.87638	45.39964	48.43444	47.61786	41.67933	37.25103	38.79837	40.68922	47.78709	43.98447	38.15406	41.07814	42.14894	39.95749	37.91488	33.76125
7/21/2024 4:02:00 AM	36	61.69976	61.44232	61.17324	62.15176	63.28601	60.4716	64.01869	61.30807	57.52695	54.71049	62.77525	61.91534	64.50837	63.24487	60.75746	64.25157	65.25506	64.68803	53.61432	49.10775	51.10091	60.06281	61.23057	66.77749	61.67712	62.79865	63.80604	61.4038	53.67058	45.95744	48.83424	57.24126	58.9794	59.06575	57.54364	56.11404	57.20609	56.43439	51.85513	43.62718	41.17037	46.8506	61.48112	61.83196	54.91131	50.08743	54.88977	54.64965	47.34365	40.08338	44.20251	45.94629	50.31127	50.38409	44.41967	47.02391	47.43565	47.36095	41.02839	36.94742
