Vessel Name: KH2404_F4_C4_GR
Date Time	Elapsed	1806_F4 (5) 5K / well (B2)	1806_F4 (5) 5K / well (B3)	1806_F4 (5) 5K / well (B4)	1806_F4 (5) 5K / well (B5)	1806_F4 (5) 5K / well (B6)	1806_F4 (5) 5K / well (B7)	1806_F4 (5) 5K / well (B8)	1806_F4 (5) 5K / well (B9)	1806_F4 (5) 5K / well (B10)	1806_F4 (5) 5K / well (B11)	1806_F4 (5) 5K / well (C2)	1806_F4 (5) 5K / well (C3)	1806_F4 (5) 5K / well (C4)	1806_F4 (5) 5K / well (C5)	1806_F4 (5) 5K / well (C6)	1806_F4 (5) 5K / well (C7)	1806_F4 (5) 5K / well (C8)	1806_F4 (5) 5K / well (C9)	1806_F4 (5) 5K / well (C10)	1806_F4 (5) 5K / well (C11)	1806_F4 (5) 5K / well (D2)	1806_F4 (5) 5K / well (D3)	1806_F4 (5) 5K / well (D4)	1806_F4 (5) 5K / well (D5)	1806_F4 (5) 5K / well (D6)	1806_F4 (5) 5K / well (D7)	1806_F4 (5) 5K / well (D8)	1806_F4 (5) 5K / well (D9)	1806_F4 (5) 5K / well (D10)	1806_F4 (5) 5K / well (D11)
12/13/2024 3:02:00 PM	0	43.64137	40.31508	40.17398	49.23983	49.47673	37.80244	42.38903	19.17434	15.51877	11.8611	51.47662	45.02039	47.78419	41.57288	40.33393	29.59896	27.12053	39.20292	33.36048	28.61589	52.06953	51.32204	59.82201	47.601	50.58848	33.84678	32.47801	41.63816	44.05663	44.09789
12/13/2024 7:02:00 PM	4	51.54541	47.66822	46.27485	51.49034	51.8255	43.43069	54.35057	24.5251	19.30136	15.13503	59.96037	52.82921	54.49697	48.60313	47.62296	35.1085	30.75522	37.35964	39.46421	33.8462	59.92667	58.76936	65.82088	55.61897	59.00969	40.44372	37.04956	44.60631	50.05375	51.5591
12/13/2024 11:02:00 PM	8	54.11477	50.6279	49.3167	54.65025	59.11693	44.85933	46.29568	23.98169	19.97755	15.36598	62.35635	55.20036	57.44935	51.71437	49.4557	36.06463	30.58451	40.39868	40.72955	34.49432	63.37584	60.6814	67.61617	57.58887	63.19875	42.96809	38.77641	46.3034	51.44563	54.13259
12/14/2024 3:02:00 AM	12	58.36563	54.2785	51.00407	56.00197	54.94964	45.73219	51.81197	26.97682	20.12037	15.56374	67.00383	59.02413	61.17449	53.96677	51.76333	38.74125	32.07053	40.40969	42.06868	37.87873	68.87695	65.10703	69.27798	62.22651	63.77636	44.57313	40.78239	48.01303	56.1936	57.50328
12/14/2024 7:02:00 AM	16	65.23621	58.80527	55.99843	59.69254	63.1554	51.53262	48.05484	25.81519	21.96419	17.05868	74.81216	64.38642	68.24672	59.58404	57.38673	41.16474	34.91066	45.22913	47.8623	39.73233	75.67593	71.88479	74.54432	68.50047	71.20982	48.73103	42.92146	53.66865	62.49809	64.11346
12/14/2024 11:02:00 AM	20	72.37691	65.47222	62.21516	64.46265	66.66345	51.23736	59.06458	27.48474	23.12879	18.16953	82.59303	71.60609	74.61294	66.01252	62.95182	44.57987	41.05548	46.36535	52.55641	43.55222	82.00835	78.50535	81.53458	75.67635	79.25894	54.76928	49.17628	58.28174	67.26093	72.18707
12/14/2024 3:02:00 PM	24	78.99416	72.64743	68.18163	71.48328	73.05231	57.23229	54.23723	31.02414	25.61503	19.81358	87.97347	77.07819	80.95477	71.7935	69.67336	50.89277	43.0731	47.21202	58.56197	49.49535	88.18617	84.58755	88.26321	82.53371	87.03976	61.6952	54.08283	64.7878	73.60499	79.44294
12/14/2024 7:02:00 PM	28	86.815	79.67052	76.27479	76.70406	75.08274	62.24517	59.89845	34.43487	28.67345	22.27133	93.81731	83.86029	89.03635	78.90836	76.73908	55.67852	49.69427	53.08737	66.16335	55.0129	93.86689	90.45432	93.52737	89.66793	92.29195	69.07531	62.25734	71.63778	81.09274	87.29195
12/14/2024 11:02:00 PM	32	92.69035	87.06346	82.13508	81.83397	82.29278	66.09135	62.62464	40.26952	32.72486	24.61578	97.97919	89.64072	95.00626	86.31722	84.08707	62.90317	54.58999	59.16542	74.55724	61.75778	97.43669	95.14899	97.52951	95.72349	96.02018	76.42487	69.26019	78.2356	88.09051	94.15404
12/15/2024 3:02:00 AM	36	97.11154	93.48162	88.99128	89.31107	88.25578	72.71491	70.53867	44.90202	37.81543	27.33632	99.66052	94.965	98.57903	92.03148	90.65787	70.61547	63.2111	61.61732	84.46047	71.52238	99.43746	98.3693	99.16225	98.86023	98.72294	84.05318	77.17872	85.96749	93.27686	98.5172
12/15/2024 7:02:00 AM	40	99.13347	97.52251	94.5091	95.24837	93.83906	81.05212	75.18666	52.12538	44.0395	31.46347	99.99549	98.08192	99.78761	96.49978	95.51566	79.04937	71.58749	67.56723	92.01364	79.18118	99.96536	99.71404	99.86185	99.87122	99.91218	91.4631	84.96198	92.7244	97.35993	99.76756
12/15/2024 11:02:00 AM	44	99.94376	99.45319	97.96605	97.99017	96.52249	88.66719	81.82258	60.73601	50.11004	36.42754	99.99561	99.71129	99.99223	98.86436	98.5033	85.72443	81.173	73.89121	97.36107	87.33707	99.92732	99.97734	99.98586	99.97653	99.98595	96.34866	91.27309	96.90459	98.94514	99.99378
12/15/2024 3:02:00 PM	48	99.9824	99.90638	99.60375	99.45517	99.10572	94.70251	85.51799	67.13239	56.92688	43.44719	100	99.9554	99.99316	99.88774	99.67711	91.78755	88.3872	79.08371	99.58337	93.32496	99.99111	99.99903	99.99527	99.97992	99.99508	98.84387	95.77071	99.03902	99.78512	99.98687
12/15/2024 7:02:00 PM	52	99.99445	99.98486	99.96827	99.95075	99.78025	97.40829	90.68335	75.43553	65.97935	49.49773	100	100	99.9968	99.99497	99.93732	96.00517	93.68289	87.39187	99.94963	97.17912	100	99.99997	100	100	99.99758	99.76288	98.40231	99.83515	99.96697	99.99828
12/15/2024 11:02:00 PM	56	99.96415	99.99223	99.96548	99.99282	99.97251	99.15839	94.35146	82.62617	74.83435	59.483	100	99.98872	100	100	99.97444	98.34932	97.43246	90.26212	99.99542	98.79946	100	99.99714	100	99.99769	99.99818	99.95432	99.77251	100	99.9914	100
12/16/2024 3:02:00 AM	60	99.98869	100	99.97861	99.99997	99.98775	99.78561	97.78043	89.7513	83.23026	66.68642	100	99.98828	100	99.9922	99.98486	99.67351	99.36749	94.2306	99.98106	99.76042	100	99.99728	100	99.99769	100	99.99393	99.9959	99.97738	99.9718	99.99738
12/16/2024 7:02:00 AM	64	99.96355	99.99811	99.98892	99.99836	99.99502	99.9576	99.16572	94.99906	90.32117	74.57014	100	99.99612	100	99.9984	99.98683	99.95845	99.91694	97.41978	99.98608	99.97274	100	100	100	99.99327	99.99761	99.98193	100	99.98713	100	100
12/16/2024 11:02:00 AM	68	99.99248	99.99632	99.99409	100	99.99062	99.96165	99.85428	97.92068	94.74661	82.92294	100	100	99.9945	99.99921	99.99338	99.94628	99.98262	99.39803	100	99.99497	100	100	100	99.98386	100	99.99136	99.99851	100	99.9971	100
12/16/2024 3:02:00 PM	72	100	100	99.99405	99.99821	99.99722	99.98441	99.97102	99.64857	97.93287	88.4675	100	100	99.99632	100	99.98792	99.94893	99.98051	99.69849	99.98876	99.99327	100	100	100	100	100	99.99997	99.99643	99.99478	100	100
12/16/2024 7:02:00 PM	76	99.99766	100	99.99519	100	100	99.96185	99.99538	99.89064	99.39625	93.30112	100	100	100	100	99.99825	99.97206	99.99662	99.96465	100	99.98933	100	100	100	100	100	100	99.99873	99.99557	100	100
12/16/2024 11:02:00 PM	80	100	100	100	100	99.99821	99.99777	99.97798	99.97575	99.90928	96.84972	100	100	99.99777	100	99.9949	99.99706	100	99.98817	100	99.99802	100	100	100	100	100	99.99974	100	100	100	100
12/17/2024 3:02:00 AM	84	99.99795	100	99.99673	100	99.99683	99.98397	99.99783	99.97994	99.95313	98.42861	100	100	100	100	100	99.99152	100	99.98612	100	100	100	100	100	100	100	100	100	99.9945	100	100
12/17/2024 7:02:00 AM	88	100	100	100	100	100	99.97586	100	99.99494	99.94427	99.49812	100	100	100	100	100	99.99918	99.99997	100	100	100	100	100	100	100	100	100	99.99862	99.99547	100	100
12/17/2024 11:02:00 AM	92	100	100	100	100	100	99.98418	99.99769	99.99761	99.95576	99.84977	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
12/17/2024 3:02:00 PM	96	100	100	100	100	100	99.99231	100	100	99.97277	99.71951	100	100	100	100	100	100	99.99772	100	100	100	99.99881	100	99.99564	100	100	100	100	99.98486	99.98624	99.80762
12/17/2024 7:02:00 PM	100	100	100	99.98956	100	100	99.99963	100	99.98284	99.96284	99.86561	100	100	100	100	100	99.99895	99.99728	100	100	99.99255	100	100	100	100	100	99.99505	99.99813	99.99088	99.98806	99.93383
12/17/2024 11:02:00 PM	104	100	100	100	99.9978	100	100	100	100	99.99007	99.90526	100	100	100	100	100	100	100	100	100	99.99722	100	100	100	100	100	99.99933	100	100	100	100
12/18/2024 3:02:00 AM	108	100	100	100	100	100	100	100	99.99483	99.99986	99.96815	100	100	100	100	100	100	100	99.99055	100	100	100	100	100	100	100	100	100	100	100	100
12/18/2024 7:02:00 AM	112	100	100	100	100	100	100	100	100	100	99.98222	100	100	100	100	100	100	100	99.99714	100	100	100	100	100	100	100	100	100	100	100	100
12/18/2024 11:02:00 AM	116	100	100	100	100	100	100	100	100	99.99802	99.99121	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
12/18/2024 3:02:00 PM	120	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
12/18/2024 7:02:00 PM	124	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
12/18/2024 11:02:00 PM	128	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
12/19/2024 3:02:00 AM	132	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
12/19/2024 7:02:00 AM	136	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
12/19/2024 11:02:00 AM	140	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
