Vessel Name: KH2404_A2H_F5_C8_GrowthRate
Date Time	Elapsed	1806_F5 (5) 5K / well (B2)	1806_F5 (5) 5K / well (B3)	1806_F5 (5) 5K / well (B4)	1806_F5 (5) 5K / well (B5)	1806_F5 (5) 5K / well (B6)	1806_F5 (5) 5K / well (B7)	1806_F5 (5) 5K / well (B8)	1806_F5 (5) 5K / well (B9)	1806_F5 (5) 5K / well (B10)	1806_F5 (5) 5K / well (B11)	1806_F5 (5) 5K / well (C2)	1806_F5 (5) 5K / well (C3)	1806_F5 (5) 5K / well (C4)	1806_F5 (5) 5K / well (C5)	1806_F5 (5) 5K / well (C6)	1806_F5 (5) 5K / well (C7)	1806_F5 (5) 5K / well (C8)	1806_F5 (5) 5K / well (C9)	1806_F5 (5) 5K / well (C10)	1806_F5 (5) 5K / well (C11)	1806_F5 (5) 5K / well (D2)	1806_F5 (5) 5K / well (D3)	1806_F5 (5) 5K / well (D4)	1806_F5 (5) 5K / well (D5)	1806_F5 (5) 5K / well (D6)	1806_F5 (5) 5K / well (D7)	1806_F5 (5) 5K / well (D8)	1806_F5 (5) 5K / well (D9)	1806_F5 (5) 5K / well (D10)	1806_F5 (5) 5K / well (D11)
1/14/2025 7:40:00 PM	0	23.55074	20.32473	26.08553	41.69266	42.90825	42.04678	44.70872	38.03069	15.61247	24.71463	22.13482	19.33761	42.13472	18.37661	21.70016	29.24077	31.09364	48.62845	13.80758	22.82247	19.25744	22.96968	30.25068	13.88772	12.71517	16.11549	20.64373	40.00728	12.58395	11.9031
1/14/2025 11:40:00 PM	4	30.00634	25.49743	32.63531	50.51028	52.20024	48.57563	60.86817	49.48624	19.50962	31.84867	29.78821	23.86484	47.88977	24.05018	28.69711	36.85652	40.09299	51.60302	17.71739	29.17378	25.1154	26.50026	31.13845	18.80364	17.43465	21.25169	26.70434	39.36709	14.61388	15.12205
1/15/2025 3:40:00 AM	8	33.81128	28.50262	38.76141	56.30647	52.06525	49.98308	63.14188	52.59703	22.278	35.14887	31.29339	27.0719	48.56715	26.8452	31.8272	40.5911	45.44173	55.69837	19.94646	30.44454	26.87454	30.58187	36.7515	20.94098	18.72615	23.37323	29.56516	42.74421	17.73512	16.98723
1/15/2025 7:40:00 AM	12	34.90996	30.64526	39.17426	56.81139	55.88216	53.94887	69.64079	55.27297	23.06628	37.4302	34.09949	27.35926	47.74903	28.15543	33.03252	42.77157	46.76047	57.05084	20.8448	32.9432	27.2936	28.08722	34.24078	21.43672	19.73186	23.90361	30.21682	40.52123	17.96055	17.70178
1/15/2025 11:40:00 AM	16	36.86512	32.03513	40.22345	57.87473	57.341	57.53471	68.16835	56.45126	24.58241	39.16102	34.73165	29.30534	51.94664	29.53556	34.90036	44.81878	50.09614	60.99371	21.10501	35.70708	29.54832	31.28648	33.9915	22.32285	21.18572	26.26552	33.00736	45.76677	19.91171	19.23074
1/15/2025 3:40:00 PM	20	39.25637	32.8965	42.17128	60.02985	59.41591	58.45362	70.64153	60.13865	26.01853	41.00312	36.28909	31.08809	49.22642	30.3807	37.24738	47.03188	51.89566	64.76926	22.48891	36.21321	31.82442	32.98849	35.11763	23.64533	21.85095	26.78628	33.97917	46.48266	19.8928	20.17681
1/15/2025 7:40:00 PM	24	41.0586	34.59674	44.99164	60.27615	57.6646	58.81904	73.34157	61.82967	27.36553	43.66907	38.36885	30.95548	54.11836	31.7884	38.80576	50.20562	55.33421	62.80523	24.00319	37.83101	32.18795	33.88597	39.14387	24.99043	22.94579	28.93954	35.94437	51.86399	21.31009	19.7169
1/15/2025 11:40:00 PM	28	43.22902	36.59015	45.29325	59.43467	60.59306	61.17765	74.65112	63.73958	28.86821	46.888	40.37836	32.2544	56.11356	33.95573	40.44885	53.76062	58.22892	68.07263	24.53432	40.08319	34.45544	35.06002	37.67298	26.22412	24.54039	29.49019	37.47677	49.85165	21.23042	21.00928
1/16/2025 3:40:00 AM	32	46.19623	39.56438	51.74401	69.60625	67.47289	67.3369	77.90829	68.9596	30.31308	50.22736	43.77852	36.40657	55.17439	35.74612	43.28387	55.8757	61.5409	69.61218	25.53555	42.29379	36.57771	35.92105	40.92459	27.38747	25.69912	32.11522	38.69566	54.94025	23.01973	22.1993
1/16/2025 7:40:00 AM	36	48.80721	40.84783	55.4543	75.17561	69.36623	71.75738	79.20663	71.39782	32.6805	54.77848	47.05549	38.1909	61.33729	38.81013	46.5751	59.75781	67.84258	72.88912	27.56672	45.50475	39.6897	37.68335	41.11366	30.05848	27.62622	34.43319	42.06949	54.82637	24.98446	24.25833
