Date Time	Elapsed	1806_F6 (7) 5K / well (B2)	1806_F6 (7) 5K / well (B3)	1806_F6 (7) 5K / well (B4)	1806_F6 (7) 5K / well (B5)	1806_F6 (7) 5K / well (B6)	1806_F6 (7) 5K / well (B7)	1806_F6 (7) 5K / well (B8)	1806_F6 (7) 5K / well (B9)	1806_F6 (7) 5K / well (B10)	1806_F6 (7) 5K / well (B11)	1806_F6 (7) 5K / well (C2)	1806_F6 (7) 5K / well (C3)	1806_F6 (7) 5K / well (C4)	1806_F6 (7) 5K / well (C5)	1806_F6 (7) 5K / well (C6)	1806_F6 (7) 5K / well (C7)	1806_F6 (7) 5K / well (C8)	1806_F6 (7) 5K / well (C9)	1806_F6 (7) 5K / well (C10)	1806_F6 (7) 5K / well (C11)	1806_F6 (7) 5K / well (D2)	1806_F6 (7) 5K / well (D3)	1806_F6 (7) 5K / well (D4)	1806_F6 (7) 5K / well (D5)	1806_F6 (7) 5K / well (D6)	1806_F6 (7) 5K / well (D7)	1806_F6 (7) 5K / well (D8)	1806_F6 (7) 5K / well (D9)	1806_F6 (7) 5K / well (D10)	1806_F6 (7) 5K / well (D11)
8/23/2024 2:41:00 PM	0	22.50397	21.72301	31.49014	23.87379	19.19542	18.67521	23.8678	21.28494	18.09602	22.2737	24.98659	33.73431	26.98302	35.06671	23.30094	22.92886	19.91317	24.36026	16.94351	19.9733	28.98869	27.81466	20.86057	24.13529	22.9689	22.21218	20.17269	19.68744	24.41075	20.48396
8/23/2024 6:41:00 PM	4	25.31805	25.65469	34.73046	24.90555	23.6413	23.20855	26.19202	26.09398	20.01091	24.68903	30.15042	35.09431	33.21596	36.16912	28.44617	27.44767	23.54095	28.37386	19.91719	24.10699	33.25518	33.06349	24.92239	28.8482	28.03298	25.81264	24.50688	22.7028	27.46145	23.74374
8/23/2024 10:41:00 PM	8	26.37694	27.02096	34.63725	26.56428	24.78853	24.95737	29.12655	28.59155	21.7074	26.1533	30.46305	33.99016	34.56855	39.76974	29.50912	30.14826	25.30007	27.8128	21.5421	24.57767	35.36523	33.4195	25.12605	30.44519	29.73241	27.10979	25.76628	25.14441	29.28334	24.82375
8/24/2024 2:41:00 AM	12	28.02192	29.29925	38.03627	28.57279	26.12493	25.75267	32.58101	28.02557	21.28264	27.19283	33.88635	39.80201	36.06052	36.79802	31.3963	32.01426	27.32739	31.73739	22.94961	26.07867	37.60488	34.95538	28.07393	32.49157	31.75536	28.69299	27.50307	26.51793	30.37285	26.42663
8/24/2024 6:41:00 AM	16	30.85501	31.63835	39.65066	29.25205	29.24133	26.66648	32.50259	31.12391	22.71108	29.15316	35.56739	39.74695	36.8803	41.9299	34.00159	33.32932	29.83864	31.11152	24.53767	27.82302	40.44367	36.47928	30.97555	34.08765	35.60109	32.57349	30.27755	28.86	32.58556	28.57674
8/24/2024 10:41:00 AM	20	33.48857	33.87304	43.45559	32.49686	31.10497	29.41605	34.02228	33.1403	25.92689	31.88028	39.74723	42.61261	39.87645	42.62912	36.05684	35.50974	33.11401	34.02372	26.86273	30.88145	44.8519	39.87526	33.62329	36.94182	38.89843	35.94508	33.18348	31.02059	36.03058	29.76442
8/24/2024 2:41:00 PM	24	36.69596	37.8334	44.19671	33.88203	34.27037	31.55648	36.88784	35.41524	27.45302	33.88446	40.53893	47.82183	43.54333	47.77555	39.73719	38.28583	35.31539	38.10464	29.01765	33.55349	47.40525	42.91362	34.57608	40.299	42.25003	39.72524	36.52878	33.59467	38.76397	30.74829
8/24/2024 6:41:00 PM	28	39.88364	42.01363	49.59102	36.70529	35.94077	34.63118	38.56889	37.8138	28.22688	37.38832	44.93935	50.28288	46.42865	51.45258	43.62074	42.18783	38.35584	39.42012	31.66043	35.53415	50.39494	47.40377	38.86142	43.87054	46.59515	42.55223	39.29002	37.15129	41.08838	32.72547
8/24/2024 10:41:00 PM	32	45.1562	46.97593	52.28804	40.15975	39.9346	39.30791	41.30679	41.35455	32.21569	40.68911	50.08693	55.34478	50.01479	52.88948	48.08393	46.77845	43.66075	44.20819	35.05805	38.55331	56.65774	50.60154	41.8551	48.44109	52.68515	46.1371	43.84959	41.03929	45.16388	36.95246
8/25/2024 2:41:00 AM	36	50.44529	52.98822	57.89384	45.34657	45.32143	43.55716	43.78077	46.8056	34.55825	45.2383	56.52998	60.22132	56.09287	58.29655	53.77431	51.63346	47.74617	49.94039	39.32671	43.06163	63.39286	55.19302	47.01429	54.40547	59.60863	51.7369	48.61393	47.84867	50.57037	40.73791
8/25/2024 6:41:00 AM	40	56.60319	59.66018	62.50401	48.61919	50.66222	47.7344	49.976	51.79782	39.98763	50.38588	63.25441	66.07178	60.87732	64.00755	59.40325	58.72217	53.49844	53.97753	44.64267	48.40075	70.64548	62.70078	51.50503	60.17371	66.02776	58.42599	53.34655	52.92173	55.93979	44.28473
8/25/2024 10:41:00 AM	44	62.86439	66.57112	68.25943	54.20833	55.28732	53.45805	56.97741	55.66707	44.00273	57.42897	69.57214	72.1531	69.0836	72.82603	65.92648	63.92878	59.02398	61.71121	50.52868	53.87604	77.71789	67.08355	56.69298	66.74081	73.81978	64.27387	60.29741	60.25733	59.95413	49.23765
8/25/2024 2:41:00 PM	48	70.25864	74.38551	77.09526	61.48537	61.63631	59.75171	61.33418	58.59017	48.80763	63.45135	76.25877	78.32706	75.62988	76.00646	72.37716	70.6937	66.70989	68.55195	54.93451	59.42007	85.35062	72.77753	62.1717	73.24229	81.4542	70.58925	67.44469	67.58234	65.34781	55.90299
8/25/2024 6:41:00 PM	52	76.73191	80.6247	82.52967	68.56782	69.00924	67.0968	67.92774	65.22677	55.95461	71.57604	84.14513	84.97771	81.98896	83.97115	80.03483	78.45763	73.63181	74.88776	63.09536	67.18171	91.18092	79.84534	69.07079	80.3698	87.47127	77.89431	74.90343	74.91695	73.69029	62.63131
8/25/2024 10:41:00 PM	56	85.56332	87.45603	88.53842	75.22857	75.84598	75.24016	74.0051	70.80241	62.15285	77.89323	89.76694	91.80764	88.87649	85.5848	86.44314	85.70365	80.92162	81.6267	72.27728	74.58428	95.75198	86.76868	75.63837	87.28646	93.09991	84.93703	81.74937	82.4333	79.07496	69.13502
8/26/2024 2:41:00 AM	60	90.44537	92.70571	93.09352	81.21431	82.22701	81.08813	79.3384	76.8254	68.37663	83.65909	94.72468	95.09096	93.61951	91.92846	91.5799	91.09472	87.0887	88.25562	79.11578	81.26923	98.62925	91.65225	80.91328	92.53455	96.55453	89.74016	87.76131	88.1585	85.95203	75.42958
