Date Time	Elapsed	1806_F7 (5) 5K / well (B2)	1806_F7 (5) 5K / well (B3)	1806_F7 (5) 5K / well (B4)	1806_F7 (5) 5K / well (B5)	1806_F7 (5) 5K / well (B6)	1806_F7 (5) 5K / well (B7)	1806_F7 (5) 5K / well (B8)	1806_F7 (5) 5K / well (B9)	1806_F7 (5) 5K / well (B10)	1806_F7 (5) 5K / well (B11)	1806_F7 (5) 5K / well (C2)	1806_F7 (5) 5K / well (C3)	1806_F7 (5) 5K / well (C4)	1806_F7 (5) 5K / well (C5)	1806_F7 (5) 5K / well (C6)	1806_F7 (5) 5K / well (C7)	1806_F7 (5) 5K / well (C8)	1806_F7 (5) 5K / well (C9)	1806_F7 (5) 5K / well (C10)	1806_F7 (5) 5K / well (C11)	1806_F7 (5) 5K / well (D2)	1806_F7 (5) 5K / well (D3)	1806_F7 (5) 5K / well (D4)	1806_F7 (5) 5K / well (D5)	1806_F7 (5) 5K / well (D6)	1806_F7 (5) 5K / well (D7)	1806_F7 (5) 5K / well (D8)	1806_F7 (5) 5K / well (D9)	1806_F7 (5) 5K / well (D10)	1806_F7 (5) 5K / well (D11)
1/27/2025 7:02:00 PM	0	16.38915	22.64449	22.09197	29.56067	37.1363	32.10175	38.79655	20.7227	15.72018	15.61343	17.8979	18.45716	24.08492	24.09706	22.82988	24.52202	27.56295	29.80343	15.41717	20.54676	20.10073	20.54598	27.75561	19.88386	23.79958	23.90863	21.36015	29.03971	14.58059	17.17679
1/27/2025 11:02:00 PM	4	20.31476	25.70199	28.00413	32.19914	41.43073	38.05216	40.7002	22.922	18.35324	19.33668	21.59463	22.69373	28.51478	31.01556	27.70915	27.64631	29.96434	34.75529	19.10884	25.53813	22.99257	23.12942	31.85304	25.63756	27.46971	27.18359	25.51243	28.6958	17.68447	20.66854
1/28/2025 3:02:00 AM	8	21.09644	27.53548	28.35813	39.9199	39.32013	35.34733	48.02422	26.22416	19.31944	21.01653	20.73664	24.16543	32.92374	31.55723	28.94597	29.57483	31.39357	34.64751	19.94879	25.34349	22.78661	23.7625	31.2259	25.75422	28.73115	27.11074	26.50129	34.69188	19.1199	21.95333
1/28/2025 7:02:00 AM	12	22.0037	27.0889	29.30453	35.70237	43.84557	47.47139	43.06921	25.06052	20.473	21.11349	23.46594	25.63585	31.01629	32.20933	31.11888	30.01655	33.44342	36.53453	20.50765	25.26628	23.60802	25.64729	32.43616	27.61384	28.70343	28.83553	29.24786	31.35433	20.38919	22.42084
1/28/2025 11:02:00 AM	16	23.90203	28.1051	31.30913	36.15814	50.67644	46.76221	46.63916	26.53338	22.0392	22.372	24.60266	27.83228	32.37189	34.67428	32.7153	32.17956	35.25538	38.73254	21.85713	26.66392	25.89704	26.32959	33.02981	29.49557	32.58158	29.49746	29.9422	38.29342	21.1677	23.76545
1/28/2025 3:02:00 PM	20	24.71598	28.24467	32.57365	39.6684	45.96726	44.99067	50.44908	34.33117	24.70219	28.62435	28.0801	27.34581	33.16455	37.25607	34.62855	33.90271	34.5086	42.40714	23.72652	29.77743	26.47208	26.41836	35.57037	30.70555	34.27585	29.74726	30.67706	34.54546	22.3969	27.14269
1/28/2025 7:02:00 PM	24	26.79116	31.4691	35.85987	44.14155	45.50243	48.08566	50.01285	35.42992	26.06611	30.54489	31.50901	30.18238	37.41471	40.51878	38.0136	39.28304	41.98548	41.42512	26.95271	34.01316	28.83915	28.72212	36.96362	34.09772	37.86382	34.18722	34.52408	38.29784	24.43805	28.38376
1/28/2025 11:02:00 PM	28	30.45786	36.35152	37.7013	47.96798	53.69249	50.33297	55.49564	38.53418	28.58265	34.52955	35.15461	32.57143	43.24075	42.9014	41.83083	40.63348	45.16285	45.12961	29.03457	35.71905	31.01805	32.15638	40.05436	36.46626	40.19379	36.59221	37.7847	46.139	27.23223	31.8625
1/29/2025 3:02:00 AM	32	33.33494	37.18993	42.48559	50.34848	54.17654	49.28144	57.93389	41.97253	30.54472	36.76811	35.17224	35.37904	42.97506	47.87288	45.87265	45.11612	46.29905	50.95914	30.92813	38.88386	33.50043	34.62873	42.62325	40.67056	44.67675	41.51856	43.00282	41.39192	29.17805	33.60144
1/29/2025 7:02:00 AM	36	35.79054	41.29333	46.56227	54.69125	57.67042	59.46857	61.30429	44.57516	32.69117	40.3399	38.55824	39.08548	47.61816	51.46768	50.66772	46.8788	50.68298	50.77622	33.3729	43.42272	36.11643	37.33591	44.55978	45.73645	47.49553	42.87339	44.61913	47.74203	32.72762	37.23502
