Vessel Name: KH2404_A2H_F8_C6_GrowthRate
Date Time	Elapsed	1806_F8 (5) 5K / well (B2)	1806_F8 (5) 5K / well (B3)	1806_F8 (5) 5K / well (B4)	1806_F8 (5) 5K / well (B5)	1806_F8 (5) 5K / well (B6)	1806_F8 (5) 5K / well (B7)	1806_F8 (5) 5K / well (B8)	1806_F8 (5) 5K / well (B9)	1806_F8 (5) 5K / well (B10)	1806_F8 (5) 5K / well (B11)	1806_F8 (5) 5K / well (C2)	1806_F8 (5) 5K / well (C3)	1806_F8 (5) 5K / well (C4)	1806_F8 (5) 5K / well (C5)	1806_F8 (5) 5K / well (C6)	1806_F8 (5) 5K / well (C7)	1806_F8 (5) 5K / well (C8)	1806_F8 (5) 5K / well (C9)	1806_F8 (5) 5K / well (C10)	1806_F8 (5) 5K / well (C11)	1806_F8 (5) 5K / well (D2)	1806_F8 (5) 5K / well (D3)	1806_F8 (5) 5K / well (D4)	1806_F8 (5) 5K / well (D5)	1806_F8 (5) 5K / well (D6)	1806_F8 (5) 5K / well (D7)	1806_F8 (5) 5K / well (D8)	1806_F8 (5) 5K / well (D9)	1806_F8 (5) 5K / well (D10)	1806_F8 (5) 5K / well (D11)
12/3/2024 6:43:00 PM	0	29.74461	31.02559	37.06773	42.72764	44.65363	49.34602	27.22653	17.00654	24.16461	23.66933	26.85107	32.6708	66.81852	36.07307	35.71413	28.41872	19.82892	35.5009	25.03097	30.98954	19.02012	25.24739	28.03674	29.21349	31.52868	37.62238	27.49674	33.14476	33.54239	31.61904
12/3/2024 10:43:00 PM	4	32.26421	34.99366	37.08842	44.29885	44.59061	49.01816	27.49989	18.83468	24.66695	24.85685	28.04019	32.17741	70.12818	35.41015	37.60228	30.33085	20.7734	33.13382	25.27984	32.73763	21.03419	26.68134	30.77455	30.59863	33.51577	39.4212	28.13643	31.8207	34.22862	33.87563
12/4/2024 2:43:00 AM	8	34.21402	35.07971	38.08266	43.50757	51.18584	50.4904	30.09688	19.03241	27.10312	26.51324	29.24792	33.90307	69.32894	36.52846	38.53926	31.46861	22.61056	37.96596	26.48671	33.91133	21.56262	28.46372	30.66598	32.57792	35.3178	39.37623	29.85032	32.67704	35.07486	35.20983
12/4/2024 6:43:00 AM	12	35.44064	37.57445	41.66808	48.97493	50.83159	54.92005	29.06883	19.80384	29.77616	27.96695	30.82484	35.78666	67.30464	39.26029	42.46394	33.64897	24.05224	33.86688	28.9664	36.29626	22.95135	29.351	31.11899	34.27612	37.14813	42.36699	30.93265	37.18827	38.90487	37.56557
12/4/2024 10:43:00 AM	16	37.90725	40.41414	44.7622	52.63356	50.09562	58.03798	32.8108	22.00308	29.82418	30.5163	32.72578	38.14383	74.21616	41.6858	44.27973	36.26365	26.16093	37.73181	30.44973	39.89307	24.96976	32.67595	34.92288	36.53888	40.49284	47.33261	33.16592	36.0504	41.34996	39.94086
12/4/2024 2:43:00 PM	20	39.79408	43.47705	48.75336	53.80993	52.86166	54.52787	36.50126	22.45575	33.25962	32.3585	34.89044	43.61097	76.72489	43.90107	48.32861	38.65511	27.0788	42.16941	31.90903	42.248	27.51328	35.55274	36.20599	39.59713	43.14468	48.8363	34.9473	40.26361	42.08773	43.30695
12/4/2024 6:43:00 PM	24	42.49922	46.54966	49.44024	57.54023	56.42758	60.84658	36.25069	24.27601	34.49161	34.92202	38.267	44.08739	76.8176	47.00014	50.75602	41.46294	30.06249	42.57588	34.45849	44.45763	27.99675	39.18025	37.49336	41.64563	45.88248	52.10711	37.5446	41.79671	44.1591	45.24159
12/4/2024 10:43:00 PM	28	47.45716	49.08342	54.07375	61.07055	61.16719	64.43591	38.77709	25.65323	37.38774	37.84644	40.84927	47.61971	78.89948	49.53461	54.56546	44.96127	29.99663	43.81111	36.95556	47.73466	30.72396	41.42649	40.45562	44.02709	50.2494	58.1838	39.73253	44.86638	47.27471	48.45108
12/5/2024 2:43:00 AM	32	49.87635	53.11962	56.85455	63.32685	62.3027	61.86911	37.92834	28.41397	40.16433	39.90031	44.03053	51.64247	77.90948	52.98547	59.82745	46.57513	31.91664	45.62216	39.04726	50.68855	33.04849	43.49751	45.15775	47.94607	52.90147	59.89215	41.30455	47.01145	52.55447	51.75683
12/5/2024 6:43:00 AM	36	53.06427	56.46117	60.88428	69.23055	66.85647	67.34961	38.38053	30.4149	42.96627	43.94214	47.20168	55.1949	80.95663	58.34409	64.1297	50.59287	34.42125	46.05021	42.82467	55.65697	35.49702	48.03143	46.13118	51.72676	56.64099	64.28122	44.70395	51.09034	55.2194	56.35125
