Date Time	Elapsed	1806_GFP_P (21) 5K / well (E2)	1806_GFP_P (21) 5K / well (E3)	1806_GFP_P (21) 5K / well (E4)	1806_GFP_P (21) 5K / well (E5)	1806_GFP_P (21) 5K / well (E6)	1806_GFP_P (21) 5K / well (E7)	1806_GFP_P (21) 5K / well (E8)	1806_GFP_P (21) 5K / well (E9)	1806_GFP_P (21) 5K / well (E10)	1806_GFP_P (21) 5K / well (E11)	1806_GFP_P (21) 5K / well (F2)	1806_GFP_P (21) 5K / well (F3)	1806_GFP_P (21) 5K / well (F4)	1806_GFP_P (21) 5K / well (F5)	1806_GFP_P (21) 5K / well (F6)	1806_GFP_P (21) 5K / well (F7)	1806_GFP_P (21) 5K / well (F8)	1806_GFP_P (21) 5K / well (F9)	1806_GFP_P (21) 5K / well (F10)	1806_GFP_P (21) 5K / well (F11)	1806_GFP_P (21) 5K / well (G2)	1806_GFP_P (21) 5K / well (G3)	1806_GFP_P (21) 5K / well (G4)	1806_GFP_P (21) 5K / well (G5)	1806_GFP_P (21) 5K / well (G6)	1806_GFP_P (21) 5K / well (G7)	1806_GFP_P (21) 5K / well (G8)	1806_GFP_P (21) 5K / well (G10)	1806_GFP_P (21) 5K / well (G11)
8/16/2024 2:51:00 PM	0	21.09394	23.91997	22.56537	24.27786	20.51131	15.8003	16.69808	14.96057	22.44677	27.28882	16.9728	18.88755	25.63115	23.48179	19.59586	14.48975	23.21885	26.25438	18.97271	16.10227	31.46923	26.86598	31.7815	29.02178	28.32021	22.64898	29.57931	20.08027	19.83387
8/16/2024 6:51:00 PM	4	34.13026	36.16618	34.51348	31.27454	31.59533	28.60574	26.26389	22.619	32.26525	37.32776	29.69918	30.32651	37.7809	34.85888	33.673	36.95282	35.56874	35.98688	30.39288	25.85689	40.74919	39.5452	43.25298	39.36937	38.90327	38.85578	41.95849	31.34112	29.99059
8/16/2024 10:51:00 PM	8	36.58332	38.67408	36.60837	35.13078	33.54254	31.82822	28.82928	25.82811	33.97924	44.45105	32.29402	32.95859	41.16404	37.64346	39.79786	40.4002	37.13699	37.76967	32.83376	28.04149	43.08921	41.49853	46.25134	42.40048	43.34117	40.89427	45.24396	33.7757	32.73555
8/17/2024 2:51:00 AM	12	38.19983	39.13264	38.3306	35.87431	35.97769	33.36277	30.19791	27.37306	35.02594	41.15025	33.49018	34.80584	42.16489	39.18489	39.58834	42.55303	39.55733	40.19677	34.50019	29.09993	45.78156	44.16917	49.43859	43.3348	46.12295	42.34866	47.37175	34.31766	33.21611
8/17/2024 6:51:00 AM	16	41.20294	41.74512	41.1473	39.08811	38.19362	36.81079	32.35624	28.81198	37.91201	43.18479	36.68367	38.108	45.42836	42.83885	43.04001	45.34663	43.10136	41.61127	36.00468	31.25056	49.9579	47.72833	50.12837	47.42806	47.78608	44.92264	50.48334	37.58982	35.16595
8/17/2024 10:51:00 AM	20	44.59755	45.20918	44.62391	43.89849	41.18691	40.61389	35.07546	31.52261	40.11602	46.02948	40.02372	40.58464	49.84861	46.93631	45.89125	50.66221	46.01804	45.9535	39.19649	33.97855	49.72496	52.90855	54.75705	50.55169	52.089	48.17296	53.63748	39.94821	39.44131
8/17/2024 2:51:00 PM	24	47.57185	48.68003	47.95671	46.15188	46.18726	43.41301	37.92358	34.06756	42.78413	49.15117	43.35025	44.66447	51.02111	48.98258	49.52606	53.78748	50.03131	49.33023	42.03204	36.59488	55.01622	57.48305	59.82844	54.53612	56.39455	52.41096	56.61993	42.68716	42.04355
8/17/2024 6:51:00 PM	28	51.90404	52.83764	52.6072	49.9472	48.86778	46.82085	40.88939	37.03157	45.36178	50.58588	46.58915	48.93359	54.51893	53.38662	53.62926	58.61682	53.46283	51.00257	44.74266	39.27229	60.28674	63.71468	63.68489	60.11233	59.73284	56.49031	61.89751	45.92979	45.49959
8/17/2024 10:51:00 PM	32	56.07071	56.81515	55.97262	50.49876	51.97654	50.39347	44.31773	38.69514	49.26753	52.02563	50.73402	52.10543	57.99226	58.93106	56.36737	62.9021	57.91862	54.23339	47.42901	41.87988	62.99576	69.74989	68.06371	64.21207	64.49857	61.41231	66.18552	48.82505	49.78421
8/18/2024 2:51:00 AM	36	61.63332	61.19339	61.48627	55.85481	57.30347	53.91423	48.64215	41.82874	54.58664	56.04863	54.74529	57.89203	62.38707	63.32727	61.29986	69.27554	63.48196	58.34134	51.14886	45.25151	67.12655	75.44119	73.60086	68.73252	71.42023	67.07928	72.80914	54.22798	52.78234
8/18/2024 6:51:00 AM	40	66.80402	66.31689	66.67906	59.0071	63.88145	59.11105	52.78761	45.73009	60.58545	59.34555	59.29607	62.63894	66.55426	69.17356	67.05649	76.63438	68.35048	63.30273	56.23541	48.98631	74.25086	82.59374	79.69167	74.98576	76.94594	73.13422	79.47747	58.43727	58.24842
8/18/2024 10:51:00 AM	44	72.76968	72.92837	74.53007	64.57936	69.93549	64.41799	58.40637	50.4201	65.87067	62.19627	65.02879	68.2601	71.98038	75.45399	71.23515	82.31742	73.60035	69.71258	60.89109	53.67591	76.41849	89.1941	86.60237	81.21098	81.3392	79.31326	85.87781	64.21061	63.19958
8/18/2024 2:51:00 PM	48	78.93278	79.38344	79.87482	71.15678	75.83012	69.63631	64.2013	56.21682	70.91453	65.1923	70.1658	74.12036	76.30909	81.55486	76.95149	88.04265	78.68424	74.35342	65.80145	58.1391	80.20211	94.00778	91.89927	87.07166	86.50219	85.22201	91.07796	70.16973	68.47456
8/18/2024 6:51:00 PM	52	84.6164	85.1489	85.62474	77.25258	82.53243	75.40625	70.26138	61.10339	76.85217	69.32214	75.52731	79.60148	80.85603	86.81382	81.42089	92.63558	83.78865	80.24688	71.68465	62.47923	83.28937	97.87002	96.01781	92.547	90.62677	89.93969	95.47414	76.48756	73.75312
8/18/2024 10:51:00 PM	56	88.53246	91.4096	90.96507	81.41566	87.83935	80.91949	74.93358	66.71043	82.21288	76.0122	80.36205	84.76968	84.68127	91.14355	85.18549	95.87389	88.43856	85.49779	76.66212	67.60929	87.9222	99.4296	98.31812	95.75012	94.36245	94.39841	98.36386	82.18737	79.85586
