Date Time	Elapsed	1806_MC_P (20) 5K / well (E2)	1806_MC_P (20) 5K / well (E3)	1806_MC_P (20) 5K / well (E4)	1806_MC_P (20) 5K / well (E5)	1806_MC_P (20) 5K / well (E6)	1806_MC_P (20) 5K / well (E7)	1806_MC_P (20) 5K / well (E8)	1806_MC_P (20) 5K / well (E9)	1806_MC_P (20) 5K / well (E11)	1806_MC_P (20) 5K / well (F3)	1806_MC_P (20) 5K / well (F4)	1806_MC_P (20) 5K / well (F5)	1806_MC_P (20) 5K / well (F6)	1806_MC_P (20) 5K / well (F7)	1806_MC_P (20) 5K / well (F8)	1806_MC_P (20) 5K / well (F9)	1806_MC_P (20) 5K / well (F11)	1806_MC_P (20) 5K / well (G2)	1806_MC_P (20) 5K / well (G3)	1806_MC_P (20) 5K / well (G4)	1806_MC_P (20) 5K / well (G5)	1806_MC_P (20) 5K / well (G6)	1806_MC_P (20) 5K / well (G7)	1806_MC_P (20) 5K / well (G8)	1806_MC_P (20) 5K / well (G9)	1806_MC_P (20) 5K / well (G10)
8/9/2024 2:25:00 PM	0	12.04003	14.91391	8.882267	3.781862	8.603437	76.02717	50.21187	77.83311	33.40084	15.84267	66.11626	83.77338	34.08793	85.142	80.8401	86.50734	4.990386	30.16014	9.907678	52.02281	15.2401	76.49047	85.02846	66.86805	78.27815	10.15518
8/9/2024 6:25:00 PM	4	18.03472	19.69658	19.47121	13.18042	24.12881	19.54649	23.40518	17.19385	19.68966	24.0066	23.21693	12.6402	15.90748	18.89361	18.43482	22.10378	24.0523	16.05857	29.98368	18.98809	31.48393	20.81007	24.08952	22.99034	23.5098	32.68782
8/9/2024 10:25:00 PM	8	18.94589	22.10797	21.45225	14.65711	25.60774	21.93682	25.37992	18.77455	21.4955	26.37272	27.26346	14.29864	17.1903	20.95809	19.21488	22.62223	28.69524	16.74406	28.74019	21.97671	30.4873	22.29422	27.05087	24.53807	26.21416	32.05935
8/10/2024 2:25:00 AM	12	20.00421	22.34657	22.56719	15.5644	26.91306	22.62946	27.54998	20.95661	21.38977	28.21096	25.942	15.08996	19.34519	22.39601	20.83456	22.76377	30.12592	15.89166	29.16326	21.59719	28.24391	23.03219	27.22486	26.55512	28.54567	33.57594
8/10/2024 6:25:00 AM	16	21.70077	24.17687	22.95096	17.26862	28.87658	24.61375	29.0759	21.78983	23.79052	30.45915	29.24773	16.03434	20.63015	23.63787	22.26215	25.29253	30.15429	16.98882	32.47019	23.98157	29.23431	25.52249	28.96537	30.64122	28.19266	34.68105
8/10/2024 10:25:00 AM	20	23.38288	25.47326	24.90378	18.69286	31.24668	26.72929	31.20665	24.29983	25.75165	32.67677	28.17892	17.1189	22.39469	25.38713	24.44617	27.75502	34.06119	17.0854	33.58509	26.93837	30.98079	27.04902	30.99696	31.1364	31.47989	36.96871
8/10/2024 2:25:00 PM	24	21.76419	29.60751	27.95058	20.12756	31.93539	30.3004	33.50968	25.90342	28.116	32.5094	31.48653	20.04405	24.78663	27.5419	26.9821	31.12172	31.67698	18.04937	34.78857	30.67873	27.08285	28.90254	33.73632	32.60493	34.37026	38.91063
8/10/2024 6:25:00 PM	28	24.54575	31.95055	31.58375	21.25458	35.69749	34.06744	37.68459	34.05964	29.58535	35.20111	35.42693	21.28228	28.54134	30.08816	29.55263	32.13849	36.84715	19.79241	37.45206	29.71998	34.75765	31.41887	36.8199	35.91227	35.83048	41.79057
8/10/2024 10:25:00 PM	32	25.64482	34.99743	33.69633	23.67624	37.35924	37.33222	40.05975	35.25383	31.90475	37.71478	38.99581	23.95268	29.10069	32.12244	32.0991	36.92739	38.84101	21.4842	40.75848	32.26232	35.94743	33.79295	39.92202	40.92043	39.56542	44.22798
8/11/2024 2:25:00 AM	36	28.85283	37.53228	37.58481	26.15349	40.90374	40.22344	43.96045	39.00464	36.01627	42.57076	39.03264	26.07603	31.90314	35.48645	34.74911	39.23606	43.4288	22.67327	44.161	34.31562	38.42654	37.67889	44.13781	42.88484	44.35035	48.85147
8/11/2024 6:25:00 AM	40	31.76948	41.23625	41.41772	28.67664	43.93989	43.90875	47.17007	42.77866	39.29633	46.25137	42.20305	29.1281	34.23718	37.87937	37.9702	41.27754	44.20554	25.53395	47.75494	37.85345	41.56106	42.11913	48.4869	47.81681	48.03453	54.80276
8/11/2024 10:25:00 AM	44	34.59685	44.48531	44.02765	32.18222	47.36136	47.67058	51.78949	47.41744	43.06925	50.73672	43.83501	32.40867	37.34769	42.85767	40.42485	47.56815	49.08498	27.88798	54.47735	42.69913	45.26681	46.47276	54.67036	53.03575	53.53082	59.05804
8/11/2024 2:25:00 PM	48	37.03571	48.33633	47.91093	34.86125	50.25491	52.49743	56.30025	50.73966	47.82088	55.6992	47.90008	35.03511	41.01317	46.76505	44.6512	50.71307	53.45767	31.02603	59.90343	48.19452	47.88993	53.45584	61.09159	59.10376	58.09706	64.64558
8/11/2024 6:25:00 PM	52	41.77172	51.23629	51.61192	38.42064	54.10015	56.31741	60.59483	54.37172	52.35141	60.47974	52.66424	38.2587	45.17003	49.94154	49.06267	52.45922	56.81522	35.44071	66.29449	53.11766	51.22204	58.01649	66.75282	65.31087	64.8908	71.52463
8/11/2024 10:25:00 PM	56	46.44027	55.44981	55.88391	41.73005	58.44317	60.99325	65.30187	59.09901	56.92028	65.7705	55.56805	41.18306	48.81588	55.60986	53.41971	58.09069	61.13964	39.09016	72.00314	59.37033	56.25982	65.74062	73.19376	70.07533	70.35498	77.5334
