Vessel Name: KH2506_231_GR_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric: Phase Object Confluence (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cell Type: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passage: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis: KKH_1806_improvedPhase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Time,Elapsed,F1_231 (1) 3K / well (B2),F1_231 (1) 3K / well (B3),F1_231 (1) 3K / well (B4),F1_231 (1) 3K / well (B5),F1_231 (1) 3K / well (B6),F1_231 (1) 3K / well (B7),F1_231 (1) 3K / well (B8),F1_231 (1) 3K / well (B9),F1_231 (1) 3K / well (B10),F1_231 (1) 3K / well (B11),F2_231 (1) 3K / well (C2),F2_231 (1) 3K / well (C3),F2_231 (1) 3K / well (C4),F2_231 (1) 3K / well (C5),F2_231 (1) 3K / well (C6),F2_231 (1) 3K / well (C7),F2_231 (1) 3K / well (C8),F2_231 (1) 3K / well (C9),F2_231 (1) 3K / well (C10),F2_231 (1) 3K / well (C11),F3_231 (1) 3K / well (D2),F3_231 (1) 3K / well (D3),F3_231 (1) 3K / well (D4),F3_231 (1) 3K / well (D5),F3_231 (1) 3K / well (D6),F3_231 (1) 3K / well (D7),F3_231 (1) 3K / well (D8),F3_231 (1) 3K / well (D9),F3_231 (1) 3K / well (D10),F3_231 (1) 3K / well (D11),F4_231 (1) 3K / well (E2),F4_231 (1) 3K / well (E3),F4_231 (1) 3K / well (E4),F4_231 (1) 3K / well (E5),F4_231 (1) 3K / well (E6),F4_231 (1) 3K / well (E7),F4_231 (1) 3K / well (E8),F4_231 (1) 3K / well (E9),F4_231 (1) 3K / well (E10),F4_231 (1) 3K / well (E11),F5_231 (1) 3K / well (F2),F5_231 (1) 3K / well (F3),F5_231 (1) 3K / well (F4),F5_231 (1) 3K / well (F5),F5_231 (1) 3K / well (F6),F5_231 (1) 3K / well (F7),F5_231 (1) 3K / well (F8),F5_231 (1) 3K / well (F9),F5_231 (1) 3K / well (F10),F5_231 (1) 3K / well (F11),F6_231 (1) 3K / well (G2),F6_231 (1) 3K / well (G3),F6_231 (1) 3K / well (G4),F6_231 (1) 3K / well (G5),F6_231 (1) 3K / well (G6),F6_231 (1) 3K / well (G7),F6_231 (1) 3K / well (G8),F6_231 (1) 3K / well (G9),F6_231 (1) 3K / well (G10),F6_231 (1) 3K / well (G11),F7_231 (1) 3K / well (B2),F7_231 (1) 3K / well (B3),F7_231 (1) 3K / well (B4),F7_231 (1) 3K / well (B5),F7_231 (1) 3K / well (B6),F7_231 (1) 3K / well (B7),F7_231 (1) 3K / well (B8),F7_231 (1) 3K / well (B9),F7_231 (1) 3K / well (B10),F7_231 (1) 3K / well (B11),F8_231 (1) 3K / well (C2),F8_231 (1) 3K / well (C3),F8_231 (1) 3K / well (C4),F8_231 (1) 3K / well (C5),F8_231 (1) 3K / well (C6),F8_231 (1) 3K / well (C7),F8_231 (1) 3K / well (C8),F8_231 (1) 3K / well (C9),F8_231 (1) 3K / well (C10),F8_231 (1) 3K / well (C11),C1_231 (1) 3K / well (D2),C1_231 (1) 3K / well (D3),C1_231 (1) 3K / well (D4),C1_231 (1) 3K / well (D5),C1_231 (1) 3K / well (D6),C1_231 (1) 3K / well (D7),C1_231 (1) 3K / well (D8),C1_231 (1) 3K / well (D9),C1_231 (1) 3K / well (D10),C1_231 (1) 3K / well (D11),C2_231 (1) 3K / well (E2),C2_231 (1) 3K / well (E3),C2_231 (1) 3K / well (E4),C2_231 (1) 3K / well (E5),C2_231 (1) 3K / well (E6),C2_231 (1) 3K / well (E7),C2_231 (1) 3K / well (E8),C2_231 (1) 3K / well (E9),C2_231 (1) 3K / well (E10),C2_231 (1) 3K / well (E11),C3_231 (1) 3K / well (F2),C3_231 (1) 3K / well (F3),C3_231 (1) 3K / well (F4),C3_231 (1) 3K / well (F5),C3_231 (1) 3K / well (F6),C3_231 (1) 3K / well (F7),C3_231 (1) 3K / well (F8),C3_231 (1) 3K / well (F9),C3_231 (1) 3K / well (F10),C3_231 (1) 3K / well (F11),C4_231 (1) 3K / well (G2),C4_231 (1) 3K / well (G3),C4_231 (1) 3K / well (G4),C4_231 (1) 3K / well (G5),C4_231 (1) 3K / well (G6),C4_231 (1) 3K / well (G7),C4_231 (1) 3K / well (G8),C4_231 (1) 3K / well (G9),C4_231 (1) 3K / well (G10),C4_231 (1) 3K / well (G11),C5_231 (1) 3K / well (B2),C5_231 (1) 3K / well (B3),C5_231 (1) 3K / well (B4),C5_231 (1) 3K / well (B5),C5_231 (1) 3K / well (B6),C5_231 (1) 3K / well (B7),C5_231 (1) 3K / well (B8),C5_231 (1) 3K / well (B9),C5_231 (1) 3K / well (B10),C5_231 (1) 3K / well (B11),C6_231 (1) 3K / well (C2),C6_231 (1) 3K / well (C3),C6_231 (1) 3K / well (C4),C6_231 (1) 3K / well (C5),C6_231 (1) 3K / well (C6),C6_231 (1) 3K / well (C7),C6_231 (1) 3K / well (C8),C6_231 (1) 3K / well (C9),C6_231 (1) 3K / well (C10),C6_231 (1) 3K / well (C11),C7_231 (1) 3K / well (D2),C7_231 (1) 3K / well (D3),C7_231 (1) 3K / well (D4),C7_231 (1) 3K / well (D5),C7_231 (1) 3K / well (D6),C7_231 (1) 3K / well (D7),C7_231 (1) 3K / well (D8),C7_231 (1) 3K / well (D9),C7_231 (1) 3K / well (D10),C7_231 (1) 3K / well (D11),C8_231 (1) 3K / well (E2),C8_231 (1) 3K / well (E3),C8_231 (1) 3K / well (E4),C8_231 (1) 3K / well (E5),C8_231 (1) 3K / well (E6),C8_231 (1) 3K / well (E7),C8_231 (1) 3K / well (E8),C8_231 (1) 3K / well (E9),C8_231 (1) 3K / well (E10),C8_231 (1) 3K / well (E11),GFP (1) 3K / well (F2),GFP (1) 3K / well (F3),GFP (1) 3K / well (F4),GFP (1) 3K / well (F5),GFP (1) 3K / well (F6),GFP (1) 3K / well (F7),GFP (1) 3K / well (F8),GFP (1) 3K / well (F9),GFP (1) 3K / well (F10),GFP (1) 3K / well (F11),MC (1) 3K / well (G2),MC (1) 3K / well (G3),MC (1) 3K / well (G4),MC (1) 3K / well (G5),MC (1) 3K / well (G6),MC (1) 3K / well (G7),MC (1) 3K / well (G8),MC (1) 3K / well (G9),MC (1) 3K / well (G10),MC (1) 3K / well (G11)
9/17/2025 16:03,0,5.109203,8.877295,8.98383,9.099243,9.226305,9.274845,9.811008,9.408853,8.515202,8.723127,6.709529,8.088095,7.876897,8.268382,8.892332,8.402585,7.987335,8.02133,8.284748,8.54779,7.95869,8.875294,8.667439,9.950154,9.564671,10.10838,9.472539,8.906499,9.381035,8.712676,0.3244164,7.660388,9.668524,9.053489,9.449178,8.626683,9.140601,9.071906,9.774446,8.501961,9.085404,9.465731,10.13833,10.70679,9.368608,9.135096,9.839582,8.760617,8.745856,8.442566,7.431819,9.059183,6.875714,7.03815,7.138763,7.534182,8.007005,7.059945,6.664704,6.962637,5.737544,6.626096,6.477207,6.952005,6.433352,7.72645,6.312767,6.83934,6.371649,6.403368,6.979112,7.827728,8.090363,7.814112,7.545272,8.223194,7.983943,8.205925,8.471652,6.605268,4.540939,4.868443,5.918725,5.382214,5.854222,6.158031,6.109719,5.217591,4.931076,5.126129,3.743882,4.765484,6.038937,4.149793,4.580513,4.550834,4.914601,3.987324,5.533006,3.875924,4.660781,3.807487,4.323312,4.60216,5.328475,4.487748,5.320475,5.265388,4.430395,4.00726,6.079774,5.514818,6.705658,6.215393,6.688883,5.910057,6.767133,6.188191,5.226698,5.766182,4.651042,6.852644,5.915367,5.020609,5.781842,5.402041,4.995905,5.378911,6.328974,4.89507,7.644613,6.80679,6.720573,6.98191,6.4178,6.150894,6.093051,5.989951,5.793522,6.613193,5.265538,5.007662,5.390813,6.72247,5.295331,5.926383,5.787686,5.735944,6.131217,4.999514,5.117687,4.961466,5.061744,4.889498,5.275618,5.197358,5.314746,4.963325,5.113333,5.057243,4.689718,5.075281,4.33045,4.535101,4.464503,5.25862,4.566752,5.035149,4.709323,4.809672,5.422018,6.118567,5.161909,5.905888,5.317607,5.382143,5.439715,5.509168,5.542644,5.110024
9/17/2025 20:03,4,9.631246,9.974858,10.27673,10.22827,11.2624,10.08056,10.93457,10.66442,9.61529,9.523827,7.254175,10.07941,9.361057,9.296714,9.779321,9.413507,8.92271,9.727134,9.09225,9.136739,9.331783,10.53162,10.32018,12.10135,10.70614,11.62391,11.40058,10.16772,11.24801,9.900432,0.8969252,9.47904,11.35186,11.09532,11.41654,10.35089,10.77499,10.22064,11.63313,10.27558,10.96662,10.93412,11.74516,11.90618,11.31427,10.69733,11.59686,10.05735,10.94457,9.481723,8.525619,10.48384,8.124694,8.348341,8.867142,9.253232,9.6809,8.057777,7.873591,7.684783,6.789526,7.616196,7.468603,7.716509,7.381683,9.087342,7.150472,7.698997,6.871738,7.198121,8.69605,9.674022,10.20602,9.899045,8.977659,10.09131,9.419456,9.407183,9.999642,7.824534,5.375298,5.66914,6.652914,6.349479,7.034682,6.814233,6.692227,5.944572,5.516866,5.599213,4.102407,5.034703,6.645553,4.481982,4.91962,4.812091,5.152093,3.821472,5.691494,3.664656,5.192709,4.281095,5.128399,5.148967,6.392363,4.655574,5.86278,6.020562,4.68131,4.475248,6.349924,5.62707,7.80061,6.387309,7.062951,6.155652,6.68007,6.556132,5.32267,5.985411,5.019228,7.214821,6.33169,5.916824,6.150777,5.816172,5.591032,6.090971,6.688741,5.113894,8.097835,7.303505,7.039447,7.391615,7.020963,6.589792,6.472258,6.631603,5.902021,6.963161,5.963983,5.747102,6.181427,7.316777,6.051024,6.834951,6.441163,6.439601,7.103424,5.880707,5.702244,5.151793,5.396204,5.273164,5.868207,5.679068,5.701651,5.61926,5.704592,5.24735,5.37441,5.355063,4.870559,4.9422,5.130557,6.130326,4.945769,5.878102,5.377087,5.365629,5.856123,6.637333,5.637334,6.844806,5.679332,5.970985,5.88956,5.982101,5.654928,5.260964
9/18/2025 0:03,8,10.61989,10.8881,11.27107,11.32643,11.91558,11.27311,12.12474,11.84927,10.29787,10.58014,7.365392,10.34131,10.11195,10.17337,10.33707,9.771654,8.866509,9.764373,9.911887,9.919251,10.90336,11.79247,11.17949,13.30103,11.96457,13.30279,12.76216,11.35409,12.64863,11.30177,0.8551178,10.85943,12.95375,12.06716,12.45848,11.54374,12.36387,11.31136,12.91729,11.04477,11.99626,11.77592,13.61061,12.95929,12.59227,11.37124,12.26317,11.38051,11.37927,10.7523,9.15604,10.43615,9.025935,8.991751,9.303928,10.0533,10.65709,9.222212,8.545331,8.071872,7.128752,8.249114,7.771486,8.148796,8.286266,9.573115,7.748424,8.5954,7.454621,7.595742,8.95139,10.09919,10.46223,10.26725,9.74176,10.49057,10.05341,9.97363,10.21875,8.284812,5.803708,6.112544,7.115432,6.946017,7.469014,7.243091,7.122991,6.411218,6.017809,5.918428,4.310848,5.143946,6.960709,4.81395,5.14097,5.170464,5.327096,3.891435,5.94918,3.822251,5.389359,4.435526,5.364174,5.606877,6.457234,5.0103,6.298894,6.464184,5.001972,4.525316,6.752788,6.062626,8.245722,6.71198,7.595442,6.568897,7.200877,6.978487,5.630794,6.326903,5.386048,7.815375,6.961518,6.622045,6.809655,6.327307,6.18344,6.469615,6.846077,5.316638,8.670827,7.772309,7.602958,7.791715,7.456141,7.211032,6.842867,7.402358,6.514594,7.679203,6.609587,6.298225,6.922321,8.219352,6.694051,7.620884,7.132215,7.315581,8.122164,6.521396,6.303394,5.661257,5.896957,5.787681,6.323996,6.24786,5.95737,6.259992,6.415574,5.693172,5.735387,5.581213,5.269141,5.452037,5.56399,6.758106,5.467801,6.320094,5.953275,5.700534,6.047273,7.245879,6.184327,7.374916,6.192028,6.476014,6.468057,6.717671,6.201995,5.821342
9/18/2025 4:03,12,11.42561,11.54982,12.35121,11.90302,12.39904,12.04871,12.82564,12.29189,11.27959,10.81086,8.094445,11.37711,9.989322,10.47168,11.63555,11.42701,10.10838,10.90755,10.46286,10.23556,11.08119,12.68322,12.14501,13.97318,13.00098,14.47989,14.04736,12.04373,13.55077,12.16498,1.891786,11.33571,13.32688,12.95583,13.13002,12.35744,12.88869,11.99741,13.96456,11.78411,12.35238,12.51632,14.01414,13.2397,13.04663,12.82613,13.38246,12.34118,12.24354,10.83142,9.787499,11.43772,9.794527,10.18672,10.4386,10.99021,11.39575,9.924312,9.22816,9.35496,7.347314,8.950841,8.341505,8.729929,8.674142,9.964252,8.242968,9.166979,7.857632,7.678878,9.228164,10.3473,10.90057,11.09354,10.09325,11.4027,10.51835,10.59865,10.75782,8.302596,6.021717,6.508374,7.785991,7.280507,8.006598,7.663991,7.598866,6.847557,6.527016,6.184442,4.578313,5.659136,7.471622,5.157669,5.617923,5.477772,5.873456,4.334244,6.493049,4.262977,6.005979,4.934948,5.813532,6.183553,7.374134,5.395679,6.848111,6.92269,5.604425,5.01525,7.388081,6.538129,9.022584,7.279809,8.482435,7.422748,7.729982,7.907214,6.136499,6.837743,5.777224,8.702962,7.395852,7.241831,7.583247,7.017204,6.681082,7.108076,7.554457,6.002673,9.452118,8.203957,8.218345,8.656393,8.805102,7.925693,7.568774,7.992575,6.97079,8.620394,7.459208,6.918936,7.645323,8.983343,7.330652,8.336361,7.951138,8.25629,8.885524,7.271549,6.882374,6.076728,6.374546,6.173359,6.75799,6.782731,6.288661,6.731697,6.812744,6.09596,6.327867,6.009627,5.856088,5.932185,6.168377,7.045587,6.062035,6.935045,6.498519,6.156805,6.570491,7.660054,6.507894,8.322123,6.997124,6.903758,7.02267,7.39243,6.613786,6.197611
9/18/2025 8:03,16,11.87208,11.93628,12.62818,12.63729,13.05279,12.742,13.45541,13.17714,11.52315,11.33375,8.647141,11.72039,10.15295,11.3827,12.59979,11.41736,11.59173,11.55677,11.35583,11.33898,12.09249,13.71416,13.09028,14.67566,14.48759,15.03551,15.02473,12.72886,14.56247,13.17019,2.339281,12.22536,14.19551,13.91324,14.15612,13.46935,14.20392,12.94891,15.29045,12.84368,13.03268,13.20285,14.96961,14.76363,13.59949,13.26072,14.64301,12.55532,12.76966,11.40054,10.26587,12.4705,10.60033,10.95275,10.96663,11.63451,12.52582,10.73728,10.08297,9.720109,7.813927,9.073687,8.737041,9.115868,9.288639,10.98322,8.948712,9.567492,8.77103,8.246545,9.675512,10.65564,11.51705,11.40024,10.73754,11.45932,11.1301,10.59944,11.29591,8.956491,6.430415,6.836661,8.157387,7.699285,8.328557,8.158837,7.990043,7.403329,6.783509,6.590991,4.933384,6.216953,8.305161,5.654677,6.336681,6.152157,6.564356,4.826411,7.28073,4.854719,6.590061,5.374403,6.440303,6.825356,8.208833,5.924448,7.643836,7.658828,5.984256,5.495368,8.143472,7.22245,9.909845,8.186843,9.453303,8.234975,8.543073,8.841002,6.881852,7.52284,6.227105,9.20514,8.22925,7.858635,8.044684,7.385031,7.355456,7.67675,8.161404,6.454592,10.11486,9.333571,8.963147,9.523151,9.464238,8.702227,8.306014,9.046277,7.906321,9.500618,8.061608,7.575989,7.982721,9.848169,7.894271,9.10936,8.724916,8.751805,9.447165,7.760289,7.095766,6.474271,6.768673,6.728834,7.126709,7.303238,6.720835,7.135708,7.629622,6.665523,6.762979,6.453109,6.395224,6.196457,6.670584,7.851983,6.63451,7.615903,7.123474,6.748877,6.98849,8.394771,7.209283,9.03753,7.589165,7.617689,7.742358,8.039742,7.326003,6.636325
9/18/2025 12:03,20,12.63479,12.48578,13.34322,13.38614,13.7168,13.36873,14.11722,14.29474,12.18964,12.22739,8.994205,12.16577,11.0399,12.80993,13.6598,12.31268,12.47352,12.10033,10.35563,12.5153,13.30573,14.60257,14.19878,15.4594,15.63626,16.50503,16.14759,14.09001,15.32788,14.11854,2.760072,12.81352,15.8912,14.77809,15.00793,14.31141,14.50821,13.74478,15.78233,13.71996,14.11201,14.87601,15.66271,16.03872,14.57818,13.97844,15.27811,13.23166,13.71993,12.70877,11.54821,13.25398,10.90737,11.76615,11.83569,13.04286,13.99078,12.01806,11.93977,12.10064,8.278936,9.989285,9.308766,10.12122,10.08522,11.4517,9.704556,11.8113,8.93357,8.69452,10.10876,11.69606,12.36133,11.63912,11.74107,11.85355,11.62416,11.27305,12.58712,8.994987,6.454742,7.177823,8.365343,8.191085,8.749828,8.305277,8.171109,7.516886,6.909637,6.815756,5.735981,6.873372,9.362101,6.222871,6.943708,6.663031,7.201396,5.239498,8.003364,5.357482,7.231411,5.648049,7.094903,7.442613,8.953033,6.388572,8.130645,8.268974,6.420414,5.957068,8.833148,7.882885,10.96209,9.055913,10.24486,8.860191,9.643005,9.858845,7.497168,8.399566,7.324586,10.19491,9.265692,9.519585,9.107388,8.263137,8.673806,8.272958,9.091842,7.127899,10.77013,10.98452,9.946918,9.994264,10.7037,9.779097,9.401567,10.06758,9.738925,10.12256,9.01131,8.272062,9.243556,11.57116,8.633936,9.756299,8.905864,9.694258,10.23016,8.675481,8.241817,6.834989,7.445469,8.062347,8.914315,7.876151,7.358881,7.939725,7.368814,7.201027,6.925113,7.726299,6.698479,6.517117,7.158584,8.92907,7.385921,8.118519,7.444166,7.527901,8.073287,9.439996,8.822028,9.866285,8.432261,9.542051,8.294341,8.626793,8.018313,7.311819
9/18/2025 16:03,24,12.95653,13.5135,14.34659,14.30307,14.49853,13.92659,15.31913,15.01302,12.38418,13.08349,10.08885,13.92879,11.23522,13.45402,14.22746,13.47236,13.20348,13.85725,11.8296,12.66742,13.96191,16.50097,15.21922,17.1237,16.69611,17.97971,17.17615,14.80171,16.65679,15.26111,1.640569,13.74665,16.97659,15.94082,16.24924,15.11765,15.68807,14.61995,16.84707,14.52066,15.14271,15.62296,17.11625,16.67227,15.31806,15.19464,17.27646,14.44304,14.7536,13.83215,11.8434,13.91434,11.99864,12.35215,12.90699,13.76787,14.62239,12.27258,11.75405,11.45845,9.041889,10.75558,10.1018,10.69324,10.47335,12.19623,10.70962,10.69064,9.780317,9.403612,11.0023,12.36379,12.74843,12.79881,12.20679,12.54557,12.70685,12.09238,13.23594,10.1589,7.142632,7.724363,8.817829,8.788482,9.43597,9.409148,8.354339,8.855239,7.578965,7.024348,6.1288,7.543963,10.0061,7.071622,7.571455,7.172348,8.126036,5.60922,8.463059,5.876988,7.650567,6.32441,7.510639,8.330602,9.653012,7.287097,9.014254,8.858038,6.776033,6.397683,9.551012,9.058966,11.69889,9.858062,11.56532,10.38437,10.29101,10.75774,8.470349,9.057512,7.51238,10.88574,9.684997,10.385,9.944321,9.103884,9.314157,8.879236,8.852716,7.429777,12.07765,11.69339,11.31503,10.84756,11.49074,10.63674,10.52944,11.08089,9.651215,10.96492,9.490764,9.059782,9.452592,11.08059,9.38772,10.31806,9.827969,10.05182,10.86553,9.586202,8.12421,7.404779,7.843714,7.469391,8.043643,8.277636,7.519855,8.390154,7.700627,7.663103,7.11339,7.896687,7.571973,6.930215,6.931355,9.486447,7.867265,8.567805,7.944038,7.831967,8.341388,9.827371,9.434294,11.263,9.084034,9.232584,9.294818,10.39192,8.602837,8.021253
9/18/2025 20:03,28,14.03688,14.24066,14.95638,15.19136,15.1153,15.94837,16.13733,15.70106,14.01871,13.90002,10.76376,14.40287,11.75628,14.50489,15.30003,14.15894,13.77841,13.69471,11.53226,13.62676,15.46007,17.61587,16.23611,18.12368,18.42575,19.08471,18.6808,16.81457,17.95084,16.49417,3.54753,14.37392,17.57168,16.99091,16.97825,16.20976,17.114,15.44802,18.45386,15.58907,15.58609,17.22184,17.68151,18.16055,16.89353,16.56874,18.28446,15.69128,15.87085,14.41032,12.85801,15.03403,12.95519,13.04175,13.81551,14.34351,15.74502,13.71829,13.77309,14.44311,9.469043,11.48554,10.43995,11.55859,10.88101,12.87337,11.63138,11.58812,10.57176,10.20703,11.46568,12.917,13.77375,13.57449,12.80617,12.79675,13.31386,12.84975,14.03995,10.67618,7.633382,8.619645,9.320295,9.198591,10.01618,9.806732,8.933469,9.179879,8.119195,7.597262,6.707664,8.093522,10.42302,7.686979,8.236575,7.602658,8.757608,6.05694,9.421542,6.182394,8.262313,7.012516,8.312861,8.837358,10.47393,8.304194,9.811971,9.710804,7.534634,6.865971,10.40773,10.10106,12.86582,10.61,12.56141,11.40102,11.13602,11.94911,9.538667,9.658061,8.318671,11.47933,10.21991,11.44169,10.42098,9.999519,10.90139,9.625858,9.483025,8.403996,12.72997,12.7854,11.94855,11.47788,12.40946,11.81666,11.89569,12.19489,10.72192,12.20378,10.64634,9.717421,10.35938,12.0666,10.43382,11.19991,10.55264,11.22894,11.81097,10.44136,8.980517,7.973835,8.580597,8.167834,8.89304,9.035451,8.082733,9.228606,8.627647,8.233979,7.767249,8.44714,8.188704,7.751143,7.665929,10.56395,8.711153,9.284407,8.796922,8.544176,8.955221,10.14964,10.3133,12.37826,9.979538,10.34216,10.06305,11.29994,9.304788,9.024371
9/19/2025 0:03,32,14.85237,14.60648,16.09302,15.9398,16.35518,17.55881,16.52187,16.90236,14.30018,14.4626,11.51942,14.87763,13.38465,14.91163,16.45719,14.59804,15.45363,15.13822,13.12983,15.05456,16.0396,18.9847,17.72537,20.27885,19.87447,19.99155,20.01342,17.95218,19.11375,18.06195,3.885301,16.32333,19.12964,18.2044,18.82323,17.56903,18.4987,16.13902,19.63976,16.81162,17.03401,18.39771,18.63995,19.20258,18.49546,17.63182,19.04044,16.44651,17.18848,15.45937,13.91262,16.34947,13.83651,14.45462,14.73528,15.57965,16.90629,15.04885,14.791,15.47163,10.3473,12.19276,11.36711,12.10044,11.83945,13.57289,12.39199,11.94664,11.27914,11.01376,12.34527,13.6746,13.97249,14.3156,13.52353,13.62047,13.88084,13.47644,14.7951,11.32839,8.194696,9.130599,10.12085,9.816849,10.54855,10.32215,9.410872,9.60915,8.686978,7.928268,7.097175,8.619429,11.19058,8.285862,8.532613,8.103042,9.177242,6.648156,10.06494,6.795672,8.746852,7.598565,8.807376,9.73175,11.20371,8.861979,10.56518,10.51143,7.999946,7.360633,11.27914,10.81658,13.6503,11.41535,13.66499,12.21092,11.90926,13.10308,10.22324,10.51154,8.943875,12.51205,11.25869,11.83696,11.03823,10.47008,11.17626,10.30682,9.741307,9.082619,13.91468,13.66325,13.24119,12.91007,13.23215,12.48349,12.8397,13.50329,11.97704,13.21619,11.65507,10.50618,10.99196,13.13198,11.46694,12.3289,11.36714,12.13498,13.24439,11.50797,9.647836,8.575389,9.212804,8.58844,9.249146,9.744398,8.604099,9.656727,9.148268,8.720187,8.235724,9.043334,8.930938,8.429987,8.077157,11.34249,9.368872,9.95306,9.830692,9.14463,9.45821,11.24939,11.11912,13.29914,10.56738,11.14862,10.67271,11.80021,10.13993,9.47246
9/19/2025 4:03,36,15.80654,15.71441,16.72552,17.07726,18.05176,18.77547,17.32117,17.95389,15.81935,15.50608,13.10323,16.6614,14.65599,15.96827,17.45506,15.46861,16.73374,17.16321,14.07671,16.72005,18.20225,20.0943,18.52462,21.88407,21.78857,21.87999,21.25619,19.38754,20.3166,19.13514,2.358029,17.43155,20.87453,19.88361,20.65166,19.11073,19.92588,17.59741,21.42755,18.1783,18.01999,19.9066,20.43213,20.44211,19.96176,18.64479,20.81248,17.70691,18.74525,16.19667,14.38948,17.45741,14.8735,15.56368,15.69057,17.05794,17.7408,16.06713,16.16681,16.5128,10.78694,13.20276,12.1113,12.95571,12.74856,14.59119,13.08422,13.18398,12.13284,11.68543,12.71808,14.19633,14.7246,14.75142,14.35698,14.46981,14.44842,14.00656,15.35522,12.0871,8.687493,9.756817,10.62034,10.18966,11.28688,11.12199,10.15849,10.16704,9.102035,8.462833,7.400467,9.358494,11.87929,8.943769,9.351016,8.822464,9.96481,7.086016,10.7792,7.246813,9.470454,7.822817,9.335948,10.4219,12.17494,9.438875,11.20598,11.16626,8.648885,7.84967,12.2335,11.62301,14.8755,12.48501,14.67168,12.9999,12.80828,14.20365,10.93966,11.45125,9.340416,13.54188,11.90695,12.95449,12.31194,11.06269,12.10864,10.99724,10.32286,9.639206,15.04028,14.78582,14.23576,14.04286,14.5101,13.57915,13.90151,14.21507,12.75914,14.45498,12.83494,11.41063,12.20059,13.94983,12.37985,13.38517,12.32615,13.07387,14.28957,12.55408,10.08064,8.873765,9.731155,9.02084,9.579544,10.13045,9.155223,10.24162,9.690015,9.266511,8.877638,9.704,9.533201,8.987473,8.661908,12.31648,9.956215,10.86683,10.33241,9.697898,10.23679,12.05008,11.96115,14.49675,11.26985,12.06366,11.38582,12.99447,10.72959,10.45572
