Incucyte Image Time,Plate Well and Image #,# Red Cells,# Green Cells,New Fusion Events,Total (Green+Red),Normalized Fusion Rate/Day
0d00hr00m,B2,2631,3248,,5879,0
1d00hr00m,B2,4471,6132,,10603,0
2d00hr00m,B2,8910,13733,,22643,0
3d00hr00m,B2,17327,28819,,46146,0
4d00hr00m,B2,25652,44615,,70267,0
5d00hr00m,B2,30974,55385,,86359,0
6d00hr00m,B2,34457,61789,1,96246,1.039E-05
0d00hr00m,B3,1565,2185,,3750,0
1d00hr00m,B3,2820,3897,,6717,0
2d00hr00m,B3,4672,7171,3,11843,0.000253314
3d00hr00m,B3,9522,15046,,24568,0
4d00hr00m,B3,16528,29340,,45868,0
5d00hr00m,B3,24355,45424,3,69779,4.29929E-05
6d00hr00m,B3,30243,57329,,87572,0
0d00hr00m,C2,2661,3348,,6009,0
1d00hr00m,C2,5281,6437,,11718,0
2d00hr00m,C2,10027,14122,2,24149,8.28192E-05
3d00hr00m,C2,19393,28673,,48066,0
4d00hr00m,C2,27582,43890,,71472,0
5d00hr00m,C2,33007,54497,,87504,0
6d00hr00m,C2,36538,60732,,97270,0
0d00hr00m,C3,1406,1538,,2944,0
1d00hr00m,C3,2489,2571,,5060,0
2d00hr00m,C3,4333,4933,1,9266,0.000107921
3d00hr00m,C3,8776,10414,4,19190,0.000208442
4d00hr00m,C3,15704,21677,1,37381,2.67516E-05
5d00hr00m,C3,24205,36139,1,60344,1.65717E-05
6d00hr00m,C3,31658,49562,,81220,0
0d00hr00m,D2,2990,2548,,5538,0
1d00hr00m,D2,5536,4651,,10187,0
2d00hr00m,D2,10898,10069,,20967,0
3d00hr00m,D2,21410,21994,1,43404,2.30394E-05
4d00hr00m,D2,32682,35534,1,68216,1.46593E-05
5d00hr00m,D2,40183,46929,2,87112,2.29589E-05
6d00hr00m,D2,44557,53211,,97768,0
0d00hr00m,D3,1456,1113,,2569,0
1d00hr00m,D3,2300,1914,,4214,0
2d00hr00m,D3,3937,3655,,7592,0
3d00hr00m,D3,8638,7827,2,16465,0.00012147
4d00hr00m,D3,15688,17175,2,32863,6.08587E-05
5d00hr00m,D3,25133,30179,,55312,0
6d00hr00m,D3,33284,43221,,76505,0
0d00hr00m,E2,2549,1330,,3879,0
1d00hr00m,E2,4388,2333,,6721,0
2d00hr00m,E2,7971,4506,1,12477,8.01475E-05
3d00hr00m,E2,16343,10365,,26708,0
4d00hr00m,E2,29212,21432,2,50644,3.94914E-05
5d00hr00m,E2,41838,33577,1,75415,1.326E-05
6d00hr00m,E2,49326,41866,,91192,0
0d00hr00m,F2,1858,750,,2608,0
1d00hr00m,F2,3202,1297,,4499,0
2d00hr00m,F2,5350,2434,1,7784,0.000128469
3d00hr00m,F2,10797,5270,2,16067,0.000124479
4d00hr00m,F2,20944,12598,2,33542,5.96267E-05
5d00hr00m,F2,32658,22955,2,55613,3.59628E-05
6d00hr00m,F2,46357,33222,,79579,0
0d00hr00m,G2,2054,620,,2674,0
1d00hr00m,G2,3157,1032,,4189,0
2d00hr00m,G2,5196,1923,,7119,0
3d00hr00m,G2,9657,3725,,13382,0
4d00hr00m,G2,17693,8456,1,26149,3.82424E-05
5d00hr00m,G2,31599,16480,2,48079,4.15982E-05
6d00hr00m,G2,46459,26639,,73098,0
