Incucyte Image Time,Plate Well and Image #,# Red Cells,# Green Cells,New Fusion Events,Total (Green+Red),Normalized Fusion Rate/Day
0d00hr00m,B2,1165,1672,,2837,0
1d00hr00m,B2,1871,2651,,4522,0
2d00hr00m,B2,3257,4321,2,7578,0.000263922
3d00hr00m,B2,5538,6940,5,12478,0.000400705
4d00hr00m,B2,8550,10236,4,18786,0.000212925
5d00hr00m,B2,11608,13340,13,24948,0.000521084
6d00hr00m,B2,15298,17074,7,32372,0.000216236
7d00hr00m,B2,19356,21381,3,40737,7.36431E-05
0d00hr00m,B3,840,1191,,2031,0
1d00hr00m,B3,1432,1974,1,3406,0.0002936
2d00hr00m,B3,2831,3633,6,6464,0.000928218
3d00hr00m,B3,4852,5995,4,10847,0.000368766
4d00hr00m,B3,7644,9032,11,16676,0.000659631
5d00hr00m,B3,9959,11634,12,21593,0.000555736
6d00hr00m,B3,13313,15668,13,28981,0.00044857
7d00hr00m,B3,17360,20257,5,37617,0.000132919
0d00hr00m,C2,709,1171,,1880,0
1d00hr00m,C2,1132,1709,,2841,0
2d00hr00m,C2,1910,2858,1,4768,0.000209732
3d00hr00m,C2,3536,4889,2,8425,0.000237389
4d00hr00m,C2,5970,7729,6,13699,0.000437988
5d00hr00m,C2,9178,11294,9,20472,0.000439625
6d00hr00m,C2,12135,14735,9,26870,0.000334946
7d00hr00m,C2,16110,19050,1,35160,2.84414E-05
0d00hr00m,C3,1061,1534,,2595,0
1d00hr00m,C3,1793,2437,,4230,0
2d00hr00m,C3,3221,4222,,7443,0
3d00hr00m,C3,5478,6732,7,12210,0.000573301
4d00hr00m,C3,8621,10011,6,18632,0.000322027
5d00hr00m,C3,11953,13302,11,25255,0.000435557
6d00hr00m,C3,15947,17395,6,33342,0.000179953
7d00hr00m,C3,20462,22125,2,42587,4.69627E-05
0d00hr00m,D2,783,1161,,1944,0
1d00hr00m,D2,1494,2113,1,3607,
2d00hr00m,D2,2664,3648,1,6312,0.000158428
3d00hr00m,D2,4511,5935,11,10446,0.001053035
4d00hr00m,D2,7002,8856,7,15858,0.000441418
5d00hr00m,D2,9272,11608,6,20880,0.000287356
6d00hr00m,D2,12498,15297,6,27795,0.000215866
7d00hr00m,D2,16410,19910,1,36320,2.7533E-05
0d00hr00m,D3,885,1326,,2211,0
1d00hr00m,D3,1379,1886,,3265,0
2d00hr00m,D3,2615,3537,2,6152,0.000325098
3d00hr00m,D3,4577,5914,2,10491,0.00019064
4d00hr00m,D3,7267,8863,6,16130,0.000371978
5d00hr00m,D3,9474,11658,11,21132,0.000520538
6d00hr00m,D3,12821,15392,15,28213,0.00053167
7d00hr00m,D3,17011,20057,4,37068,0.00010791
0d00hr00m,E2,752,1125,,1877,0
1d00hr00m,E2,1284,1798,,3082,0
2d00hr00m,E2,2319,3007,4,5326,0.000751033
3d00hr00m,E2,4204,5038,3,9242,0.000324605
4d00hr00m,E2,6822,7813,5,14635,0.000341647
5d00hr00m,E2,9764,11161,16,20925,0.000764636
6d00hr00m,E2,12867,14467,11,27334,0.000402429
7d00hr00m,E2,17044,18770,5,35814,0.00013961
0d00hr00m,E3,899,1292,,2191,0
1d00hr00m,E3,1427,1858,,3285,0
2d00hr00m,E3,2565,3185,2,5750,0.000347826
3d00hr00m,E3,4609,5408,1,10017,9.98303E-05
4d00hr00m,E3,7260,8070,9,15330,0.000587084
5d00hr00m,E3,10788,12114,13,22902,0.000567636
6d00hr00m,E3,14051,15749,16,29800,0.000536913
7d00hr00m,E3,18556,20527,9,39083,0.000230279
0d00hr00m,F2,809,1247,,2056,0
1d00hr00m,F2,1308,1775,2,3083,0.000648719
2d00hr00m,F2,2268,2925,5,5193,0.000962835
3d00hr00m,F2,4022,5049,3,9071,0.000330724
4d00hr00m,F2,6558,7936,5,14494,0.00034497
5d00hr00m,F2,9724,11413,7,21137,0.000331173
6d00hr00m,F2,13154,15223,7,28377,0.000246679
7d00hr00m,F2,17601,20097,5,37698,0.000132633
0d00hr00m,F3,933,1342,,2275,0
1d00hr00m,F3,1445,2039,1,3484,0.000287026
2d00hr00m,F3,2424,3522,,5946,0
3d00hr00m,F3,4417,6027,4,10444,0.000382995
4d00hr00m,F3,7254,9149,6,16403,0.000365787
5d00hr00m,F3,10383,12861,14,23244,0.000602306
6d00hr00m,F3,14061,16881,8,30942,0.000258548
7d00hr00m,F3,18609,21703,4,40312,9.9226E-05
0d00hr00m,G2,822,1173,,1995,0
1d00hr00m,G2,1438,1864,,,
2d00hr00m,G2,2501,3233,3,5734,0.000523195
3d00hr00m,G2,4315,5597,10,9912,0.001008878
4d00hr00m,G2,6971,8477,4,15448,0.000258933
5d00hr00m,G2,9856,11612,10,21468,0.00046581
6d00hr00m,G2,12999,15204,5,28203,0.000177286
7d00hr00m,G2,16966,19772,10,36738,0.000272198
0d00hr00m,G3,900,1191,,2091,0
1d00hr00m,G3,1462,1845,4,3307,0.001209555
2d00hr00m,G3,2525,3127,,5652,0
3d00hr00m,G3,4596,5380,1,9976,0.000100241
4d00hr00m,G3,7675,8453,4,16128,0.000248016
5d00hr00m,G3,10522,11377,13,21899,0.000593634
6d00hr00m,G3,14456,15342,9,29798,0.000302034
7d00hr00m,G3,19286,20036,3,39322,7.62932E-05
