area_px,perimeter_px,major_px,minor_px,angle_deg,area_um2,perimeter_um,major_um,minor_um,circularity,aspect_ratio,roundness,solidity,centroid_row,centroid_col,cell_id,nucleus_id,nucleus_class,root,sample,well,site,timecode,selected_rank
61.0,26.14213562373095,9.703810304526232,7.970113484085858,45.0,484.0309462408252,73.63981865839703,27.3346769141584,22.4510238988334,1.121650546287933,1.2175247346103784,0.8248127343244327,0.9682539682539683,474.91803278688525,1305.9180327868853,26,36,GFP,KH2506,F5,F6,1,01d00h00m,1
84.0,32.384776310850235,12.186202951274804,8.822376443513782,27.41527907479249,666.5344177742511,91.22472200239503,34.327332257112126,24.851764629616287,1.0064850926985833,1.3812834930926248,0.7201991282573298,0.9438202247191011,469.6547619047619,1244.357142857143,24,30,DOUBLE,KH2506,F5,F6,1,01d00h00m,2
111.0,36.72792206135785,12.640532873187233,11.293089357746828,-8.767300114895729,880.7776234874032,103.45893538410661,35.60713485404854,31.811519317596694,1.0340466369389885,1.1193157578724096,0.8845091554424858,0.9736842105263158,453.64864864864865,1396.6846846846847,20,23,DOUBLE,KH2506,F5,F6,1,01d00h00m,3
68.0,29.31370849898476,10.679920890102828,8.265376725286213,1.456849486340712,539.5754810553461,82.57382675770354,30.08428419747275,23.2827513388344,0.994436936676639,1.2921275393812137,0.7590719790878431,0.9444444444444444,470.5735294117647,1184.5882352941176,28,33,DOUBLE,KH2506,F5,F6,1,01d00h00m,4
83.0,31.31370849898476,11.3928611762571,9.29960110285923,-71.65291655519826,658.5994842293195,88.20762957460495,32.09256669368197,26.196059444673885,1.0636994816951175,1.2250913829792422,0.8141840684630737,0.9651162790697675,959.0361445783133,711.289156626506,220,311,DOUBLE,KH2506,F5,F6,1,01d00h00m,5
77.0,29.31370849898476,10.709839852620917,9.137872474693692,64.99479045727377,610.9898829597302,82.57382675770354,30.16856296512934,25.74048584420758,1.1260535900603117,1.1720277211441297,0.8547416961706407,1.0,895.7922077922078,1345.4675324675325,194,271,DOUBLE,KH2506,F5,F6,1,01d00h00m,6
82.0,31.556349186104043,11.539816777337263,9.07715782187557,-32.756465970752444,650.6645506843879,88.8911244678987,32.5065261333444,25.569458653170617,1.0347852038717007,1.2713028685616536,0.7840181996890161,0.9534883720930233,856.4512195121952,1540.4756097560976,183,254,MC,KH2506,F5,F6,1,01d00h00m,7
79.0,31.31370849898476,11.609215412787615,8.765164251773859,61.27059185354215,626.8597500495932,88.20762957460495,32.702015247289054,24.690603526123546,1.0124368560712564,1.3244720896631443,0.7463309816996672,0.9518072289156626,640.6708860759494,1021.7848101265823,95,117,MC,KH2506,F5,F6,1,01d00h00m,8
64.0,27.556349186104043,10.454439738057507,7.897636261143208,27.58409523049001,507.83574687561986,77.62351883409589,29.4491260226972,22.246862707445654,1.0591231949847966,1.3237428760164494,0.7455702416379248,0.9696969696969697,1269.21875,390.859375,365,514,MC,KH2506,F5,F6,1,01d00h00m,9
72.0,30.627416997969522,9.765776428790636,9.45081384579209,44.07949189653783,571.3152152350724,86.27441407878739,27.509229376875027,26.622010833217153,0.964543052725225,1.0333265037421915,0.9612338581713932,0.9473684210526315,1380.486111111111,733.3888888888889,417,592,MC,KH2506,F5,F6,1,01d00h00m,10
85.0,31.556349186104043,11.8839565232927,9.11636914286761,60.110461270431834,674.4693513191826,88.8911244678987,33.47593386843014,25.67991307850031,1.0726431991352996,1.3035843916643473,0.7663143103467643,0.9770114942528736,1234.2117647058824,1011.8,351,495,DOUBLE,KH2506,F5,F6,1,01d00h00m,11
101.0,35.21320343559643,12.656113855934414,10.261707313201331,16.454400803384914,801.4282880380875,99.19212235379274,35.65102494629412,28.90621778366572,1.023576169597728,1.233334129463307,0.802843223753193,0.9619047619047619,1196.1287128712872,1500.930693069307,332,466,DOUBLE,KH2506,F5,F6,1,01d00h00m,12
