area_px,perimeter_px,major_px,minor_px,angle_deg,area_um2,perimeter_um,major_um,minor_um,circularity,aspect_ratio,roundness,solidity,centroid_row,centroid_col,cell_id,nucleus_id,nucleus_class,root,sample,well,site,timecode,selected_rank
70.0,28.14213562373095,9.839181825821212,9.04827703626277,-78.82253513316411,555.4453481452092,79.27362147529844,27.71600514315834,25.488104327500757,1.110692401272532,1.0874094356736355,0.9206407330959907,0.9722222222222222,437.92857142857144,1065.8857142857144,17,15,MC,KH2506,MC,G6,1,01d00h00m,1
50.0,23.899494936611667,8.756598934645258,7.3460993117279285,-26.203399460281787,396.74667724657803,67.32252094820187,24.66647587224016,20.693237497825148,1.1000246621482594,1.192006609639144,0.8302506137570883,0.9433962264150944,456.62,1011.48,26,29,MC,KH2506,MC,G6,1,01d00h00m,2
67.0,28.14213562373095,10.212452440983649,8.431018218678577,11.510482400230554,531.6405475104145,79.27362147529844,28.76747166474267,23.74934709486923,1.063091298360852,1.211295264237287,0.8179463659675532,0.9571428571428572,471.1641791044776,1535.8358208955224,35,36,MC,KH2506,MC,G6,1,01d00h00m,3
46.0,23.556349186104043,8.838188320856034,6.632953191214457,-44.879364652462236,365.00694306685176,66.35591320029307,24.896305129171925,18.684375186519596,1.0417217427849763,1.3324665599272547,0.7497931148481463,0.9583333333333334,943.695652173913,441.7173913043478,299,359,MC,KH2506,MC,G6,1,01d00h00m,4
69.0,27.556349186104047,9.916002744112438,8.845765018691157,20.26008286133924,547.5104146002776,77.6235188340959,27.932402096091373,24.91764793997509,1.1418671945929835,1.1209887130349792,0.8934822574399972,1.0,666.6521739130435,759.8695652173913,139,154,MC,KH2506,MC,G6,1,01d00h00m,5
67.0,27.899494936611667,10.16536792357218,8.419002114538706,-80.5815539000036,531.6405475104145,78.59012658200469,28.634839221330083,23.71549891419354,1.0816630244914993,1.2074314491521139,0.8255411333436556,0.9710144927536232,855.5671641791045,1182.7910447761194,252,295,MC,KH2506,MC,G6,1,01d00h00m,6
66.0,27.556349186104047,10.57262326656572,7.943971903580162,-30.191110389896117,523.7056139654829,77.6235188340959,29.78203737060766,22.37738564388778,1.092220794828071,1.3308988746298167,0.7517761429209461,0.9850746268656716,956.6818181818181,1742.7272727272727,307,368,MC,KH2506,MC,G6,1,01d00h00m,7
95.0,34.384776310850235,13.255620105173787,9.209774610146265,-53.20511327576152,753.8186867684982,96.85852481929643,37.33977494415151,25.94302707083455,1.0097202415546689,1.4392990780219828,0.6883885304904559,0.9693877551020408,438.33684210526314,1194.4736842105262,18,14,MC,KH2506,MC,G6,1,01d00h00m,8
74.0,30.14213562373095,11.093256818430689,8.555682146267031,-74.3332843436478,587.1850823249355,84.90742429219985,31.24861075614278,24.10051308807614,1.0235134274794264,1.2965952484888466,0.765638393926886,0.9367088607594937,1107.8513513513512,449.9054054054054,410,471,MC,KH2506,MC,G6,1,01d00h00m,9
60.0,27.79898987322333,9.54666307105141,8.216183338525726,-76.5608642950317,476.0960126958936,78.30701372738966,26.892008650849043,23.144178418382324,0.9756702971954304,1.1619340364871191,0.8382203076581963,0.9523809523809523,1051.0333333333333,508.98333333333335,368,429,MC,KH2506,MC,G6,1,01d00h00m,10
56.0,25.31370849898476,9.46421484365112,7.511560114410152,66.75473042996546,444.3562785161674,71.30622112390073,26.6597601229609,21.15932426594409,1.0982123966043793,1.2599532852695943,0.7960291373279509,0.9491525423728814,1069.4107142857142,1281.7857142857142,382,440,MC,KH2506,MC,G6,1,01d00h00m,11
54.0,24.727922061357855,8.925885571494259,7.762553457126172,-88.29870249155955,428.48641142630424,69.65611848269818,25.143339638011994,21.866347766552597,1.109758237513081,1.1498646187486317,0.8629810287527393,0.9642857142857143,1003.4629629629629,1857.7222222222222,337,396,MC,KH2506,MC,G6,1,01d00h00m,12
66.0,28.384776310850235,9.541761813057366,8.847849554644979,76.43720018951736,523.7056139654829,79.95711636859221,26.87820229030244,24.923519872239375,1.029396879540723,1.078427221679882,0.9229898213180644,0.9565217391304348,1355.8181818181818,1931.6666666666667,544,636,MC,KH2506,MC,G6,1,01d00h00m,13
84.0,30.970562748477143,11.320084538764348,9.44615454537413,26.91561974051826,666.5344177742511,87.24102182669617,31.88756208102633,26.608886043307407,1.100502305181902,1.198380196342214,0.8346224537684602,0.9882352941176471,1479.0357142857142,444.82142857142856,589,683,MC,KH2506,MC,G6,1,01d00h00m,14
61.0,26.970562748477143,9.498157460120858,8.391233109127718,-84.47923207757471,484.0309462408252,75.97341619289335,26.755373127101006,23.63727636374005,1.0538036114219944,1.1319143845246133,0.8609168809540423,0.9682539682539683,1790.5409836065573,653.5081967213115,693,806,MC,KH2506,MC,G6,1,01d00h00m,15
72.0,29.31370849898476,10.37313065136467,8.933914436370289,47.667220018515856,571.3152152350724,82.57382675770354,29.22008634187231,25.165956158789545,1.0529332270693823,1.161095813626251,0.8519672864158836,0.9473684210526315,1766.125,1384.9166666666667,682,797,MC,KH2506,MC,G6,1,01d00h00m,16
55.0,25.071067811865476,8.867358104793645,7.935611330168533,34.092106326044885,436.42134497123584,70.62272623060697,24.978473534629984,22.353834732869107,1.099580147934052,1.1174133580714725,0.8906033263544247,0.9649122807017544,1793.418181818182,1540.7818181818182,692,807,MC,KH2506,MC,G6,1,01d00h00m,17
46.0,22.727922061357855,8.873956930927466,6.655267532607347,-46.76149902491052,365.00694306685176,64.02231566579677,24.997061777260466,18.74723248621788,1.11904675662114,1.3333734350196587,0.7437608549559215,0.9787234042553191,1492.7826086956522,1928.0434782608695,593,691,MC,KH2506,MC,G6,1,01d00h00m,18
