area_px,perimeter_px,major_px,minor_px,angle_deg,area_um2,perimeter_um,major_um,minor_um,circularity,aspect_ratio,roundness,solidity,centroid_row,centroid_col,cell_id,nucleus_id,nucleus_class,root,sample,well,site,timecode,selected_rank
57.0,26.14213562373095,8.67190141344692,8.376290223597167,-5.863590339450411,452.2912120610989,73.63981865839703,24.427891305484277,23.59518372844272,1.0480996907936422,1.0352914216149025,0.9650644334968642,0.95,448.9298245614035,1051.4561403508771,21,24,GFP,KH2506,C4,G6,1,01d00h00m,1
74.0,28.97056274847714,10.793192445056837,8.737260523784125,-68.06459889673542,587.1850823249355,81.60721900979475,30.4033590001601,24.612001475448235,1.1079692847082194,1.235306239945136,0.8088015911496687,1.0,450.0135135135135,1412.6486486486488,20,26,GFP,KH2506,C4,G6,1,01d00h00m,2
43.0,21.556349186104043,7.832756999077539,7.0611943123156635,-45.00000000000002,341.2021424320571,60.722110383391666,22.064104222753627,19.890688203706095,1.1628612521468096,1.1092680151027945,0.8923788477015037,1.0,434.6744186046512,1156.6744186046512,19,20,GFP,KH2506,C4,G6,1,01d00h00m,3
53.0,23.899494936611667,8.615374482731465,7.780883205331888,52.23216700793967,420.5514778813727,67.32252094820187,24.268660514736517,21.917980860089823,1.1660261418771551,1.1072489144712696,0.9091544505698573,0.9814814814814815,459.3207547169811,1207.5849056603774,24,31,GFP,KH2506,C4,G6,1,01d00h00m,4
48.0,23.31370849898476,9.283606303878265,6.598247965696193,-47.39111808316625,380.8768101567149,65.67241830699932,26.151003672896522,18.5866139878766,1.1097582375130812,1.4069805124243668,0.7091170480820802,0.9795918367346939,772.625,878.7083333333334,157,218,GFP,KH2506,C4,G6,1,01d00h00m,5
63.0,26.14213562373095,8.986762752065104,8.913797300417212,-0.0,499.9008133306883,73.63981865839703,25.314824653704516,25.109288170189327,1.1584259740350784,1.0081856754409793,0.9932169325970639,1.0,775.0,1293.7142857142858,159,220,GFP,KH2506,C4,G6,1,01d00h00m,6
45.0,22.485281374238568,8.451875462493351,6.8225388041698976,-73.47281459857574,357.0720095219202,63.338820772503006,23.808099894347468,19.218419166675766,1.1184735665493388,1.238816766762486,0.8020777225573776,0.9782608695652174,857.3777777777777,1524.2888888888888,194,256,GFP,KH2506,C4,G6,1,01d00h00m,7
54.0,24.48528137423857,9.463593271977446,7.252742098810366,2.982685518101443,428.48641142630424,68.97262358940442,26.658009216837875,20.430259433268635,1.1318618593521355,1.3048296965543165,0.7677003609306963,0.9818181818181818,1166.037037037037,373.24074074074076,320,338,GFP,KH2506,C4,G6,1,01d00h00m,8
65.0,26.970562748477143,9.367637250567453,8.853376959351984,83.05488782505444,515.7706804205515,75.97341619289335,26.38771056497874,24.939090026343614,1.1229054875808135,1.0580863430504048,0.9431121621807548,0.9848484848484849,509.0153846153846,1226.5692307692307,48,60,GFP,KH2506,C4,G6,1,01d00h00m,9
52.0,24.14213562373095,8.948294079313072,7.416532622934634,-20.75836426550117,412.61654433644117,68.00601584149562,25.20646219524809,20.891641191365164,1.1211451356615063,1.2065333673099032,0.8268618702000512,0.9629629629629629,1211.0,1367.5,346,350,GFP,KH2506,C4,G6,1,01d00h00m,10
