image_name,cell_number,slide_alpha,cell_slide_replicate,count,notes,clone,week,,,,,,,,,,,,,,,,,,,,
01_21_22_1cell.a.1.tif,1,a,1,95,,1806_01,0,,,,,,,,,,,,,,,,,,,,
01_21_22_1cell.a.2.tif,1,a,2,88,,1806_01,0,,,,,,,,,,,,,,,,,,,,
01_21_22_1cell.a.3.tif,1,a,3,67,,1806_01,0,,,,,,,,,,,,,,,,,,,,
01_21_22_1cell.a.4.tif,1,a,4,86,,1806_01,0,,,,,,,,,,,,,,,,,,,,
01_21_22_1cell.a.5.tif,1,a,5,80,,1806_01,0,,,,,,,,,,,,,,,,,,,,
01_21_22_1cell.b.1.tif,1,b,1,80,nice spread,1806_01,0,,,,,,,,,,,,,,,,,,,,
01_21_22_1cell.b.2.tif,1,b,2,87,nice spread,1806_01,0,,,,,,,,,,,,,,,,,,,,
01_21_22_1cell.b.3.tif,1,b,3,85,nice spread,1806_01,0,,,,,,,,,,,,,,,,,,,,
01_21_22_1cell.c.1.tif,1,c,1,79,,1806_01,0,,,,,,,,,,,,,,,,,,,,
01_21_22_1cell.c.2.tif,1,c,2,75,,1806_01,0,,,,,,,,,,,,,,,,,,,,
01_21_22_1cell.c.3.tif,1,c,3,82,,1806_01,0,,,,,,,,,,,,,,,,,,,,
01_21_22_2cell.a.1.tif,2,a,1,109,,1806_02,0,,,,,,,,,,,,,,,,,,,,
01_21_22_2cell.a.2.tif,2,a,2,47,,1806_02,0,,,,,,,,,,,,,,,,,,,,
01_21_22_2cell.a.3.tif,2,a,3,116,,1806_02,0,,,,,,,,,,,,,,,,,,,,
01_21_22_2cell.b.1.tif,2,b,1,122,,1806_02,0,,,,,,,,,,,,,,,,,,,,
01_21_22_2cell.b.2.tif,2,b,2,45,,1806_02,0,,,,,,,,,,,,,,,,,,,,
01_21_22_2cell.b.3.tif,2,b,3,87,,1806_02,0,,,,,,,,,,,,,,,,,,,,
01_21_22_2cell.c.1.tif,2,c,1,68,ecDNA? small chromosomal fragments,1806_02,0,,,,,,,,,,,,,,,,,,,,
01_21_22_2cell.c.2.tif,2,c,2,78,ecDNA? small chromosomal fragments,1806_02,0,,,,,,,,,,,,,,,,,,,,
