Chromosome	Start	Ratio	MedianRatio	CopyNumber	Subclone_CN	Subclone_Population
1	1	-1	-1	-1	0	0
1	500001	0.806404	0.794396	5	0	0
1	1000001	0.662984	0.794396	5	0	0
1	1500001	0.794396	0.794396	5	0	0
1	2000001	0.652358	0.794396	5	0	0
1	2500001	0.839095	0.794396	5	0	0
1	3000001	0.695134	0.665997	4	0	0
1	3500001	0.664697	0.665997	4	0	0
1	4000001	0.613357	0.665997	4	0	0
1	4500001	0.635449	0.665997	4	0	0
1	5000001	0.618053	0.665997	4	0	0
1	5500001	0.64788	0.665997	4	0	0
1	6000001	0.691063	0.665997	4	0	0
1	6500001	0.641728	0.665997	4	0	0
1	7000001	0.670092	0.665997	4	0	0
1	7500001	0.694074	0.665997	4	0	0
1	8000001	0.701429	0.665997	4	0	0
1	8500001	0.688217	0.665997	4	0	0
1	9000001	0.66641	0.665997	4	0	0
1	9500001	0.659392	0.665997	4	0	0
1	10000001	0.678112	0.665997	4	0	0
1	10500001	0.686812	0.665997	4	0	0
1	11000001	0.648959	0.665997	4	0	0
1	11500001	0.664669	0.665997	4	0	0
1	12000001	0.700646	0.665997	4	0	0
1	12500001	0.634694	0.665997	4	0	0
1	13000001	0.626772	0.665997	4	0	0
1	13500001	0.661996	0.665997	4	0	0
1	14000001	0.665997	0.665997	4	0	0
1	14500001	0.648536	0.665997	4	0	0
1	15000001	0.675702	0.665997	4	0	0
1	15500001	0.70854	0.665997	4	0	0
1	16000001	0.673194	0.665997	4	0	0
1	16500001	1.10428	1.10428	7	0	0
1	17000001	0.672216	0.677525	4	0	0
1	17500001	0.657624	0.677525	4	0	0
1	18000001	0.672914	0.677525	4	0	0
1	18500001	0.679149	0.677525	4	0	0
1	19000001	0.693543	0.677525	4	0	0
1	19500001	0.690286	0.677525	4	0	0
1	20000001	0.669841	0.677525	4	0	0
1	20500001	0.693121	0.677525	4	0	0
1	21000001	0.681639	0.677525	4	0	0
1	21500001	0.641492	0.677525	4	0	0
1	22000001	0.663607	0.677525	4	0	0
1	22500001	0.623884	0.677525	4	0	0
1	23000001	0.67274	0.677525	4	0	0
1	23500001	0.65311	0.677525	4	0	0
1	24000001	0.669595	0.677525	4	0	0
1	24500001	0.668131	0.677525	4	0	0
1	25000001	0.59943	0.677525	4	0	0
1	25500001	0.691583	0.677525	4	0	0
1	26000001	0.661491	0.677525	4	0	0
1	26500001	0.654257	0.677525	4	0	0
1	27000001	0.66982	0.677525	4	0	0
1	27500001	0.718077	0.677525	4	0	0
1	28000001	0.679808	0.677525	4	0	0
1	28500001	0.647059	0.677525	4	0	0
1	29000001	0.666552	0.677525	4	0	0
1	29500001	0.676072	0.677525	4	0	0
1	30000001	0.688227	0.677525	4	0	0
1	30500001	0.692945	0.677525	4	0	0
1	31000001	0.635045	0.677525	4	0	0
1	31500001	0.65369	0.677525	4	0	0
1	32000001	0.668277	0.677525	4	0	0
1	32500001	0.685404	0.677525	4	0	0
1	33000001	0.690432	0.677525	4	0	0
1	33500001	0.703061	0.677525	4	0	0
1	34000001	0.663319	0.677525	4	0	0
1	34500001	0.641464	0.677525	4	0	0
1	35000001	0.656347	0.677525	4	0	0
1	35500001	0.708738	0.677525	4	0	0
1	36000001	0.692862	0.677525	4	0	0
1	36500001	0.653638	0.677525	4	0	0
1	37000001	0.672286	0.677525	4	0	0
1	37500001	0.679705	0.677525	4	0	0
1	38000001	0.683827	0.677525	4	0	0
1	38500001	0.651682	0.677525	4	0	0
1	39000001	0.679633	0.677525	4	0	0
1	39500001	0.69296	0.677525	4	0	0
1	40000001	0.691657	0.677525	4	0	0
1	40500001	0.671308	0.677525	4	0	0
1	41000001	0.68526	0.677525	4	0	0
1	41500001	0.665576	0.677525	4	0	0
1	42000001	0.680714	0.677525	4	0	0
1	42500001	0.698109	0.677525	4	0	0
1	43000001	0.6925	0.677525	4	0	0
1	43500001	0.701996	0.677525	4	0	0
1	44000001	0.708615	0.677525	4	0	0
1	44500001	0.688479	0.677525	4	0	0
1	45000001	0.689657	0.677525	4	0	0
1	45500001	0.669634	0.677525	4	0	0
1	46000001	0.70755	0.677525	4	0	0
1	46500001	0.677333	0.677525	4	0	0
1	47000001	0.657319	0.677525	4	0	0
1	47500001	0.673538	0.677525	4	0	0
1	48000001	0.642511	0.677525	4	0	0
1	48500001	0.679891	0.677525	4	0	0
1	49000001	0.654823	0.677525	4	0	0
1	49500001	0.687235	0.677525	4	0	0
1	50000001	0.667108	0.677525	4	0	0
1	50500001	0.680993	0.677525	4	0	0
1	51000001	0.727474	0.677525	4	0	0
1	51500001	0.677192	0.677525	4	0	0
1	52000001	0.691515	0.677525	4	0	0
