Chromosome	Start	Ratio	MedianRatio	CopyNumber	Subclone_CN	Subclone_Population
1	1	-1	-1	-1	0	0
1	500001	1.62597	1.49824	3	0	0
1	1000001	1.48835	1.49824	3	0	0
1	1500001	1.50285	1.49824	3	0	0
1	2000001	1.49364	1.49824	3	0	0
1	2500001	2.12271	2.12271	4	0	0
1	3000001	1.3798	1.43552	3	0	0
1	3500001	1.43838	1.43552	3	0	0
1	4000001	1.35883	1.43552	3	0	0
1	4500001	1.28973	1.43552	3	0	0
1	5000001	1.34269	1.43552	3	0	0
1	5500001	1.43507	1.43552	3	0	0
1	6000001	1.55145	1.43552	3	0	0
1	6500001	1.4639	1.43552	3	0	0
1	7000001	1.43326	1.43552	3	0	0
1	7500001	1.42523	1.43552	3	0	0
1	8000001	1.54647	1.43552	3	0	0
1	8500001	1.53654	1.43552	3	0	0
1	9000001	1.45761	1.43552	3	0	0
1	9500001	1.50625	1.43552	3	0	0
1	10000001	1.48835	1.43552	3	0	0
1	10500001	1.43552	1.43552	3	0	0
1	11000001	1.46036	1.43552	3	0	0
1	11500001	1.51323	1.43552	3	0	0
1	12000001	1.51915	1.43552	3	0	0
1	12500001	1.41397	1.43552	3	0	0
1	13000001	1.35487	1.43552	3	0	0
1	13500001	1.3689	1.43552	3	0	0
1	14000001	1.30347	1.43552	3	0	0
1	14500001	1.3486	1.43552	3	0	0
1	15000001	1.46984	1.43552	3	0	0
1	15500001	1.04237	1.04728	2	0	0
1	16000001	1.0522	1.04728	2	0	0
1	16500001	2.30415	2.30415	5	0	0
1	17000001	1.03622	1.03087	2	0	0
1	17500001	1.02806	1.03087	2	0	0
1	18000001	0.948684	1.03087	2	0	0
1	18500001	1.01635	1.03087	2	0	0
1	19000001	1.00946	1.03087	2	0	0
1	19500001	1.03732	1.03087	2	0	0
1	20000001	1.03367	1.03087	2	0	0
1	20500001	1.01527	1.03087	2	0	0
1	21000001	1.02692	1.03087	2	0	0
1	21500001	1.04446	1.03087	2	0	0
1	22000001	1.04431	1.03087	2	0	0
1	22500001	1.12925	1.03087	2	0	0
1	23000001	1.62323	1.57203	3	0	0
1	23500001	1.57203	1.57203	3	0	0
1	24000001	1.34792	1.57203	3	0	0
1	24500001	1.02493	1.01467	2	0	0
1	25000001	0.988223	1.01467	2	0	0
