Chromosome	Start	Ratio	MedianRatio	CopyNumber	Subclone_CN	Subclone_Population
1	1	-1	-1	-1	0	0
1	500001	0.907938	0.723634	2	0	0
1	1000001	0.681779	0.723634	2	0	0
1	1500001	0.754976	0.723634	2	0	0
1	2000001	0.704026	0.723634	2	0	0
1	2500001	0.918996	0.723634	2	0	0
1	3000001	0.762854	0.723634	2	0	0
1	3500001	0.713555	0.723634	2	0	0
1	4000001	0.67447	0.723634	2	0	0
1	4500001	0.690187	0.723634	2	0	0
1	5000001	0.697644	0.723634	2	0	0
1	5500001	0.771355	0.723634	2	0	0
1	6000001	0.718437	0.723634	2	0	0
1	6500001	0.677955	0.723634	2	0	0
1	7000001	0.70273	0.723634	2	0	0
1	7500001	0.718803	0.723634	2	0	0
1	8000001	0.696773	0.723634	2	0	0
1	8500001	0.709454	0.723634	2	0	0
1	9000001	0.750448	0.723634	2	0	0
1	9500001	0.67067	0.723634	2	0	0
1	10000001	0.667558	0.723634	2	0	0
1	10500001	0.689375	0.723634	2	0	0
1	11000001	0.712952	0.723634	2	0	0
1	11500001	0.727001	0.723634	2	0	0
1	12000001	0.709711	0.723634	2	0	0
1	12500001	0.69792	0.723634	2	0	0
1	13000001	0.651968	0.723634	2	0	0
1	13500001	0.638872	0.723634	2	0	0
1	14000001	0.707724	0.723634	2	0	0
1	14500001	0.729415	0.723634	2	0	0
1	15000001	0.709298	0.723634	2	0	0
1	15500001	0.737141	0.723634	2	0	0
1	16000001	0.733202	0.723634	2	0	0
1	16500001	1.14636	0.723634	2	0	0
1	17000001	0.746262	0.723634	2	0	0
1	17500001	0.710861	0.723634	2	0	0
1	18000001	0.716092	0.723634	2	0	0
1	18500001	0.732587	0.723634	2	0	0
1	19000001	0.721578	0.723634	2	0	0
1	19500001	0.70754	0.723634	2	0	0
1	20000001	0.699978	0.723634	2	0	0
1	20500001	0.693404	0.723634	2	0	0
1	21000001	0.693758	0.723634	2	0	0
1	21500001	0.70119	0.723634	2	0	0
1	22000001	0.707457	0.723634	2	0	0
1	22500001	0.735599	0.723634	2	0	0
1	23000001	0.72627	0.723634	2	0	0
1	23500001	0.692635	0.723634	2	0	0
1	24000001	0.756923	0.723634	2	0	0
1	24500001	0.731862	0.723634	2	0	0
1	25000001	0.680464	0.723634	2	0	0
1	25500001	0.741978	0.723634	2	0	0
1	26000001	0.745383	0.723634	2	0	0
1	26500001	0.684484	0.723634	2	0	0
1	27000001	0.716986	0.723634	2	0	0
1	27500001	0.740385	0.723634	2	0	0
1	28000001	0.714132	0.723634	2	0	0
1	28500001	0.678936	0.723634	2	0	0
1	29000001	0.714365	0.723634	2	0	0
1	29500001	0.699988	0.723634	2	0	0
1	30000001	0.764441	0.723634	2	0	0
1	30500001	0.769257	0.723634	2	0	0
1	31000001	0.719011	0.723634	2	0	0
1	31500001	0.764742	0.723634	2	0	0
1	32000001	0.714352	0.723634	2	0	0
1	32500001	0.696383	0.723634	2	0	0
1	33000001	0.74454	0.723634	2	0	0
1	33500001	0.713364	0.723634	2	0	0
1	34000001	0.69621	0.723634	2	0	0
1	34500001	0.751377	0.723634	2	0	0
1	35000001	0.697343	0.723634	2	0	0
1	35500001	0.720461	0.723634	2	0	0
1	36000001	0.712525	0.723634	2	0	0
1	36500001	0.788904	0.723634	2	0	0
1	37000001	0.752875	0.723634	2	0	0
1	37500001	0.711789	0.723634	2	0	0
1	38000001	0.741884	0.723634	2	0	0
1	38500001	0.725059	0.723634	2	0	0
1	39000001	0.74892	0.723634	2	0	0
1	39500001	0.727146	0.723634	2	0	0
1	40000001	0.725323	0.723634	2	0	0
1	40500001	0.709971	0.723634	2	0	0
1	41000001	0.745753	0.723634	2	0	0
1	41500001	0.732006	0.723634	2	0	0
1	42000001	0.715617	0.723634	2	0	0
1	42500001	0.720616	0.723634	2	0	0
1	43000001	0.745121	0.723634	2	0	0
1	43500001	0.713864	0.723634	2	0	0
1	44000001	0.717356	0.723634	2	0	0
1	44500001	0.712821	0.723634	2	0	0
1	45000001	0.729271	0.723634	2	0	0
1	45500001	0.687143	0.723634	2	0	0
1	46000001	0.729352	0.723634	2	0	0
1	46500001	0.738477	0.723634	2	0	0
1	47000001	0.7295	0.723634	2	0	0
1	47500001	0.721666	0.723634	2	0	0
1	48000001	0.728198	0.723634	2	0	0
1	48500001	0.719007	0.723634	2	0	0
1	49000001	0.722698	0.723634	2	0	0
1	49500001	0.713865	0.723634	2	0	0
1	50000001	0.723634	0.723634	2	0	0
1	50500001	0.75196	0.723634	2	0	0
1	51000001	0.72852	0.723634	2	0	0
1	51500001	0.750964	0.723634	2	0	0
1	52000001	0.719528	0.723634	2	0	0
1	52500001	0.668056	0.723634	2	0	0
1	53000001	0.70884	0.723634	2	0	0
1	53500001	0.716017	0.723634	2	0	0
1	54000001	0.703914	0.723634	2	0	0
1	54500001	0.746763	0.723634	2	0	0
1	55000001	0.722277	0.723634	2	0	0
1	55500001	0.732002	0.723634	2	0	0
1	56000001	0.731895	0.723634	2	0	0
1	56500001	0.728319	0.723634	2	0	0
1	57000001	0.745187	0.723634	2	0	0
1	57500001	0.722558	0.723634	2	0	0
1	58000001	0.757376	0.723634	2	0	0
1	58500001	0.725078	0.723634	2	0	0
1	59000001	0.728234	0.723634	2	0	0
1	59500001	0.749438	0.723634	2	0	0
1	60000001	0.729925	0.723634	2	0	0
1	60500001	0.734988	0.723634	2	0	0
1	61000001	0.687861	0.723634	2	0	0
1	61500001	0.694255	0.723634	2	0	0
1	62000001	0.687603	0.723634	2	0	0
1	62500001	0.695876	0.723634	2	0	0
1	63000001	0.737479	0.723634	2	0	0
1	63500001	0.759551	0.723634	2	0	0
1	64000001	0.758901	0.723634	2	0	0
1	64500001	0.743735	0.723634	2	0	0
1	65000001	0.755205	0.723634	2	0	0
1	65500001	0.754553	0.723634	2	0	0
1	66000001	0.755358	0.723634	2	0	0
1	66500001	0.753129	0.723634	2	0	0
1	67000001	0.753992	0.723634	2	0	0
1	67500001	0.731239	0.723634	2	0	0
1	68000001	0.739586	0.723634	2	0	0
1	68500001	0.763194	0.723634	2	0	0
1	69000001	0.745152	0.723634	2	0	0
1	69500001	0.768997	0.723634	2	0	0
1	70000001	0.718192	0.723634	2	0	0
1	70500001	0.769111	0.723634	2	0	0
