Chromosome	Start	Ratio	MedianRatio	CopyNumber	Subclone_CN	Subclone_Population
1	1	-1	-1	-1	0	0
1	500001	0.918798	0	0	0	0
1	1000001	0	0	0	0	0
1	1500001	0.94133	0	0	0	0
1	2000001	0	0	0	0	0
1	2500001	0	0	0	0	0
1	3000001	18.8237	18.8237	56	0	0
1	3500001	1.42489	0.687106	2	0	0
1	4000001	0.649406	0.687106	2	0	0
1	4500001	0.620605	0.687106	2	0	0
1	5000001	0.731988	0.687106	2	0	0
1	5500001	0.653745	0.687106	2	0	0
1	6000001	1.44162	0.687106	2	0	0
1	6500001	0.637642	0.687106	2	0	0
1	7000001	0.693548	0.687106	2	0	0
1	7500001	0.663424	0.687106	2	0	0
1	8000001	0.679303	0.687106	2	0	0
1	8500001	0.766063	0.687106	2	0	0
1	9000001	0.65528	0.687106	2	0	0
1	9500001	0.60486	0.687106	2	0	0
1	10000001	0.732858	0.687106	2	0	0
1	10500001	0.684513	0.687106	2	0	0
1	11000001	0.639177	0.687106	2	0	0
1	11500001	0.710369	0.687106	2	0	0
1	12000001	0.666961	0.687106	2	0	0
1	12500001	0.645592	0.687106	2	0	0
1	13000001	0.666549	0.687106	2	0	0
1	13500001	0.772811	0.687106	2	0	0
1	14000001	0.835267	0.687106	2	0	0
1	14500001	0.655031	0.687106	2	0	0
1	15000001	0.649007	0.687106	2	0	0
1	15500001	0.644751	0.687106	2	0	0
1	16000001	0.697849	0.687106	2	0	0
1	16500001	1.04407	0.687106	2	0	0
1	17000001	0.676254	0.687106	2	0	0
1	17500001	0.658853	0.687106	2	0	0
1	18000001	0.673676	0.687106	2	0	0
1	18500001	0.699534	0.687106	2	0	0
1	19000001	0.650095	0.687106	2	0	0
1	19500001	0.663036	0.687106	2	0	0
1	20000001	0.66916	0.687106	2	0	0
1	20500001	0.754231	0.687106	2	0	0
1	21000001	0.690282	0.687106	2	0	0
1	21500001	0.671381	0.687106	2	0	0
1	22000001	0.665896	0.687106	2	0	0
1	22500001	0.688152	0.687106	2	0	0
1	23000001	0.719365	0.687106	2	0	0
1	23500001	0.665153	0.687106	2	0	0
1	24000001	0.655909	0.687106	2	0	0
1	24500001	0.654849	0.687106	2	0	0
1	25000001	0.61473	0.687106	2	0	0
1	25500001	0.650891	0.687106	2	0	0
1	26000001	0.669356	0.687106	2	0	0
1	26500001	0.637188	0.687106	2	0	0
1	27000001	0.649432	0.687106	2	0	0
1	27500001	0.653695	0.687106	2	0	0
1	28000001	0.731056	0.687106	2	0	0
1	28500001	0.645961	0.687106	2	0	0
1	29000001	0.700776	0.687106	2	0	0
1	29500001	0.689232	0.687106	2	0	0
1	30000001	0.672836	0.687106	2	0	0
1	30500001	0.659183	0.687106	2	0	0
1	31000001	0.698749	0.687106	2	0	0
1	31500001	0.644546	0.687106	2	0	0
1	32000001	0.653825	0.687106	2	0	0
1	32500001	0.664322	0.687106	2	0	0
1	33000001	0.719428	0.687106	2	0	0
1	33500001	0.761064	0.687106	2	0	0
1	34000001	0.751553	0.687106	2	0	0
1	34500001	0.69345	0.687106	2	0	0
1	35000001	0.835822	0.687106	2	0	0
1	35500001	0.761866	0.687106	2	0	0
1	36000001	0.654996	0.687106	2	0	0
1	36500001	0.695046	0.687106	2	0	0
1	37000001	0.66322	0.687106	2	0	0
