Chromosome	Start	Ratio	MedianRatio	CopyNumber	Subclone_CN	Subclone_Population
1	1	-1	-1	-1	0	0
1	500001	1.81338	1.16115	2	0	0
1	1000001	1.22782	1.16115	2	0	0
1	1500001	1.17221	1.16115	2	0	0
1	2000001	1.08302	1.16115	2	0	0
1	2500001	1.58432	1.16115	2	0	0
1	3000001	1.03829	1.16115	2	0	0
1	3500001	1.12145	1.16115	2	0	0
1	4000001	1.01057	1.16115	2	0	0
1	4500001	1.01829	1.16115	2	0	0
1	5000001	1.03108	1.16115	2	0	0
1	5500001	1.15405	1.16115	2	0	0
1	6000001	1.17217	1.16115	2	0	0
1	6500001	1.20895	1.16115	2	0	0
1	7000001	1.08119	1.16115	2	0	0
1	7500001	1.16826	1.16115	2	0	0
1	8000001	1.30975	1.16115	2	0	0
1	8500001	1.27368	1.16115	2	0	0
1	9000001	1.19483	1.16115	2	0	0
1	9500001	1.20788	1.16115	2	0	0
1	10000001	1.26051	1.16115	2	0	0
1	10500001	1.19214	1.16115	2	0	0
1	11000001	1.16985	1.16115	2	0	0
1	11500001	1.12487	1.16115	2	0	0
1	12000001	1.22235	1.16115	2	0	0
1	12500001	1.21571	1.16115	2	0	0
1	13000001	1.00172	1.16115	2	0	0
1	13500001	1.06675	1.16115	2	0	0
1	14000001	1.05507	1.16115	2	0	0
1	14500001	1.07001	1.16115	2	0	0
1	15000001	1.13907	1.16115	2	0	0
1	15500001	1.02536	1.16115	2	0	0
1	16000001	1.03258	1.16115	2	0	0
1	16500001	2.1886	2.1886	4	0	0
1	17000001	1.13035	1.01553	2	0	0
1	17500001	1.09871	1.01553	2	0	0
1	18000001	0.867714	1.01553	2	0	0
1	18500001	0.941759	1.01553	2	0	0
1	19000001	0.988164	1.01553	2	0	0
1	19500001	1.02262	1.01553	2	0	0
1	20000001	0.982829	1.01553	2	0	0
1	20500001	1.04244	1.01553	2	0	0
1	21000001	1.00284	1.01553	2	0	0
1	21500001	1.03024	1.01553	2	0	0
1	22000001	0.988769	1.01553	2	0	0
1	22500001	1.02539	1.01553	2	0	0
1	23000001	1.66757	1.01553	2	0	0
1	23500001	1.48439	1.01553	2	0	0
1	24000001	1.29404	1.01553	2	0	0
1	24500001	0.970148	1.01553	2	0	0
1	25000001	0.997739	1.01553	2	0	0
1	25500001	1.01597	1.01553	2	0	0
1	26000001	0.968215	1.01553	2	0	0
1	26500001	1.01593	1.01553	2	0	0
1	27000001	1.003	1.01553	2	0	0
1	27500001	1.0082	1.01553	2	0	0
1	28000001	1.07163	1.01553	2	0	0
1	28500001	0.991239	1.01553	2	0	0
1	29000001	0.943025	1.01553	2	0	0
1	29500001	0.876089	1.01553	2	0	0
1	30000001	0.867826	1.01553	2	0	0
1	30500001	1.02016	1.01553	2	0	0
1	31000001	1.03436	1.01553	2	0	0
1	31500001	1.04796	1.01553	2	0	0
1	32000001	0.978258	1.01553	2	0	0
1	32500001	1.02019	1.01553	2	0	0
1	33000001	1.04415	1.01553	2	0	0
1	33500001	0.95517	1.01553	2	0	0
1	34000001	0.896632	1.01553	2	0	0
1	34500001	0.9829	1.01553	2	0	0
1	35000001	1.0245	1.01553	2	0	0
1	35500001	1.05963	1.01553	2	0	0
1	36000001	1.04139	1.01553	2	0	0
1	36500001	0.960137	1.01553	2	0	0
1	37000001	0.92826	1.01553	2	0	0
1	37500001	0.985278	1.01553	2	0	0
1	38000001	0.976392	1.01553	2	0	0
1	38500001	0.959219	1.01553	2	0	0
1	39000001	1.02889	1.01553	2	0	0
1	39500001	0.99524	1.01553	2	0	0
1	40000001	1.0031	1.01553	2	0	0
1	40500001	0.984023	1.01553	2	0	0
1	41000001	1.07382	1.01553	2	0	0
1	41500001	0.977559	1.01553	2	0	0
1	42000001	1.04688	1.01553	2	0	0
1	42500001	1.0232	1.01553	2	0	0
1	43000001	1.01603	1.01553	2	0	0
1	43500001	1.01139	1.01553	2	0	0
1	44000001	1.01708	1.01553	2	0	0
1	44500001	1.05064	1.01553	2	0	0
1	45000001	1.06429	1.01553	2	0	0
1	45500001	1.09407	1.01553	2	0	0
1	46000001	1.04531	1.01553	2	0	0
1	46500001	0.987165	1.01553	2	0	0
1	47000001	1.01342	1.01553	2	0	0
1	47500001	0.885698	1.01553	2	0	0
1	48000001	0.914185	1.01553	2	0	0
1	48500001	0.853467	1.01553	2	0	0
1	49000001	0.90887	1.01553	2	0	0
1	49500001	0.90791	1.01553	2	0	0
1	50000001	0.999668	1.01553	2	0	0
1	50500001	1.06731	1.01553	2	0	0
1	51000001	1.0505	1.01553	2	0	0
1	51500001	1.12321	1.01553	2	0	0
1	52000001	1.04248	1.01553	2	0	0
1	52500001	0.994388	1.01553	2	0	0
1	53000001	1.00097	1.01553	2	0	0
1	53500001	0.943255	1.01553	2	0	0
1	54000001	0.975863	1.01553	2	0	0
1	54500001	1.01553	1.01553	2	0	0
1	55000001	1.04226	1.01553	2	0	0
1	55500001	0.923278	1.01553	2	0	0
1	56000001	0.898959	1.01553	2	0	0
1	56500001	0.887805	1.01553	2	0	0
1	57000001	0.875795	1.01553	2	0	0
1	57500001	0.848503	1.01553	2	0	0
1	58000001	0.925316	1.01553	2	0	0
1	58500001	1.06231	1.01553	2	0	0
1	59000001	1.05081	1.01553	2	0	0
1	59500001	1.041	1.01553	2	0	0
1	60000001	0.9435	1.01553	2	0	0
1	60500001	0.986406	1.01553	2	0	0
1	61000001	1.05068	1.01553	2	0	0
1	61500001	1.04308	1.01553	2	0	0
1	62000001	0.986213	1.01553	2	0	0
1	62500001	1.06507	1.01553	2	0	0
1	63000001	0.993384	1.01553	2	0	0
1	63500001	1.07	1.01553	2	0	0
1	64000001	1.10587	1.01553	2	0	0
1	64500001	1.03683	1.01553	2	0	0
1	65000001	0.987472	1.01553	2	0	0
1	65500001	1.02199	1.01553	2	0	0
1	66000001	1.1908	1.01553	2	0	0
1	66500001	0.952864	1.01553	2	0	0
1	67000001	1.01881	1.01553	2	0	0
1	67500001	1.01821	1.01553	2	0	0
1	68000001	0.993278	1.01553	2	0	0
1	68500001	0.940363	1.01553	2	0	0
1	69000001	0.931509	1.01553	2	0	0
1	69500001	0.980082	1.01553	2	0	0
1	70000001	0.970193	1.01553	2	0	0
1	70500001	1.00332	1.01553	2	0	0
1	71000001	0.920516	1.01553	2	0	0
1	71500001	0.957285	1.01553	2	0	0
1	72000001	0.927673	1.01553	2	0	0
1	72500001	1.03458	1.01553	2	0	0
1	73000001	0.97673	1.01553	2	0	0
1	73500001	1.01868	1.01553	2	0	0
1	74000001	0.977661	1.01553	2	0	0
1	74500001	0.94568	1.01553	2	0	0
1	75000001	0.915146	1.01553	2	0	0
1	75500001	0.929766	1.01553	2	0	0
1	76000001	0.923474	1.01553	2	0	0
1	76500001	0.957397	1.01553	2	0	0
1	77000001	1.00182	1.01553	2	0	0
1	77500001	1.05914	1.01553	2	0	0
1	78000001	1.06681	1.01553	2	0	0
1	78500001	1.09164	1.01553	2	0	0
1	79000001	1.08262	1.01553	2	0	0
1	79500001	0.996571	1.01553	2	0	0
1	80000001	1.03068	1.01553	2	0	0
1	80500001	1.02926	1.01553	2	0	0
1	81000001	1.03293	1.01553	2	0	0
1	81500001	1.00411	1.01553	2	0	0
1	82000001	0.982906	1.01553	2	0	0
1	82500001	1.03194	1.01553	2	0	0
1	83000001	1.00491	1.01553	2	0	0
1	83500001	1.00559	1.01553	2	0	0
1	84000001	1.09875	1.01553	2	0	0
1	84500001	1.03997	1.01553	2	0	0
1	85000001	1.05206	1.01553	2	0	0
1	85500001	1.05994	1.01553	2	0	0
1	86000001	0.995918	1.01553	2	0	0
1	86500001	1.04699	1.01553	2	0	0
1	87000001	1.02068	1.01553	2	0	0
1	87500001	1.02682	1.01553	2	0	0
1	88000001	1.02585	1.01553	2	0	0
1	88500001	1.07973	1.01553	2	0	0
1	89000001	1.0125	1.01553	2	0	0
1	89500001	1.08738	1.01553	2	0	0
1	90000001	1.03075	1.01553	2	0	0
1	90500001	0.930411	1.01553	2	0	0
1	91000001	1.03491	1.01553	2	0	0
1	91500001	1.03659	1.01553	2	0	0
1	92000001	1.04702	1.01553	2	0	0
1	92500001	1.0659	1.01553	2	0	0
1	93000001	1.13508	1.01553	2	0	0
1	93500001	1.11969	1.01553	2	0	0
1	94000001	1.14091	1.01553	2	0	0
1	94500001	1.14027	1.01553	2	0	0
1	95000001	1.07972	1.01553	2	0	0
1	95500001	1.00406	1.01553	2	0	0
1	96000001	0.932895	1.01553	2	0	0
1	96500001	0.955491	1.01553	2	0	0
1	97000001	0.978636	1.01553	2	0	0
1	97500001	1.09254	1.01553	2	0	0
1	98000001	1.0751	1.01553	2	0	0
1	98500001	1.06256	1.01553	2	0	0
1	99000001	1.06802	1.01553	2	0	0
1	99500001	1.07026	1.01553	2	0	0
1	100000001	1.0835	1.01553	2	0	0
1	100500001	0.97648	1.01553	2	0	0
1	101000001	1.0143	1.01553	2	0	0
1	101500001	0.931403	1.01553	2	0	0
1	102000001	0.925009	1.01553	2	0	0
1	102500001	1.00773	1.01553	2	0	0
1	103000001	1.02085	1.01553	2	0	0
1	103500001	0.995557	1.01553	2	0	0
1	104000001	0.952425	1.01553	2	0	0
1	104500001	0.988378	1.01553	2	0	0
1	105000001	0.994011	1.01553	2	0	0
1	105500001	0.919558	1.01553	2	0	0
1	106000001	0.989789	1.01553	2	0	0
1	106500001	0.925554	1.01553	2	0	0
1	107000001	0.963023	1.01553	2	0	0
1	107500001	1.02568	1.01553	2	0	0
1	108000001	1.05602	1.01553	2	0	0
1	108500001	1.04596	1.01553	2	0	0
1	109000001	1.06762	1.01553	2	0	0
1	109500001	1.02761	1.01553	2	0	0
1	110000001	1.01318	1.01553	2	0	0
1	110500001	1.0019	1.01553	2	0	0
1	111000001	1.01831	1.01553	2	0	0
1	111500001	0.979761	1.01553	2	0	0
1	112000001	0.96512	1.01553	2	0	0
1	112500001	1.06889	1.01553	2	0	0
1	113000001	1.11312	1.01553	2	0	0
1	113500001	1.073	1.01553	2	0	0
1	114000001	1.02622	1.01553	2	0	0
1	114500001	1.10173	1.01553	2	0	0
1	115000001	1.10675	1.01553	2	0	0
1	115500001	1.04873	1.01553	2	0	0
