Chromosome	Start	Ratio	MedianRatio	CopyNumber	Subclone_CN	Subclone_Population
1	1	-1	-1	-1	0	0
1	500001	1.50873	1.15906	5	0	0
1	1000001	1.13411	1.15906	5	0	0
1	1500001	1.14844	1.15906	5	0	0
1	2000001	1.15906	1.15906	5	0	0
1	2500001	1.6741	1.15906	5	0	0
1	3000001	1.14955	1.16029	5	0	0
1	3500001	1.18751	1.16029	5	0	0
1	4000001	1.0948	1.16029	5	0	0
1	4500001	1.12346	1.16029	5	0	0
1	5000001	1.11303	1.16029	5	0	0
1	5500001	1.16383	1.16029	5	0	0
1	6000001	1.19061	1.16029	5	0	0
1	6500001	1.14599	1.16029	5	0	0
1	7000001	1.15118	1.16029	5	0	0
1	7500001	1.20394	1.16029	5	0	0
1	8000001	1.21824	1.16029	5	0	0
1	8500001	1.22775	1.16029	5	0	0
1	9000001	1.22745	1.16029	5	0	0
1	9500001	1.24248	1.16029	5	0	0
1	10000001	1.23062	1.16029	5	0	0
1	10500001	1.19217	1.16029	5	0	0
1	11000001	1.15671	1.16029	5	0	0
1	11500001	1.15672	1.16029	5	0	0
1	12000001	1.20074	1.16029	5	0	0
1	12500001	1.20021	1.16029	5	0	0
1	13000001	1.16029	1.16029	5	0	0
1	13500001	1.08309	1.16029	5	0	0
1	14000001	1.1044	1.16029	5	0	0
1	14500001	1.16851	1.16029	5	0	0
1	15000001	1.1565	1.16029	5	0	0
1	15500001	0.977454	1.16029	5	0	0
1	16000001	0.997011	1.16029	5	0	0
1	16500001	2.03385	2.03385	8	0	0
1	17000001	0.99529	0.943194	4	0	0
1	17500001	1.00378	0.943194	4	0	0
1	18000001	0.888181	0.943194	4	0	0
1	18500001	0.934134	0.943194	4	0	0
1	19000001	0.938477	0.943194	4	0	0
1	19500001	0.877708	0.943194	4	0	0
1	20000001	0.941639	0.943194	4	0	0
1	20500001	0.954742	0.943194	4	0	0
1	21000001	0.944749	0.943194	4	0	0
1	21500001	0.947769	0.943194	4	0	0
1	22000001	0.919411	0.943194	4	0	0
1	22500001	1.04943	0.943194	4	0	0
1	23000001	1.48067	1.37578	6	0	0
1	23500001	1.37578	1.37578	6	0	0
1	24000001	1.20411	1.37578	6	0	0
1	24500001	0.937055	0.930438	4	0	0
1	25000001	0.911764	0.930438	4	0	0
1	25500001	0.911923	0.930438	4	0	0
1	26000001	0.950273	0.930438	4	0	0
1	26500001	0.946229	0.930438	4	0	0
1	27000001	0.901617	0.930438	4	0	0
1	27500001	0.916496	0.930438	4	0	0
1	28000001	0.938388	0.930438	4	0	0
1	28500001	0.906993	0.930438	4	0	0
1	29000001	0.904985	0.930438	4	0	0
1	29500001	0.878999	0.930438	4	0	0
1	30000001	0.920844	0.930438	4	0	0
1	30500001	0.960398	0.930438	4	0	0
1	31000001	0.960768	0.930438	4	0	0
1	31500001	0.92138	0.930438	4	0	0
1	32000001	0.926244	0.930438	4	0	0
1	32500001	0.937168	0.930438	4	0	0
1	33000001	0.950185	0.930438	4	0	0
1	33500001	0.941466	0.930438	4	0	0
1	34000001	0.922513	0.930438	4	0	0
1	34500001	0.883689	0.930438	4	0	0
1	35000001	0.937845	0.930438	4	0	0
1	35500001	0.919693	0.930438	4	0	0
1	36000001	0.93623	0.930438	4	0	0
1	36500001	0.929039	0.930438	4	0	0
1	37000001	0.955487	0.930438	4	0	0
1	37500001	0.932955	0.930438	4	0	0
1	38000001	0.877259	0.930438	4	0	0
1	38500001	0.916808	0.930438	4	0	0
1	39000001	0.955118	0.930438	4	0	0
1	39500001	0.921362	0.930438	4	0	0
1	40000001	0.950465	0.930438	4	0	0
1	40500001	0.937766	0.930438	4	0	0
1	41000001	0.967444	0.930438	4	0	0
1	41500001	0.951104	0.930438	4	0	0
1	42000001	0.941585	0.930438	4	0	0
1	42500001	0.945447	0.930438	4	0	0
1	43000001	0.961969	0.930438	4	0	0
1	43500001	0.91995	0.930438	4	0	0
1	44000001	0.935245	0.930438	4	0	0
1	44500001	0.930469	0.930438	4	0	0
1	45000001	0.913225	0.930438	4	0	0
1	45500001	0.908006	0.930438	4	0	0
1	46000001	0.952962	0.930438	4	0	0
1	46500001	0.932523	0.930438	4	0	0
1	47000001	0.906518	0.930438	4	0	0
1	47500001	0.875809	0.930438	4	0	0
1	48000001	0.893954	0.930438	4	0	0
1	48500001	0.837482	0.930438	4	0	0
1	49000001	0.88703	0.930438	4	0	0
1	49500001	0.902094	0.930438	4	0	0
1	50000001	0.893724	0.930438	4	0	0
1	50500001	0.92337	0.930438	4	0	0
1	51000001	0.931057	0.930438	4	0	0
1	51500001	0.93131	0.930438	4	0	0
1	52000001	0.953253	0.930438	4	0	0
1	52500001	0.942011	0.930438	4	0	0
1	53000001	0.938936	0.930438	4	0	0
1	53500001	0.924179	0.930438	4	0	0
1	54000001	0.918158	0.930438	4	0	0
1	54500001	0.936646	0.930438	4	0	0
1	55000001	0.984894	0.930438	4	0	0
1	55500001	0.875232	0.930438	4	0	0
1	56000001	0.921568	0.930438	4	0	0
1	56500001	0.876	0.930438	4	0	0
1	57000001	0.862183	0.930438	4	0	0
1	57500001	0.880727	0.930438	4	0	0
1	58000001	0.926751	0.930438	4	0	0
1	58500001	0.985806	0.930438	4	0	0
1	59000001	0.978185	0.930438	4	0	0
1	59500001	0.945778	0.930438	4	0	0
1	60000001	0.91023	0.930438	4	0	0
1	60500001	0.970743	0.930438	4	0	0
1	61000001	0.981081	0.930438	4	0	0
1	61500001	0.963676	0.930438	4	0	0
1	62000001	0.86668	0.930438	4	0	0
1	62500001	0.919583	0.930438	4	0	0
1	63000001	0.9283	0.930438	4	0	0
1	63500001	0.970265	0.930438	4	0	0
1	64000001	0.971038	0.930438	4	0	0
1	64500001	0.945009	0.930438	4	0	0
1	65000001	0.907019	0.930438	4	0	0
1	65500001	0.89828	0.930438	4	0	0
1	66000001	1.08437	0.930438	4	0	0
1	66500001	0.925296	0.930438	4	0	0
1	67000001	0.903743	0.930438	4	0	0
1	67500001	0.918496	0.930438	4	0	0
1	68000001	0.915131	0.930438	4	0	0
1	68500001	0.917575	0.930438	4	0	0
1	69000001	0.898564	0.930438	4	0	0
1	69500001	0.97117	0.930438	4	0	0
1	70000001	0.870721	0.930438	4	0	0
1	70500001	0.884782	0.930438	4	0	0
1	71000001	0.906432	0.930438	4	0	0
1	71500001	0.944978	0.930438	4	0	0
1	72000001	0.872888	0.930438	4	0	0
1	72500001	0.953632	0.930438	4	0	0
1	73000001	0.886803	0.930438	4	0	0
1	73500001	0.912652	0.930438	4	0	0
1	74000001	0.866961	0.930438	4	0	0
1	74500001	0.886808	0.930438	4	0	0
1	75000001	0.867965	0.930438	4	0	0
1	75500001	0.872296	0.930438	4	0	0
1	76000001	0.848531	0.930438	4	0	0
1	76500001	0.885956	0.930438	4	0	0
1	77000001	0.950702	0.930438	4	0	0
1	77500001	0.948877	0.930438	4	0	0
1	78000001	0.969549	0.930438	4	0	0
1	78500001	0.967924	0.930438	4	0	0
1	79000001	0.942196	0.930438	4	0	0
1	79500001	0.876802	0.930438	4	0	0
1	80000001	0.917358	0.930438	4	0	0
1	80500001	0.908354	0.930438	4	0	0
1	81000001	0.895283	0.930438	4	0	0
1	81500001	0.924465	0.930438	4	0	0
1	82000001	0.886447	0.930438	4	0	0
1	82500001	0.971796	0.930438	4	0	0
1	83000001	0.947871	0.930438	4	0	0
1	83500001	0.901599	0.930438	4	0	0
1	84000001	0.956892	0.930438	4	0	0
1	84500001	0.916645	0.930438	4	0	0
1	85000001	0.972809	0.930438	4	0	0
1	85500001	0.966654	0.930438	4	0	0
1	86000001	0.932971	0.930438	4	0	0
1	86500001	0.955725	0.930438	4	0	0
1	87000001	0.94988	0.930438	4	0	0
1	87500001	0.96739	0.930438	4	0	0
1	88000001	0.962003	0.930438	4	0	0
1	88500001	0.945661	0.930438	4	0	0
1	89000001	0.95322	0.930438	4	0	0
1	89500001	0.969473	0.930438	4	0	0
1	90000001	0.927167	0.930438	4	0	0
1	90500001	0.911059	0.930438	4	0	0
1	91000001	0.964413	0.930438	4	0	0
1	91500001	0.896671	0.930438	4	0	0
1	92000001	0.933809	0.930438	4	0	0
1	92500001	0.956322	0.930438	4	0	0
1	93000001	0.938403	0.930438	4	0	0
1	93500001	0.956174	0.930438	4	0	0
1	94000001	1.01369	0.930438	4	0	0
1	94500001	1.03762	0.930438	4	0	0
1	95000001	0.953774	0.930438	4	0	0
1	95500001	0.892765	0.930438	4	0	0
1	96000001	0.930438	0.930438	4	0	0
1	96500001	0.931682	0.930438	4	0	0
1	97000001	0.957144	0.930438	4	0	0
1	97500001	0.986131	0.930438	4	0	0
1	98000001	0.972697	0.930438	4	0	0
1	98500001	0.955279	0.930438	4	0	0
1	99000001	0.920338	0.930438	4	0	0
1	99500001	0.992366	0.930438	4	0	0
1	100000001	0.965458	0.930438	4	0	0
1	100500001	0.927824	0.930438	4	0	0
1	101000001	0.914421	0.930438	4	0	0
1	101500001	0.908926	0.930438	4	0	0
1	102000001	0.895207	0.930438	4	0	0
1	102500001	0.969252	0.930438	4	0	0
1	103000001	0.949019	0.930438	4	0	0
1	103500001	0.889104	0.930438	4	0	0
1	104000001	0.879383	0.930438	4	0	0
1	104500001	0.9024	0.930438	4	0	0
1	105000001	0.923829	0.930438	4	0	0
1	105500001	0.871458	0.930438	4	0	0
1	106000001	0.886887	0.930438	4	0	0
1	106500001	0.875268	0.930438	4	0	0
1	107000001	0.925718	0.930438	4	0	0
1	107500001	0.963637	0.930438	4	0	0
1	108000001	0.937129	0.930438	4	0	0
1	108500001	0.938503	0.930438	4	0	0
1	109000001	0.967113	0.930438	4	0	0
1	109500001	0.92883	0.930438	4	0	0
1	110000001	0.938255	0.930438	4	0	0
1	110500001	0.891464	0.930438	4	0	0
1	111000001	0.917226	0.930438	4	0	0
1	111500001	0.915987	0.930438	4	0	0
1	112000001	0.91863	0.930438	4	0	0
1	112500001	1.00327	0.930438	4	0	0
1	113000001	0.939195	0.930438	4	0	0
1	113500001	0.933048	0.930438	4	0	0
1	114000001	0.92519	0.930438	4	0	0
1	114500001	0.927887	0.930438	4	0	0
1	115000001	0.942212	0.930438	4	0	0
1	115500001	0.958382	0.930438	4	0	0
1	116000001	0.963509	0.930438	4	0	0
1	116500001	0.955384	0.930438	4	0	0
1	117000001	0.966074	0.930438	4	0	0
1	117500001	0.955615	0.930438	4	0	0
1	118000001	0.958001	0.930438	4	0	0
1	118500001	0.898511	0.930438	4	0	0
1	119000001	0.933034	0.930438	4	0	0
1	119500001	1.01429	0.930438	4	0	0
1	120000001	0.810836	0.930438	4	0	0
1	120500001	0.512336	0.930438	4	0	0
1	121000001	0.928055	0.930438	4	0	0
1	121500001	0.870432	0.930438	4	0	0
1	122000001	0.398789	0.398789	2	0	0
1	122500001	1.518	1.518	6	0	0
1	123000001	1.49592	1.518	6	0	0
1	123500001	1.79078	1.518	6	0	0
1	124000001	2.28571	2.28571	9	0	0
1	124500001	2.93815	2.93815	12	0	0
1	125000001	-1	-1	-1	0	0
1	125500001	-1	-1	-1	0	0
1	126000001	-1	-1	-1	0	0
1	126500001	-1	-1	-1	0	0
1	127000001	-1	-1	-1	0	0
1	127500001	-1	-1	-1	0	0
1	128000001	-1	-1	-1	0	0
1	128500001	-1	-1	-1	0	0
