Chromosome	Start	Ratio	MedianRatio	CopyNumber	Subclone_CN	Subclone_Population
1	1	-1	-1	-1	0	0
1	500001	1.71558	1.40851	6	0	0
1	1000001	1.60594	1.40851	6	0	0
1	1500001	1.49503	1.40851	6	0	0
1	2000001	1.48479	1.40851	6	0	0
1	2500001	1.94711	1.40851	6	0	0
1	3000001	1.27218	1.40851	6	0	0
1	3500001	1.46707	1.40851	6	0	0
1	4000001	1.262	1.40851	6	0	0
1	4500001	1.16086	1.40851	6	0	0
1	5000001	1.199	1.40851	6	0	0
1	5500001	1.29377	1.40851	6	0	0
1	6000001	1.43745	1.40851	6	0	0
1	6500001	1.44021	1.40851	6	0	0
1	7000001	1.39337	1.40851	6	0	0
1	7500001	1.36909	1.40851	6	0	0
1	8000001	1.53976	1.40851	6	0	0
1	8500001	1.58867	1.40851	6	0	0
1	9000001	1.49666	1.40851	6	0	0
1	9500001	1.55054	1.40851	6	0	0
1	10000001	1.4687	1.40851	6	0	0
1	10500001	1.43602	1.40851	6	0	0
1	11000001	1.40105	1.40851	6	0	0
1	11500001	1.41596	1.40851	6	0	0
1	12000001	1.56639	1.40851	6	0	0
1	12500001	1.39692	1.40851	6	0	0
1	13000001	1.22313	1.40851	6	0	0
1	13500001	1.31577	1.40851	6	0	0
1	14000001	1.29583	1.40851	6	0	0
1	14500001	1.28122	1.40851	6	0	0
1	15000001	1.38795	1.40851	6	0	0
1	15500001	1.10817	1.40851	6	0	0
1	16000001	1.07956	1.40851	6	0	0
1	16500001	2.28455	2.28455	9	0	0
1	17000001	1.18901	1.01521	4	0	0
1	17500001	1.09548	1.01521	4	0	0
1	18000001	0.80745	1.01521	4	0	0
1	18500001	0.918819	1.01521	4	0	0
1	19000001	0.980981	1.01521	4	0	0
1	19500001	1.02198	1.01521	4	0	0
1	20000001	0.981647	1.01521	4	0	0
1	20500001	1.00548	1.01521	4	0	0
1	21000001	0.989318	1.01521	4	0	0
1	21500001	1.03627	1.01521	4	0	0
1	22000001	1.02272	1.01521	4	0	0
1	22500001	1.07598	1.01521	4	0	0
1	23000001	1.6262	1.01521	4	0	0
1	23500001	1.56136	1.01521	4	0	0
1	24000001	1.32553	1.01521	4	0	0
1	24500001	1.00487	1.01521	4	0	0
1	25000001	0.991479	1.01521	4	0	0
1	25500001	0.9956	1.01521	4	0	0
1	26000001	0.990594	1.01521	4	0	0
1	26500001	1.03922	1.01521	4	0	0
1	27000001	1.04864	1.01521	4	0	0
1	27500001	1.01138	1.01521	4	0	0
1	28000001	1.05585	1.01521	4	0	0
