Chromosome	Start	Ratio	MedianRatio	CopyNumber	Subclone_CN	Subclone_Population
1	1	-1	-1	-1	0	0
1	500001	1.75623	1.45766	3	0	0
1	1000001	1.55836	1.45766	3	0	0
1	1500001	1.5168	1.45766	3	0	0
1	2000001	1.45178	1.45766	3	0	0
1	2500001	2.23702	1.45766	3	0	0
1	3000001	1.39886	1.45766	3	0	0
1	3500001	1.45297	1.45766	3	0	0
1	4000001	1.34257	1.45766	3	0	0
1	4500001	1.30281	1.45766	3	0	0
1	5000001	1.33147	1.45766	3	0	0
1	5500001	1.417	1.45766	3	0	0
1	6000001	1.48413	1.45766	3	0	0
1	6500001	1.52097	1.45766	3	0	0
1	7000001	1.3629	1.45766	3	0	0
1	7500001	1.45429	1.45766	3	0	0
1	8000001	1.53415	1.45766	3	0	0
1	8500001	1.50218	1.45766	3	0	0
1	9000001	1.47835	1.45766	3	0	0
1	9500001	1.55007	1.45766	3	0	0
1	10000001	1.50497	1.45766	3	0	0
1	10500001	1.46811	1.45766	3	0	0
1	11000001	1.46104	1.45766	3	0	0
1	11500001	1.42427	1.45766	3	0	0
1	12000001	1.51267	1.45766	3	0	0
1	12500001	1.48662	1.45766	3	0	0
1	13000001	1.29972	1.45766	3	0	0
1	13500001	1.39502	1.45766	3	0	0
1	14000001	1.37146	1.45766	3	0	0
1	14500001	1.42891	1.45766	3	0	0
1	15000001	1.47115	1.45766	3	0	0
1	15500001	1.00709	1.45766	3	0	0
1	16000001	1.04084	1.45766	3	0	0
1	16500001	2.24449	2.24449	4	0	0
1	17000001	1.1515	1.00557	2	0	0
1	17500001	1.19042	1.00557	2	0	0
1	18000001	0.898176	1.00557	2	0	0
1	18500001	0.959733	1.00557	2	0	0
1	19000001	1.00557	1.00557	2	0	0
1	19500001	1.002	1.00557	2	0	0
1	20000001	0.994398	1.00557	2	0	0
1	20500001	1.00264	1.00557	2	0	0
1	21000001	0.972192	1.00557	2	0	0
1	21500001	0.986082	1.00557	2	0	0
1	22000001	1.00726	1.00557	2	0	0
1	22500001	1.08068	1.00557	2	0	0
1	23000001	1.58024	1.00557	2	0	0
1	23500001	1.48146	1.00557	2	0	0
1	24000001	1.25042	1.00557	2	0	0
1	24500001	0.983681	1.00557	2	0	0
1	25000001	1.01185	1.00557	2	0	0
1	25500001	1.00148	1.00557	2	0	0
1	26000001	0.987145	1.00557	2	0	0
1	26500001	1.034	1.00557	2	0	0
1	27000001	1.01973	1.00557	2	0	0
1	27500001	1.00731	1.00557	2	0	0
1	28000001	1.02136	1.00557	2	0	0
1	28500001	0.981385	1.00557	2	0	0
1	29000001	1.02351	1.00557	2	0	0
1	29500001	0.917666	1.00557	2	0	0
1	30000001	0.932823	1.00557	2	0	0
1	30500001	0.990264	1.00557	2	0	0
1	31000001	1.05139	1.00557	2	0	0
1	31500001	1.01347	1.00557	2	0	0
1	32000001	1.0279	1.00557	2	0	0
1	32500001	1.00448	1.00557	2	0	0
1	33000001	1.03614	1.00557	2	0	0
1	33500001	0.985391	1.00557	2	0	0
1	34000001	0.920017	1.00557	2	0	0
1	34500001	0.989282	1.00557	2	0	0
1	35000001	0.995046	1.00557	2	0	0
1	35500001	0.993756	1.00557	2	0	0
1	36000001	1.00718	1.00557	2	0	0
1	36500001	0.968772	1.00557	2	0	0
1	37000001	0.949667	1.00557	2	0	0
1	37500001	1.01804	1.00557	2	0	0
1	38000001	0.968944	1.00557	2	0	0
1	38500001	1.00228	1.00557	2	0	0
1	39000001	1.03796	1.00557	2	0	0
1	39500001	1.04647	1.00557	2	0	0
1	40000001	1.01181	1.00557	2	0	0
1	40500001	0.986885	1.00557	2	0	0
1	41000001	1.0297	1.00557	2	0	0
1	41500001	1.00732	1.00557	2	0	0
1	42000001	1.00724	1.00557	2	0	0
1	42500001	1.05932	1.00557	2	0	0
1	43000001	1.01856	1.00557	2	0	0
1	43500001	1.02476	1.00557	2	0	0
1	44000001	1.01849	1.00557	2	0	0
1	44500001	0.987744	1.00557	2	0	0
1	45000001	0.960048	1.00557	2	0	0
1	45500001	0.980198	1.00557	2	0	0
1	46000001	1.01495	1.00557	2	0	0
1	46500001	1.08863	1.00557	2	0	0
1	47000001	1.03435	1.00557	2	0	0
1	47500001	0.926207	1.00557	2	0	0
1	48000001	0.935471	1.00557	2	0	0
1	48500001	0.930979	1.00557	2	0	0
1	49000001	0.936553	1.00557	2	0	0
1	49500001	0.969618	1.00557	2	0	0
1	50000001	0.985195	1.00557	2	0	0
1	50500001	1.02692	1.00557	2	0	0
1	51000001	1.05393	1.00557	2	0	0
1	51500001	1.05384	1.00557	2	0	0
1	52000001	1.00968	1.00557	2	0	0
1	52500001	0.982339	1.00557	2	0	0
1	53000001	1.01804	1.00557	2	0	0
1	53500001	1.00415	1.00557	2	0	0
1	54000001	1.00751	1.00557	2	0	0
1	54500001	1.0312	1.00557	2	0	0
1	55000001	0.999141	1.00557	2	0	0
1	55500001	0.958228	1.00557	2	0	0
1	56000001	0.9267	1.00557	2	0	0
1	56500001	0.910463	1.00557	2	0	0
1	57000001	0.895398	1.00557	2	0	0
1	57500001	0.863189	1.00557	2	0	0
1	58000001	0.979112	1.00557	2	0	0
1	58500001	1.05798	1.00557	2	0	0
1	59000001	1.01614	1.00557	2	0	0
1	59500001	1.00107	1.00557	2	0	0
1	60000001	0.989738	1.00557	2	0	0
1	60500001	1.01822	1.00557	2	0	0
1	61000001	1.0558	1.00557	2	0	0
